"Kabul","Kabul","34.5328","69.1658","Afghanistan","AF","AFG","Kābul","primary","4273156","1004993580"
"Kandahār","Kandahar","31.6078","65.7053","Afghanistan","AF","AFG","Kandahār","admin","614254","1004003059"
"Herāt","Herat","34.3738","62.1792","Afghanistan","AF","AFG","Herāt","admin","556205","1004237782"
"Mazār-e Sharīf","Mazar-e Sharif","36.7000","67.1167","Afghanistan","AF","AFG","Balkh","admin","469247","1004436363"
"Jalālābād","Jalalabad","34.4303","70.4528","Afghanistan","AF","AFG","Nangarhār","admin","263312","1004315012"
"Tāluqān","Taluqan","36.7167","69.5167","Afghanistan","AF","AFG","Takhār","admin","263800","1004687194"
"Kunduz","Kunduz","36.7280","68.8725","Afghanistan","AF","AFG","Kunduz","admin","259809","1004227517"
"Lashkar Gāh","Lashkar Gah","31.5938","64.3716","Afghanistan","AF","AFG","Helmand","admin","201546","1004765445"
"Maīmanah","Maimanah","35.9302","64.7701","Afghanistan","AF","AFG","Fāryāb","admin","199795","1004622920"
"Shibirghān","Shibirghan","36.6650","65.7520","Afghanistan","AF","AFG","Jowzjān","admin","175599","1004805783"
"Khōst","Khost","33.3333","69.9167","Afghanistan","AF","AFG","Khōst","admin","160214","1004919977"
"Ghaznī","Ghazni","33.5492","68.4233","Afghanistan","AF","AFG","Ghaznī","admin","143379","1004167490"
"Pul-e Khumrī","Pul-e Khumri","35.9500","68.7000","Afghanistan","AF","AFG","Baghlān","admin","113500","1004123527"
"Farāh","Farah","32.3436","62.1194","Afghanistan","AF","AFG","Farāh","admin","73647","1004523791"
"Gardēz","Gardez","33.5931","69.2297","Afghanistan","AF","AFG","Paktiyā","admin","70000","1004468894"
"Faīẕābād","Faizabad","37.1298","70.5792","Afghanistan","AF","AFG","Badakhshān","admin","64704","1004452653"
"Bāmyān","Bamyan","34.8167","67.8167","Afghanistan","AF","AFG","Bāmyān","admin","61863","1004274041"
"Chārīkār","Charikar","35.0183","69.1679","Afghanistan","AF","AFG","Parwān","admin","53676","1004817775"
"Sar-e Pul","Sar-e Pul","36.2214","65.9278","Afghanistan","AF","AFG","Sar-e Pul","admin","51075","1004047427"
"Zaranj","Zaranj","30.9600","61.8600","Afghanistan","AF","AFG","Nīmrōz","admin","49851","1004504986"
"Asadābād","Asadabad","34.8742","71.1528","Afghanistan","AF","AFG","Kunaṟ","admin","48400","1004251962"
"Maīdān Shahr","Maidan Shahr","34.3972","68.8697","Afghanistan","AF","AFG","Wardak","admin","35008","1004798735"
"Mehtar Lām","Mehtar Lam","34.6683","70.2089","Afghanistan","AF","AFG","Laghmān","admin","17345","1004590769"
"Fayrōz Kōh","Fayroz Koh","34.5225","65.2517","Afghanistan","AF","AFG","Ghōr","admin","15000","1004988038"
"Qalāt","Qalat","32.1061","66.9069","Afghanistan","AF","AFG","Zābul","admin","12191","1004016690"
"Tarīn Kōṯ","Tarin Kot","32.6333","65.8667","Afghanistan","AF","AFG","Uruzgān","admin","10000","1004893931"
"Maḩmūd-e Rāqī","Mahmud-e Raqi","35.0167","69.3333","Afghanistan","AF","AFG","Kāpīsā","admin","7407","1004151943"
"Qal‘ah-ye Now","Qal`ah-ye Now","34.9900","63.1200","Afghanistan","AF","AFG","Bādghīs","admin","5340","1004947440"
"Aībak","Aibak","36.2534","68.0394","Afghanistan","AF","AFG","Samangān","admin","4938","1004564619"
"Pul-e ‘Alam","Pul-e `Alam","33.9953","69.0227","Afghanistan","AF","AFG","Lōgar","admin","","1004180853"
"Sharan","Sharan","33.1757","68.7304","Afghanistan","AF","AFG","Paktīkā","admin","","1004273142"
"Nīlī","Nili","33.7218","66.1302","Afghanistan","AF","AFG","Dāykundī","admin","","1004642532"
"Bāzārak","Bazarak","35.3129","69.5152","Afghanistan","AF","AFG","Panjshir","admin","","1004374554"
"Pārūn","Parun","35.4206","70.9226","Afghanistan","AF","AFG","Nūristān","admin","","1004795942"
"Balkh","Balkh","36.7581","66.8989","Afghanistan","AF","AFG","Balkh","minor","77000","1004654094"
"Baghlān","Baghlan","36.1328","68.7000","Afghanistan","AF","AFG","Baghlān","minor","39228","1004943705"
"Andkhōy","Andkhoy","36.9500","65.1167","Afghanistan","AF","AFG","Fāryāb","minor","37887","1004472345"
"Kōṯah-ye ‘As̲h̲rō","Kotah-ye `Ashro","34.4500","68.8000","Afghanistan","AF","AFG","Wardak","","35008","1004450357"
"Khulm","Khulm","36.6833","67.6833","Afghanistan","AF","AFG","Balkh","minor","28078","1004486677"
"Khānābād","Khanabad","36.6831","69.1636","Afghanistan","AF","AFG","Kunduz","minor","26803","1004931539"
"Barakī Barak","Baraki Barak","33.9667","68.9667","Afghanistan","AF","AFG","Lōgar","minor","22305","1004707647"
"Qal‘ah-ye Zāl","Qal`ah-ye Zal","37.0150","68.4672","Afghanistan","AF","AFG","Kunduz","","18000","1004481163"
"Karukh","Karukh","34.4868","62.5918","Afghanistan","AF","AFG","Herāt","minor","17484","1004546127"
"Zarghūn Shahr","Zarghun Shahr","32.8500","68.4167","Afghanistan","AF","AFG","Paktīkā","","13737","1004965319"
"Buynī Qarah","Buyni Qarah","36.3172","66.8747","Afghanistan","AF","AFG","Balkh","","5842","1004472874"
