"Tirana","Tirana","41.3300","19.8200","Albania","AL","ALB","Tiranë","primary","418495","1008162156"
"Vlorë","Vlore","40.4500","19.4833","Albania","AL","ALB","Vlorë","admin","130827","1008276050"
"Kamëz","Kamez","41.3833","19.7667","Albania","AL","ALB","Tiranë","","126777","1008148968"
"Fier","Fier","40.7167","19.5500","Albania","AL","ALB","Fier","admin","120655","1008293317"
"Durrës","Durres","41.3242","19.4558","Albania","AL","ALB","Durrës","admin","113249","1008173690"
"Shkodër","Shkoder","42.0667","19.5000","Albania","AL","ALB","Shkodër","admin","112276","1008977725"
"Elbasan","Elbasan","41.1125","20.0822","Albania","AL","ALB","Elbasan","admin","78703","1008409270"
"Korçë","Korce","40.6167","20.7667","Albania","AL","ALB","Korçë","admin","51152","1008361921"
"Berat","Berat","40.7049","19.9497","Albania","AL","ALB","Berat","admin","36496","1008955153"
"Gjirokastër","Gjirokaster","40.0758","20.1389","Albania","AL","ALB","Gjirokastër","admin","23437","1008368062"
"Lezhë","Lezhe","41.7805","19.6434","Albania","AL","ALB","Lezhë","admin","15510","1008889153"
"Kukës","Kukes","42.0758","20.4231","Albania","AL","ALB","Kukës","admin","16719","1008649172"
"Peshkopi","Peshkopi","41.6831","20.4289","Albania","AL","ALB","Dibër","admin","13251","1008412550"
"Sarandë","Sarande","39.8833","20.0167","Albania","AL","ALB","Vlorë","","41000","1008879697"
"Lushnjë","Lushnje","40.9333","19.7000","Albania","AL","ALB","Fier","","31105","1008790888"
"Kavajë","Kavaje","41.1833","19.5500","Albania","AL","ALB","Tiranë","","29354","1008475617"
"Pogradec","Pogradec","40.9000","20.6500","Albania","AL","ALB","Korçë","","20848","1008366566"
"Fushë-Krujë","Fushe-Kruje","41.4833","19.7167","Albania","AL","ALB","Durrës","","18477","1008652935"
"Laç","Lac","41.6353","19.7131","Albania","AL","ALB","Lezhë","","17086","1008762785"
"Sukth","Sukth","41.3833","19.5333","Albania","AL","ALB","Durrës","","15966","1008647190"
"Patos","Patos","40.6841","19.6194","Albania","AL","ALB","Fier","","15397","1008184635"
"Kuçovë","Kucove","40.8039","19.9144","Albania","AL","ALB","Berat","","12654","1008520632"
"Librazhd-Qendër","Librazhd-Qender","41.1969","20.3356","Albania","AL","ALB","Elbasan","","12691","1008639331"
"Krujë","Kruje","41.5178","19.7978","Albania","AL","ALB","Durrës","","11721","1008696208"
"Burrel","Burrel","41.6000","20.0000","Albania","AL","ALB","Dibër","","10862","1008883153"
"Gramsh","Gramsh","40.8667","20.1833","Albania","AL","ALB","Elbasan","","8440","1008632813"
"Shijak","Shijak","41.3456","19.5672","Albania","AL","ALB","Durrës","","7568","1008348826"
"Libonik","Libonik","40.7500","20.7167","Albania","AL","ALB","Korçë","","8922","1008483668"
"Belsh","Belsh","40.9833","19.8833","Albania","AL","ALB","Elbasan","","8781","1008080226"
"Rrëshen","Rreshen","41.7667","19.8833","Albania","AL","ALB","Lezhë","","8803","1008845269"
"Ballsh","Ballsh","40.5991","19.7359","Albania","AL","ALB","Fier","","7657","1008709957"
"Mamurras","Mamurras","41.5775","19.6922","Albania","AL","ALB","Lezhë","","8282","1008549519"
"Divjakë","Divjake","40.9964","19.5327","Albania","AL","ALB","Fier","","8445","1008489904"
"Bulqizë","Bulqize","41.5000","20.2167","Albania","AL","ALB","Dibër","","8177","1008809272"
"Shëngjin","Shengjin","41.8136","19.5939","Albania","AL","ALB","Lezhë","","8091","1008373202"
"Vau i Dejës","Vau i Dejes","42.0000","19.6333","Albania","AL","ALB","Shkodër","","8117","1008394491"
"Rrogozhinë","Rrogozhine","41.0761","19.6667","Albania","AL","ALB","Tiranë","","7049","1008422115"
"Librazhd","Librazhd","41.1833","20.3167","Albania","AL","ALB","Elbasan","","6937","1008800835"
"Bilisht","Bilisht","40.6275","20.9900","Albania","AL","ALB","Korçë","","7114","1008832248"
"Peqin","Peqin","41.0500","19.7500","Albania","AL","ALB","Elbasan","","6353","1008394656"
"Cërrik","Cerrik","41.0333","19.9833","Albania","AL","ALB","Elbasan","","6695","1008302673"
"Roskovec","Roskovec","40.7375","19.7022","Albania","AL","ALB","Fier","","6657","1008765146"
"Përmet","Permet","40.2333","20.3500","Albania","AL","ALB","Gjirokastër","","5945","1008604833"
"Prrenjas","Prrenjas","41.0667","20.5500","Albania","AL","ALB","Elbasan","","5847","1008654405"
"Krumë","Krume","42.1961","20.4146","Albania","AL","ALB","Kukës","","6006","1008823158"
"Delvinë","Delvine","39.9494","20.0958","Albania","AL","ALB","Vlorë","","5754","1008273800"
"Bajram Curri","Bajram Curri","42.3582","20.0760","Albania","AL","ALB","Kukës","","5340","1008251523"
"Tepelenë","Tepelene","40.3000","20.0167","Albania","AL","ALB","Gjirokastër","","4342","1008683571"
"Ersekë","Erseke","40.3333","20.6833","Albania","AL","ALB","Korçë","","3746","1008049831"
"Çorovodë","Corovode","40.5042","20.2272","Albania","AL","ALB","Berat","","4051","1008566247"
"Pukë","Puke","42.0500","19.9000","Albania","AL","ALB","Shkodër","","3607","1008739218"
