"Luanda","Luanda","-8.8383","13.2344","Angola","AO","AGO","Luanda","primary","8883000","1024949724"
"Cacuaco","Cacuaco","-8.7833","13.3667","Angola","AO","AGO","Luanda","","1279488","1024559448"
"Lubango","Lubango","-14.9167","13.5000","Angola","AO","AGO","Huíla","admin","776249","1024669127"
"Huambo","Huambo","-12.7667","15.7333","Angola","AO","AGO","Huambo","admin","665564","1024079828"
"Benguela","Benguela","-12.5500","13.4167","Angola","AO","AGO","Benguela","admin","561775","1024141961"
"Cabinda","Cabinda","-5.5667","12.2000","Angola","AO","AGO","Cabinda","admin","550000","1024474012"
"Belas","Belas","-9.0689","13.1608","Angola","AO","AGO","Luanda","","500000","1024196826"
"Talatona","Talatona","-8.9167","13.1833","Angola","AO","AGO","Luanda","","500000","1024988332"
"Lobito","Lobito","-12.3597","13.5308","Angola","AO","AGO","Benguela","","393079","1024128946"
"Saurimo","Saurimo","-9.6589","20.3934","Angola","AO","AGO","Lunda Sul","admin","393000","1024326839"
"Cubal","Cubal","-13.1117","14.3672","Angola","AO","AGO","Benguela","","357618","1024580158"
"Uíge","Uige","-7.6087","15.0613","Angola","AO","AGO","Uíge","admin","322531","1024666275"
"Menongue","Menongue","-14.6556","17.6842","Angola","AO","AGO","Kuando Kubango","admin","320914","1024725650"
"Vila Teixeira da Silva","Vila Teixeira da Silva","-12.1958","15.8556","Angola","AO","AGO","Huambo","","294494","1024863343"
"Sumbe","Sumbe","-11.2052","13.8417","Angola","AO","AGO","Kwanza Sul","admin","279968","1024297937"
"Gabela","Gabela","-10.8500","14.3667","Angola","AO","AGO","Kwanza Sul","","271843","1024159015"
"Moçâmedes","Mocamedes","-15.1953","12.1508","Angola","AO","AGO","Namibe","admin","255000","1024785067"
"Ganda","Ganda","-13.0167","14.6333","Angola","AO","AGO","Benguela","","235486","1024320952"
"Barra do Dande","Barra do Dande","-8.4728","13.3731","Angola","AO","AGO","Bengo","","222528","1024937810"
"Tchitato","Tchitato","-7.3450","20.8198","Angola","AO","AGO","Lunda Norte","","195136","1024883433"
"Chibia","Chibia","-15.1833","13.7000","Angola","AO","AGO","Huíla","","190670","1024017930"
"Cuango","Cuango","-9.1444","18.0464","Angola","AO","AGO","Lunda Norte","","183767","1024514740"
"Catumbela","Catumbela","-12.4167","13.5333","Angola","AO","AGO","Benguela","","175805","1024821574"
"Catape","Catape","-13.7667","15.0833","Angola","AO","AGO","Huíla","","167820","1024321158"
"Bocoio","Bocoio","-12.4667","14.1333","Angola","AO","AGO","Benguela","","164685","1024922883"
"Quibala","Quibala","-10.7311","15.0003","Angola","AO","AGO","Kwanza Sul","","163991","1024007950"
"Ndalatando","Ndalatando","-9.3000","14.9167","Angola","AO","AGO","Kwanza Norte","admin","161584","1024645515"
"Quipungo","Quipungo","-14.8167","14.5167","Angola","AO","AGO","Huíla","","158918","1024929138"
"Lucapa","Lucapa","-8.4228","20.7393","Angola","AO","AGO","Lunda Norte","","154305","1024056286"
"Mbanza Kongo","Mbanza Kongo","-6.2667","14.2500","Angola","AO","AGO","Zaire","admin","148000","1024532464"
"Namacunde","Namacunde","-17.3000","15.8500","Angola","AO","AGO","Cunene","","142047","1024843393"
"Negage","Negage","-7.7667","15.2667","Angola","AO","AGO","Uíge","","137559","1024978551"
"Porto Amboim","Porto Amboim","-10.7183","13.7500","Angola","AO","AGO","Kwanza Sul","","137000","1024818756"
"Londuimbali","Londuimbali","-12.2419","15.3133","Angola","AO","AGO","Huambo","","134254","1024280825"
"Chicomba","Chicomba","-14.1333","14.9167","Angola","AO","AGO","Huíla","","131807","1024892795"
"Chinguar","Chinguar","-12.5500","16.3333","Angola","AO","AGO","Bié","","129370","1024191137"
"Catabola","Catabola","-12.1167","17.3000","Angola","AO","AGO","Bié","","126631","1024994288"
"Malanje","Malanje","-9.5469","16.3387","Angola","AO","AGO","Malanje","admin","125856","1024774947"
"Ondjiva","Ondjiva","-17.0667","15.7333","Angola","AO","AGO","Cunene","admin","121537","1024504085"
"Catchiungo","Catchiungo","-12.5667","16.2333","Angola","AO","AGO","Huambo","","120677","1024414170"
"Cassongue","Cassongue","-11.8333","15.0000","Angola","AO","AGO","Kwanza Sul","","117000","1024511668"
"Cuito","Cuito","-12.3833","16.9333","Angola","AO","AGO","Bié","admin","114000","1024939858"
"Quilengues","Quilengues","-14.0814","14.0764","Angola","AO","AGO","Huíla","","113825","1024895987"
"Mungo","Mungo","-11.6667","16.1667","Angola","AO","AGO","Huambo","","113417","1024065318"
"Balombo","Balombo","-12.3500","14.7667","Angola","AO","AGO","Benguela","","108965","1024251027"
"Baía Farta","Baia Farta","-12.6128","13.1987","Angola","AO","AGO","Benguela","","107841","1024743438"
"Ndjamba","Ndjamba","-14.7000","16.0667","Angola","AO","AGO","Huíla","","105090","1024911597"
"Caxito","Caxito","-8.5785","13.6642","Angola","AO","AGO","Bengo","admin","77276","1024050171"
"Luena","Luena","-11.7900","19.9000","Angola","AO","AGO","Moxico","admin","21115","1024283760"
"Dundo","Dundo","-7.3800","20.8300","Angola","AO","AGO","Lunda Norte","admin","11985","1024121799"
"Quilenda","Quilenda","-10.6333","14.3333","Angola","AO","AGO","Kwanza Sul","","97648","1024011632"
"Caimbambo","Caimbambo","-12.9000","14.0833","Angola","AO","AGO","Benguela","","90838","1024891825"
"Cambambe","Cambambe","-9.7431","14.4914","Angola","AO","AGO","Kwanza Norte","","90766","1024312565"
"Uacu Cungo","Uacu Cungo","-11.3583","15.1194","Angola","AO","AGO","Kwanza Sul","","90000","1024677127"
"Luau","Luau","-10.7000","22.2333","Angola","AO","AGO","Moxico","","90000","1024699465"
"Conda","Conda","-11.1667","14.5000","Angola","AO","AGO","Kwanza Sul","","89479","1024402215"
"Humpata","Humpata","-15.0725","13.3678","Angola","AO","AGO","Huíla","","89144","1024063224"
"Chongoroi","Chongoroi","-13.5667","13.9500","Angola","AO","AGO","Benguela","","87278","1024105319"
"Capenda Camulemba","Capenda Camulemba","-9.4233","18.4328","Angola","AO","AGO","Lunda Norte","","80000","1024864144"
"Kuvango","Kuvango","-14.4667","16.3000","Angola","AO","AGO","Huíla","","78543","1024458480"
"Chitembo","Chitembo","-13.5167","16.7667","Angola","AO","AGO","Bié","","78156","1024103269"
"Cahama","Cahama","-16.2833","14.3167","Angola","AO","AGO","Cunene","","70061","1024638606"
"Soio","Soio","-6.1333","12.3667","Angola","AO","AGO","Zaire","","67491","1024903782"
"Chipindo","Chipindo","-13.8244","15.8000","Angola","AO","AGO","Huíla","","64714","1024089157"
"Camabatela","Camabatela","-8.1833","15.3667","Angola","AO","AGO","Kwanza Norte","","61769","1024701540"
"Nambuangongo","Nambuangongo","-8.0483","14.3372","Angola","AO","AGO","Bengo","","60883","1024536521"
"Cuemba","Cuemba","-12.1500","18.0833","Angola","AO","AGO","Bié","","56963","1024686026"
"Ucuma","Ucuma","-12.8500","15.0667","Angola","AO","AGO","Huambo","","55054","1024023900"
"Cuchi","Cuchi","-14.6372","16.9611","Angola","AO","AGO","Kuando Kubango","","42974","1024135358"
"Cuito Cuanavale","Cuito Cuanavale","-15.1639","19.1731","Angola","AO","AGO","Kuando Kubango","","40829","1024195525"
"Porto Alexandre","PortoAlexandre","-15.8032","11.8459","Angola","AO","AGO","Namibe","","40000","1024489244"
"Tchindjendje","Tchindjendje","-12.8167","14.9333","Angola","AO","AGO","Huambo","","30443","1024902504"
"Mavinga","Mavinga","-15.7895","20.3600","Angola","AO","AGO","Kuando Kubango","","30000","1024585059"
"Caluquembe","Caluquembe","-13.9208","14.5347","Angola","AO","AGO","Huíla","","25933","1024240126"
"Longonjo","Longonjo","-12.9067","15.1864","Angola","AO","AGO","Huambo","","24350","1024081092"
"Alto-Cuilo","Alto-Cuilo","-10.0500","19.5167","Angola","AO","AGO","Lunda Sul","","21004","1024029875"
"Cacongo","Cacongo","-5.2333","12.1333","Angola","AO","AGO","Cabinda","","21000","1024356360"
"Lubalo","Lubalo","-9.1500","19.2833","Angola","AO","AGO","Lunda Norte","","20631","1024568664"
"Camacupa","Camacupa","-12.0167","17.4833","Angola","AO","AGO","Bié","","19150","1024037086"
"Ambriz","Ambriz","-7.8500","13.1167","Angola","AO","AGO","Bengo","","17000","1024609563"
"Bolongongo","Bolongongo","-8.4667","15.2500","Angola","AO","AGO","Kwanza Norte","","13019","1024319966"
