"Buenos Aires","Buenos Aires","-34.5997","-58.3819","Argentina","AR","ARG","Buenos Aires, Ciudad Autónoma de","primary","16216000","1032717330"
"Córdoba","Cordoba","-31.4167","-64.1833","Argentina","AR","ARG","Córdoba","admin","1329604","1032803249"
"Rosario","Rosario","-32.9575","-60.6394","Argentina","AR","ARG","Santa Fe","minor","1193605","1032770677"
"Comodoro Rivadavia","Comodoro Rivadavia","-45.8667","-67.5000","Argentina","AR","ARG","Chubut","minor","730266","1032042035"
"San Miguel de Tucumán","San Miguel de Tucuman","-26.8167","-65.2167","Argentina","AR","ARG","Tucumán","admin","605767","1032233996"
"Mar del Plata","Mar del Plata","-38.0000","-57.5500","Argentina","AR","ARG","Buenos Aires","minor","593337","1032456103"
"Salta","Salta","-24.7883","-65.4106","Argentina","AR","ARG","Salta","admin","535303","1032926124"
"San Juan","San Juan","-31.5375","-68.5364","Argentina","AR","ARG","San Juan","admin","471389","1032869625"
"Lanús","Lanus","-34.7000","-58.4000","Argentina","AR","ARG","Buenos Aires","minor","459263","1032009573"
"Florencio Varela","Florencio Varela","-34.8167","-58.2833","Argentina","AR","ARG","Buenos Aires","","426005","1032730758"
"Santa Fe","Santa Fe","-31.6333","-60.7000","Argentina","AR","ARG","Santa Fe","admin","405683","1032817575"
"Corrientes","Corrientes","-27.4833","-58.8167","Argentina","AR","ARG","Corrientes","admin","352646","1032173097"
"San Salvador de Jujuy","San Salvador de Jujuy","-24.1856","-65.2994","Argentina","AR","ARG","Jujuy","admin","321789","1032815808"
"Bahía Blanca","Bahia Blanca","-38.7167","-62.2667","Argentina","AR","ARG","Buenos Aires","minor","299101","1032795766"
"Resistencia","Resistencia","-27.4514","-58.9867","Argentina","AR","ARG","Chaco","admin","291720","1032720891"
"Posadas","Posadas","-27.3667","-55.8969","Argentina","AR","ARG","Misiones","admin","275988","1032970696"
"Santiago del Estero","Santiago del Estero","-27.7844","-64.2669","Argentina","AR","ARG","Santiago del Estero","admin","252192","1032492280"
"Paraná","Parana","-31.7444","-60.5175","Argentina","AR","ARG","Entre Ríos","admin","247863","1032266693"
"Merlo","Merlo","-34.6653","-58.7275","Argentina","AR","ARG","Buenos Aires","minor","244168","1032232613"
"González Catán","Gonzalez Catan","-34.7708","-58.6464","Argentina","AR","ARG","Buenos Aires","","238067","1032883563"
"Quilmes","Quilmes","-34.7167","-58.2667","Argentina","AR","ARG","Buenos Aires","minor","230810","1032880202"
"Neuquén","Neuquen","-38.9573","-68.0455","Argentina","AR","ARG","Neuquén","admin","231198","1032525768"
"Banfield","Banfield","-34.7500","-58.3833","Argentina","AR","ARG","Buenos Aires","","223898","1032997685"
"José C. Paz","Jose C. Paz","-34.5167","-58.7667","Argentina","AR","ARG","Buenos Aires","minor","216637","1032741145"
"Formosa","Formosa","-26.1847","-58.1758","Argentina","AR","ARG","Formosa","admin","222226","1032802536"
"Isidro Casanova","Isidro Casanova","-34.7000","-58.5833","Argentina","AR","ARG","Buenos Aires","","190696","1032715964"
