"Sarajevo","Sarajevo","43.8563","18.4132","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","primary","275524","1070966777"
"Banja Luka","Banja Luka","44.7667","17.1833","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","admin","199191","1070859064"
"Mostar","Mostar","43.3494","17.8125","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","163067","1070000220"
"Bijeljina","Bijeljina","44.7500","19.2167","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","114663","1070522751"
"Tuzla","Tuzla","44.5381","18.6761","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","110979","1070117835"
"Brčko","Brcko","44.8783","18.8092","Bosnia And Herzegovina","BA","BIH","Brcko District","admin","39893","1070370826"
"Prijedor","Prijedor","44.9667","16.7000","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","89397","1070565353"
"Zenica","Zenica","44.2017","17.9039","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","70553","1070047832"
"Doboj","Doboj","44.7333","18.1333","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","68514","1070396173"
"Zvornik","Zvornik","44.3833","19.1000","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","63686","1070289722"
"Sanski Most","Sanski Most","44.7667","16.6667","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","47359","1070675252"
"Lukavac","Lukavac","44.5333","18.5333","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","46731","1070273413"
"Bihać","Bihac","44.8167","15.8667","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","43007","1070788265"
"Bugojno","Bugojno","44.0572","17.4508","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","34559","1070311249"
"Žepče","Zepce","44.4333","18.0333","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","31582","1070466847"
"Trebinje","Trebinje","42.7089","18.3217","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","31433","1070826374"
"Bosanska Krupa","Bosanska Krupa","44.8833","16.1500","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","29659","1070449050"
"Čapljina","Capljina","43.1100","17.7000","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","28122","1070896558"
"Banovići","Banovici","44.4089","18.5287","Bosnia And Herzegovina","BA","BIH","","minor","22773","1070705661"
"Breza","Breza","44.0210","18.2610","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","14564","1070229008"
"Derventa","Derventa","44.9800","17.9100","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","12680","1070137362"
"Goražde","Gorazde","43.6667","18.9778","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","12512","1070619970"
"Foča","Foca","43.5000","18.7833","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","12334","1070603568"
"Sapna","Sapna","44.4917","19.0028","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","12136","1070454621"
"Jablanica","Jablanica","43.6583","17.7583","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","10580","1070524039"
"Vareš","Vares","44.1644","18.3283","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","9556","1070474354"
"Livno","Livno","43.8269","17.0081","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","9045","1070523528"
"Bosanski Petrovac","Bosanski Petrovac","44.5500","16.3667","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","7946","1070850291"
"Mrkonjić Grad","Mrkonjic Grad","44.4167","17.0833","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","7915","1070046769"
"Drvar","Drvar","44.3739","16.3808","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","7506","1070145657"
"Velika Kladuša","Velika Kladusa","45.1667","15.8000","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","6902","1070100775"
"Višegrad","Visegrad","43.7833","19.2833","Bosnia And Herzegovina","BA","BIH","Srpska, Republika","minor","5869","1070100453"
"Tomislavgrad","Tomislavgrad","43.7135","17.2266","Bosnia And Herzegovina","BA","BIH","Bosnia and Herzegovina, Federation of","minor","5760","1070139386"
