"Brussels","Brussels","50.8353","4.3314","Belgium","BE","BEL","Brussels-Capital Region","primary","1743000","1056469830"
"Antwerp","Antwerp","51.2211","4.3997","Belgium","BE","BEL","Flanders","minor","529247","1056168623"
"Gent","Gent","51.0536","3.7253","Belgium","BE","BEL","Flanders","minor","262219","1056062897"
"Charleroi","Charleroi","50.4167","4.4442","Belgium","BE","BEL","Wallonia","minor","201816","1056263311"
"Liège","Liege","50.6397","5.5706","Belgium","BE","BEL","Wallonia","minor","196623","1056513284"
"Anderlecht","Anderlecht","50.8392","4.3297","Belgium","BE","BEL","Brussels-Capital Region","","117412","1056297471"
"Bruges","Bruges","51.2089","3.2242","Belgium","BE","BEL","Flanders","minor","118284","1056953902"
"Namur","Namur","50.4667","4.8667","Belgium","BE","BEL","Wallonia","admin","110939","1056954156"
"Moortebeek","Moortebeek","50.8547","4.3386","Belgium","BE","BEL","Flanders","","97005","1056103437"
"Leuven","Leuven","50.8775","4.7044","Belgium","BE","BEL","Flanders","minor","100291","1056866572"
"Mechelen","Mechelen","51.0281","4.4803","Belgium","BE","BEL","Flanders","minor","86921","1056687706"
"Forest","Forest","50.8117","4.3181","Belgium","BE","BEL","Brussels-Capital Region","","56008","1056640531"
"Etterbeek","Etterbeek","50.8361","4.3861","Belgium","BE","BEL","Brussels-Capital Region","","47786","1056267205"
"Jette","Jette","50.8758","4.3244","Belgium","BE","BEL","Brussels-Capital Region","","43564","1056315355"
"Evere","Evere","50.8719","4.4033","Belgium","BE","BEL","Brussels-Capital Region","","41131","1056731697"
"Vilvoorde","Vilvoorde","50.9281","4.4245","Belgium","BE","BEL","Flanders","minor","44015","1056838834"
"Wilrijk","Wilrijk","51.1667","4.3833","Belgium","BE","BEL","Flanders","","38319","1056856588"
"Koekelberg","Koekelberg","50.8606","4.3317","Belgium","BE","BEL","Brussels-Capital Region","","18541","1056006015"
"Sint-Joost-ten-Node","Sint-Joost-ten-Node","50.8508","4.3692","Belgium","BE","BEL","Brussels-Capital Region","","27032","1056751248"
"Ganshoren","Ganshoren","50.8703","4.3078","Belgium","BE","BEL","Brussels-Capital Region","","24865","1056018953"
"Mortsel","Mortsel","51.1703","4.4567","Belgium","BE","BEL","Flanders","","26157","1056283690"
"Saint-Nicolas","Saint-Nicolas","50.6333","5.5333","Belgium","BE","BEL","Wallonia","","24251","1056730951"
"Ekeren","Ekeren","51.2772","4.4178","Belgium","BE","BEL","Flanders","","22874","1056130684"
"Edegem","Edegem","51.1547","4.4458","Belgium","BE","BEL","Flanders","","21947","1056844359"
"Assebroek","Assebroek","51.1964","3.2536","Belgium","BE","BEL","Flanders","","19737","1056722855"
"Boom","Boom","51.0875","4.3667","Belgium","BE","BEL","Flanders","","17782","1056928401"
"Wondelgem","Wondelgem","51.0889","3.7131","Belgium","BE","BEL","Flanders","","16932","1056981406"
"Wezembeek-Oppem","Wezembeek-Oppem","50.8333","4.5000","Belgium","BE","BEL","Flanders","","14021","1056614570"
"Kraainem","Kraainem","50.8667","4.4667","Belgium","BE","BEL","Flanders","","13690","1056363403"
"Hemiksem","Hemiksem","51.1431","4.3411","Belgium","BE","BEL","Flanders","","11368","1056061898"
"Borsbeek","Borsbeek","51.1928","4.4889","Belgium","BE","BEL","Flanders","","10685","1056005961"
"Drogenbos","Drogenbos","50.7833","4.3167","Belgium","BE","BEL","Flanders","","5599","1056423988"
"Mons","Mons","50.4550","3.9520","Belgium","BE","BEL","Wallonia","minor","95299","1056836704"
"Aalst","Aalst","50.9383","4.0392","Belgium","BE","BEL","Flanders","minor","85715","1056695813"
"La Louvière","La Louviere","50.4778","4.1881","Belgium","BE","BEL","Wallonia","","80986","1056383929"
"Hasselt","Hasselt","50.9305","5.3385","Belgium","BE","BEL","Flanders","minor","77651","1056617022"
"Sint-Niklaas","Sint-Niklaas","51.1644","4.1392","Belgium","BE","BEL","Flanders","minor","76756","1056028982"
"Kortrijk","Kortrijk","50.8333","3.2667","Belgium","BE","BEL","Flanders","minor","76265","1056702614"
"Ostend","Ostend","51.2333","2.9333","Belgium","BE","BEL","Flanders","minor","71332","1056454956"
"Tournai","Tournai","50.6000","3.3833","Belgium","BE","BEL","Wallonia","minor","69554","1056138540"
"Genk","Genk","50.9500","5.5000","Belgium","BE","BEL","Flanders","","66110","1056555160"
"Seraing","Seraing","50.5986","5.5122","Belgium","BE","BEL","Wallonia","","64270","1056627579"
"Roeselare","Roeselare","50.9447","3.1233","Belgium","BE","BEL","Flanders","minor","62301","1056334112"
"Mouscron","Mouscron","50.7444","3.2156","Belgium","BE","BEL","Wallonia","minor","58234","1056095679"
"Verviers","Verviers","50.5833","5.8500","Belgium","BE","BEL","Wallonia","minor","55198","1056464610"
"Beveren","Beveren","51.2000","4.2500","Belgium","BE","BEL","Flanders","","48192","1056581431"
"Beringen","Beringen","51.0333","5.2167","Belgium","BE","BEL","Flanders","","46065","1056300146"
"Dendermonde","Dendermonde","51.0167","4.1000","Belgium","BE","BEL","Flanders","minor","45673","1056277590"
"Turnhout","Turnhout","51.3167","4.9333","Belgium","BE","BEL","Flanders","minor","44136","1056378407"
"Dilbeek","Dilbeek","50.8333","4.2500","Belgium","BE","BEL","Flanders","","42434","1056357068"
"Heist-op-den-Berg","Heist-op-den-Berg","51.0758","4.7286","Belgium","BE","BEL","Flanders","","42478","1056533253"
"Lokeren","Lokeren","51.1000","3.9833","Belgium","BE","BEL","Flanders","","41438","1056040417"
"Herstal","Herstal","50.6644","5.6300","Belgium","BE","BEL","Wallonia","","39958","1056571016"
"Geel","Geel","51.1611","4.9903","Belgium","BE","BEL","Flanders","","40709","1056650070"
"Sint-Truiden","Sint-Truiden","50.8167","5.1833","Belgium","BE","BEL","Flanders","","40672","1056944500"
