"Bandar Seri Begawan","Bandar Seri Begawan","4.9167","114.9167","Brunei","BN","BRN","Brunei and Muara","primary","50000","1096465895"
"Kuala Belait","Kuala Belait","4.5828","114.1918","Brunei","BN","BRN","Belait","admin","4259","1096999548"
"Bangar","Bangar","4.7086","115.0739","Brunei","BN","BRN","Temburong","admin","626","1096321221"
"Tutong","Tutong","4.8067","114.6592","Brunei","BN","BRN","Tutong","admin","","1096181037"
"Seria","Seria","4.6142","114.3303","Brunei","BN","BRN","Belait","","21082","1096351415"
"Kampong Tunah Jambu","Kampong Tunah Jambu","4.9957","115.0019","Brunei","BN","BRN","Brunei and Muara","","8809","1096755570"
"Kampong Lambak","Kampong Lambak","4.9687","114.9458","Brunei","BN","BRN","Brunei and Muara","","7293","1096239365"
"Kampong Mata Mata","Kampong Mata Mata","4.9017","114.8958","Brunei","BN","BRN","Brunei and Muara","","6126","1096388979"
"Kampong Beribi","Kampong Beribi","4.8841","114.8960","Brunei","BN","BRN","Brunei and Muara","","5679","1096260318"
"Kampong Mulaut","Kampong Mulaut","4.8693","114.8466","Brunei","BN","BRN","Brunei and Muara","","5846","1096720047"
"Kampong Rimba","Kampong Rimba","4.9271","114.9059","Brunei","BN","BRN","Brunei and Muara","","5013","1096732835"
