"São Paulo","Sao Paulo","-23.5504","-46.6339","Brazil","BR","BRA","São Paulo","admin","22495000","1076532519"
"Rio de Janeiro","Rio de Janeiro","-22.9083","-43.1964","Brazil","BR","BRA","Rio de Janeiro","admin","12486000","1076887657"
"Belo Horizonte","Belo Horizonte","-19.9281","-43.9419","Brazil","BR","BRA","Minas Gerais","admin","5159000","1076967355"
"Brasília","Brasilia","-15.7939","-47.8828","Brazil","BR","BRA","Distrito Federal","primary","3015268","1076144436"
"Salvador","Salvador","-12.9708","-38.5108","Brazil","BR","BRA","Bahia","admin","2886698","1076923789"
"Fortaleza","Fortaleza","-3.7275","-38.5275","Brazil","BR","BRA","Ceará","admin","2452185","1076567885"
"Curitiba","Curitiba","-25.4297","-49.2719","Brazil","BR","BRA","Paraná","admin","1879355","1076701712"
"Manaus","Manaus","-3.1000","-60.0167","Brazil","BR","BRA","Amazonas","admin","1802014","1076607274"
"Recife","Recife","-8.0539","-34.8808","Brazil","BR","BRA","Pernambuco","admin","1653461","1076137337"
"Belém","Belem","-1.4558","-48.5039","Brazil","BR","BRA","Pará","admin","1499641","1076646823"
"Porto Alegre","Porto Alegre","-30.0328","-51.2300","Brazil","BR","BRA","Rio Grande do Sul","admin","1484941","1076658221"
"Goiânia","Goiania","-16.6806","-49.2564","Brazil","BR","BRA","Goiás","admin","1393575","1076034054"
"Guarulhos","Guarulhos","-23.4667","-46.5333","Brazil","BR","BRA","São Paulo","","1324781","1076730420"
"Vila Velha","Vila Velha","3.2167","-51.2167","Brazil","BR","BRA","Amapá","","1209091","1076575691"
"Campinas","Campinas","-22.9009","-47.0573","Brazil","BR","BRA","São Paulo","","1164098","1076145766"
"São Gonçalo","Sao Goncalo","-22.8269","-43.0539","Brazil","BR","BRA","Rio de Janeiro","","1077687","1076485783"
"São Luís","Sao Luis","-2.5300","-44.3028","Brazil","BR","BRA","Maranhão","admin","1073893","1076819308"
"Maceió","Maceio","-9.6658","-35.7350","Brazil","BR","BRA","Alagoas","admin","1025360","1076440479"
"Natal","Natal","-6.9838","-60.2699","Brazil","BR","BRA","Amazonas","","980588","1076336975"
"Campo Grande","Campo Grande","-20.4686","-54.6222","Brazil","BR","BRA","Mato Grosso do Sul","admin","906092","1076660445"
"Natal","Natal","-5.7950","-35.2089","Brazil","BR","BRA","Rio Grande do Norte","admin","877662","1076697777"
"Teresina","Teresina","-5.0949","-42.8042","Brazil","BR","BRA","Piauí","admin","847430","1076727667"
"Iguaçu","Iguacu","-22.7400","-43.4700","Brazil","BR","BRA","Rio de Janeiro","","844583","1076339714"
"São Bernardo do Campo","Sao Bernardo do Campo","-23.6939","-46.5650","Brazil","BR","BRA","São Paulo","","816925","1076793227"
"João Pessoa","Joao Pessoa","-7.1200","-34.8800","Brazil","BR","BRA","Paraíba","admin","801718","1076922014"
"Abaeté","Abaete","-19.1583","-45.4522","Brazil","BR","BRA","Minas Gerais","","800000","1076413528"
"Jaboatão","Jaboatao","-8.1803","-35.0014","Brazil","BR","BRA","Pernambuco","","702621","1076000699"
"Santo André","Santo Andre","-23.6572","-46.5333","Brazil","BR","BRA","São Paulo","","710210","1076625886"
"Osasco","Osasco","-23.5328","-46.7919","Brazil","BR","BRA","São Paulo","","694844","1076786452"
"São José dos Campos","Sao Jose dos Campos","-23.1789","-45.8869","Brazil","BR","BRA","São Paulo","","688597","1076783887"
"Ribeirão Prêto","Ribeirao Preto","-21.1783","-47.8067","Brazil","BR","BRA","São Paulo","","666323","1076524478"
"Contagem","Contagem","-19.9319","-44.0539","Brazil","BR","BRA","Minas Gerais","","648766","1076845191"
"Sorocaba","Sorocaba","-23.5019","-47.4578","Brazil","BR","BRA","São Paulo","","644919","1076758708"
"Aracaju","Aracaju","-10.9167","-37.0500","Brazil","BR","BRA","Sergipe","admin","632744","1076527830"
"Feira de Santana","Feira de Santana","-12.2669","-38.9669","Brazil","BR","BRA","Bahia","","617528","1076892244"
"Uberlândia","Uberlandia","-18.9189","-48.2769","Brazil","BR","BRA","Minas Gerais","","604013","1076495001"
"Cuiabá","Cuiaba","-15.5958","-56.0969","Brazil","BR","BRA","Mato Grosso","admin","585367","1076112309"
"Juiz de Fora","Juiz de Fora","-21.7500","-43.3500","Brazil","BR","BRA","Minas Gerais","","555284","1076006144"
"Londrina","Londrina","-23.3100","-51.1628","Brazil","BR","BRA","Paraná","","548249","1076723241"
"Joinvile","Joinvile","-26.3039","-48.8458","Brazil","BR","BRA","Santa Catarina","","515288","1076050637"
"Ananindeua","Ananindeua","-1.3658","-48.3719","Brazil","BR","BRA","Pará","","510834","1076025295"
"Niterói","Niteroi","-22.8833","-43.1036","Brazil","BR","BRA","Rio de Janeiro","","496696","1076501425"
"Serra","Serra","-20.1289","-40.3078","Brazil","BR","BRA","Espírito Santo","","485376","1076191325"
"Florianópolis","Florianopolis","-27.5933","-48.5530","Brazil","BR","BRA","Santa Catarina","admin","477798","1076190259"
"Vila Velha","Vila Velha","-20.3364","-40.2936","Brazil","BR","BRA","Espírito Santo","","472762","1076404077"
"Macapá","Macapa","0.0330","-51.0653","Brazil","BR","BRA","Amapá","admin","474706","1076189884"
"Campos","Campos","-21.7539","-41.3239","Brazil","BR","BRA","Rio de Janeiro","","463731","1076606365"
"Mauá","Maua","-23.6678","-46.4608","Brazil","BR","BRA","São Paulo","","453286","1076477498"
"São José do Rio Prêto","Sao Jose do Rio Preto","-20.8200","-49.3789","Brazil","BR","BRA","São Paulo","","442548","1076760827"
"Caxias do Sul","Caxias do Sul","-29.1678","-51.1789","Brazil","BR","BRA","Rio Grande do Sul","","435564","1076809957"
"Santos","Santos","-23.9608","-46.3339","Brazil","BR","BRA","São Paulo","","433966","1076033299"
"Porto Velho","Porto Velho","-8.7619","-63.9039","Brazil","BR","BRA","Rondônia","admin","428527","1076045591"
"Mogi das Cruzes","Mogi das Cruzes","-23.5228","-46.1931","Brazil","BR","BRA","São Paulo","","424633","1076857883"
"Diadema","Diadema","-23.6858","-46.6228","Brazil","BR","BRA","São Paulo","","412428","1076867279"
"Rio Branco","Rio Branco","-9.9781","-67.8117","Brazil","BR","BRA","Acre","admin","413418","1076391263"
"Campina Grande","Campina Grande","-7.2306","-35.8811","Brazil","BR","BRA","Paraíba","","405072","1076218697"
"Maringá","Maringa","-23.4250","-51.9389","Brazil","BR","BRA","Paraná","","403063","1076013378"
"Carapicuíba","Carapicuiba","-23.5228","-46.8358","Brazil","BR","BRA","São Paulo","","392294","1076874103"
"Jundiaí","Jundiai","-23.1864","-46.8842","Brazil","BR","BRA","São Paulo","","401896","1076998392"
"Olinda","Olinda","-8.0089","-34.8550","Brazil","BR","BRA","Pernambuco","","389494","1076784718"
"Piracicaba","Piracicaba","-22.7253","-47.6492","Brazil","BR","BRA","São Paulo","","391449","1076166252"
"Betim","Betim","-19.9678","-44.1978","Brazil","BR","BRA","Minas Gerais","","378089","1076953384"
"Bauru","Bauru","-22.3147","-49.0606","Brazil","BR","BRA","São Paulo","","366992","1076905338"
"Anápolis","Anapolis","-16.3269","-48.9528","Brazil","BR","BRA","Goiás","","366491","1076208869"
"Blumenau","Blumenau","-26.9189","-49.0658","Brazil","BR","BRA","Santa Catarina","","361855","1076618665"
