"Thimphu","Thimphu","27.4833","89.6333","Bhutan","BT","BTN","Thimphu","primary","104000","1064010361"
"Paro","Paro","27.4333","89.4167","Bhutan","BT","BTN","Paro","admin","15000","1064216277"
"Wangdue Phodrang","Wangdue Phodrang","27.4333","89.9167","Bhutan","BT","BTN","Wangdue Phodrang","admin","5000","1064353953"
"Punakha","Punakha","27.6167","89.8667","Bhutan","BT","BTN","Punakha","admin","5000","1064171188"
"Samtse","Samtse","26.8667","89.1000","Bhutan","BT","BTN","Samtse","admin","4981","1064763429"
"Tsirang","Tsirang","27.0219","90.1229","Bhutan","BT","BTN","Tsirang","admin","","1064617460"
"Mongar","Mongar","27.2750","91.2400","Bhutan","BT","BTN","Mongar","admin","","1064208677"
"Haa","Haa","27.3685","89.2918","Bhutan","BT","BTN","Haa","admin","","1064717667"
"Samdrup Jongkhar","Samdrup Jongkhar","26.8007","91.5052","Bhutan","BT","BTN","Samdrup Jongkhar","admin","","1064656050"
"Sarpang","Sarpang","26.8639","90.2674","Bhutan","BT","BTN","Sarpang","admin","","1064362339"
"Trashigang","Trashigang","27.3333","91.5528","Bhutan","BT","BTN","Trashigang","admin","","1064123227"
"Pemagatshel","Pemagatshel","27.0380","91.4031","Bhutan","BT","BTN","Pemagatshel","admin","","1064215849"
"Tsimasham","Tsimasham","27.0989","89.5360","Bhutan","BT","BTN","Chhukha","admin","","1064167489"
"Trashi Yangtse","Trashi Yangtse","27.6116","91.4980","Bhutan","BT","BTN","Trashi Yangtse","admin","","1064210713"
"Trongsa","Trongsa","27.5168","90.5000","Bhutan","BT","BTN","Trongsa","admin","","1064630357"
"Zhemgang","Zhemgang","27.2169","90.6579","Bhutan","BT","BTN","Zhemgang","admin","","1064512651"
"Jakar","Jakar","27.5492","90.7525","Bhutan","BT","BTN","Bumthang","admin","","1064194738"
"Lhuentse","Lhuentse","27.6679","91.1839","Bhutan","BT","BTN","Lhuentse","admin","","1064227529"
"Daga","Daga","27.0753","89.8769","Bhutan","BT","BTN","Dagana","admin","","1064785735"
"Gasa","Gasa","27.9067","89.7304","Bhutan","BT","BTN","Gasa","admin","","1064761583"
