"Gaborone","Gaborone","-24.6569","25.9086","Botswana","BW","BWA","Gaborone","primary","231626","1072756768"
"Francistown","Francistown","-21.1736","27.5125","Botswana","BW","BWA","Francistown","admin","89979","1072124168"
"Molepolole","Molepolole","-24.4066","25.4951","Botswana","BW","BWA","Kweneng","admin","67598","1072560529"
"Maun","Maun","-19.9833","23.4167","Botswana","BW","BWA","North West","admin","57067","1072985345"
"Selibe Phikwe","Selibe Phikwe","-21.9667","27.9167","Botswana","BW","BWA","Selibe Phikwe","admin","49724","1072308184"
"Serowe","Serowe","-22.3833","26.7167","Botswana","BW","BWA","Central","admin","48573","1072708388"
"Kanye","Kanye","-24.9833","25.3500","Botswana","BW","BWA","Southern","admin","46831","1072506645"
"Mochudi","Mochudi","-24.4167","26.1500","Botswana","BW","BWA","Kgatleng","admin","39700","1072876960"
"Lobatse","Lobatse","-25.2167","25.6667","Botswana","BW","BWA","Lobatse","admin","26900","1072740062"
"Tshabong","Tshabong","-26.0200","22.4056","Botswana","BW","BWA","Kgalagadi","admin","9679","1072830877"
"Kasane","Kasane","-17.7983","25.1536","Botswana","BW","BWA","Chobe","admin","9250","1072217316"
"Ghanzi","Ghanzi","-21.7000","21.6500","Botswana","BW","BWA","Ghanzi","admin","6306","1072132620"
"Ramotswa","Ramotswa","-24.8667","25.8167","Botswana","BW","BWA","South East","admin","","1072070629"
"Masunga","Masunga","-20.6245","27.4488","Botswana","BW","BWA","North East","admin","","1072609074"
"Sowa Town","Sowa Town","-20.5636","26.2244","Botswana","BW","BWA","Sowa Town","admin","","1072487689"
"Jwaneng","Jwaneng","-24.6017","24.7281","Botswana","BW","BWA","Jwaneng","admin","","1072118187"
"Mahalapye","Mahalapye","-23.1041","26.8142","Botswana","BW","BWA","Central","","50744","1072304817"
"Palapye","Palapye","-22.5500","27.1333","Botswana","BW","BWA","Central","","36211","1072264514"
"Lekala","Lekala","-22.7803","27.7769","Botswana","BW","BWA","Central","","5474","1072391232"
"Gweta","Gweta","-20.2072","25.2561","Botswana","BW","BWA","Central","","5303","1072926883"
"Nata","Nata","-20.2103","26.1867","Botswana","BW","BWA","Central","","4794","1072462404"
"Mopipi","Mopipi","-21.1833","24.8833","Botswana","BW","BWA","Central","","3301","1072326657"
"Lehututu","Lehututu","-23.9169","21.8264","Botswana","BW","BWA","Kgalagadi","","2284","1072398415"
"Nokaneng","Nokaneng","-19.6639","22.1917","Botswana","BW","BWA","North West","","1763","1072707427"
"Lokwabe","Lokwabe","-24.0961","21.7781","Botswana","BW","BWA","Kgalagadi","","1473","1072642304"
"Tsau","Tsau","-20.1686","22.4558","Botswana","BW","BWA","North West","","1409","1072736607"
"Muhembo","Muhembo","-18.2996","21.8000","Botswana","BW","BWA","North West","","757","1072113578"
