"Kinshasa","Kinshasa","-4.3317","15.3139","Congo (Kinshasa)","CD","COD","Kinshasa","primary","15056000","1180000363"
"Kananga","Kananga","-5.8961","22.4167","Congo (Kinshasa)","CD","COD","Kasaï Central","admin","1971704","1180172460"
"Lubumbashi","Lubumbashi","-11.6697","27.4581","Congo (Kinshasa)","CD","COD","Haut-Katanga","admin","1786397","1180506234"
"Mbuji-Mayi","Mbuji-Mayi","-6.1209","23.5967","Congo (Kinshasa)","CD","COD","Kasaï Oriental","admin","1559073","1180399586"
"Kisangani","Kisangani","0.5153","25.1911","Congo (Kinshasa)","CD","COD","Tshopo","admin","935977","1180478201"
"Kikwit","Kikwit","-5.0333","18.8167","Congo (Kinshasa)","CD","COD","Kwilu","","637736","1180518247"
"Bukavu","Bukavu","-2.4908","28.8428","Congo (Kinshasa)","CD","COD","Sud-Kivu","admin","436779","1180475821"
"Likasi","Likasi","-10.9833","26.7333","Congo (Kinshasa)","CD","COD","Haut-Katanga","","422535","1180978192"
"Kolwezi","Kolwezi","-10.7167","25.4667","Congo (Kinshasa)","CD","COD","Lualaba","admin","418000","1180380965"
"Beni","Beni","0.4911","29.4731","Congo (Kinshasa)","CD","COD","Nord-Kivu","","332903","1180325051"
"Matadi","Matadi","-5.8167","13.4833","Congo (Kinshasa)","CD","COD","Kongo Central","admin","306053","1180529604"
"Mbandaka","Mbandaka","0.0486","18.2603","Congo (Kinshasa)","CD","COD","Équateur","admin","274996","1180720887"
"Tshikapa","Tshikapa","-6.4167","20.8000","Congo (Kinshasa)","CD","COD","Kasaï","","267462","1180581239"
"Goma","Goma","-1.6794","29.2336","Congo (Kinshasa)","CD","COD","Nord-Kivu","admin","249862","1180805022"
"Butembo","Butembo","0.1251","29.2990","Congo (Kinshasa)","CD","COD","Nord-Kivu","","217625","1180446432"
"Kalemie","Kalemie","-5.9475","29.1947","Congo (Kinshasa)","CD","COD","Tanganyika","admin","206257","1180574233"
"Gemena","Gemena","3.2500","19.7667","Congo (Kinshasa)","CD","COD","Sud-Ubangi","admin","198056","1180000163"
"Mbanza-Ngungu","Mbanza-Ngungu","-5.2500","14.8667","Congo (Kinshasa)","CD","COD","Kongo Central","","197545","1180474388"
"Mwene-Ditu","Mwene-Ditu","-7.0000","23.4500","Congo (Kinshasa)","CD","COD","Lomami","","189177","1180134137"
"Boma","Boma","-5.8500","13.0500","Congo (Kinshasa)","CD","COD","Kongo Central","","178638","1180611452"
"Kindu","Kindu","-2.9500","25.9167","Congo (Kinshasa)","CD","COD","Maniema","admin","172321","1180106925"
"Uvira","Uvira","-3.3953","29.1378","Congo (Kinshasa)","CD","COD","Sud-Kivu","","170391","1180205443"
"Isiro","Isiro","2.7833","27.6167","Congo (Kinshasa)","CD","COD","Haut-Uélé","admin","157196","1180183850"
"Gandajika","Gandajika","-6.7500","23.9667","Congo (Kinshasa)","CD","COD","Lomami","","154425","1180466776"
"Moanda","Moanda","-5.9229","12.3550","Congo (Kinshasa)","CD","COD","Kongo Central","","153915","1180108441"
"Wamba","Wamba","2.1404","27.9900","Congo (Kinshasa)","CD","COD","Haut-Uélé","","146871","1180866253"
"Kamina","Kamina","-8.7351","24.9980","Congo (Kinshasa)","CD","COD","Haut-Lomami","admin","128803","1180363197"
"Bandundu","Bandundu","-3.3100","17.3800","Congo (Kinshasa)","CD","COD","Kwilu","admin","118211","1180219776"
"Kipushi","Kipushi","-11.7600","27.2500","Congo (Kinshasa)","CD","COD","Haut-Katanga","","113347","1180810333"
"Ilebo","Ilebo","-4.3167","20.6000","Congo (Kinshasa)","CD","COD","Kasaï","","107093","1180788280"
"Kongolo","Kongolo","-5.3795","26.9800","Congo (Kinshasa)","CD","COD","Tanganyika","","105202","1180814807"
"Bumba","Bumba","2.1900","22.4600","Congo (Kinshasa)","CD","COD","Mongala","","103328","1180549980"
"Bunia","Bunia","1.5604","30.2400","Congo (Kinshasa)","CD","COD","Ituri","admin","96764","1180006418"
"Lisala","Lisala","2.1400","21.5100","Congo (Kinshasa)","CD","COD","Mongala","admin","79235","1180477995"
"Kabinda","Kabinda","-6.1296","24.4800","Congo (Kinshasa)","CD","COD","Lomami","admin","59004","1180751831"
"Gbadolite","Gbadolite","4.2750","21.0000","Congo (Kinshasa)","CD","COD","Nord-Ubangi","admin","50493","1180674224"
"Buta","Buta","2.8200","24.7400","Congo (Kinshasa)","CD","COD","Bas-Uélé","admin","45677","1180712204"
"Lusambo","Lusambo","-4.9696","23.4300","Congo (Kinshasa)","CD","COD","Sankuru","admin","41416","1180127290"
"Inongo","Inongo","-1.9400","18.2800","Congo (Kinshasa)","CD","COD","Mai-Ndombe","admin","40113","1180194164"
"Luebo","Luebo","-5.3495","21.4100","Congo (Kinshasa)","CD","COD","Kasaï","admin","35183","1180012250"
"Boende","Boende","-0.2817","20.8806","Congo (Kinshasa)","CD","COD","Tshuapa","admin","32091","1180688906"
"Kenge","Kenge","-4.8296","16.8999","Congo (Kinshasa)","CD","COD","Kwango","admin","241","1180158365"
"Lodja","Lodja","-3.5242","23.5964","Congo (Kinshasa)","CD","COD","Sankuru","","68244","1180001261"
"Binga","Binga","2.3834","20.4200","Congo (Kinshasa)","CD","COD","Mongala","","64639","1180236070"
"Kasongo","Kasongo","-4.4500","26.6600","Congo (Kinshasa)","CD","COD","Maniema","","63000","1180000473"
"Idiofa","Idiofa","-4.9596","19.5986","Congo (Kinshasa)","CD","COD","Kwilu","","61056","1180986517"
"Aketi","Aketi","2.7405","23.7800","Congo (Kinshasa)","CD","COD","Bas-Uélé","","58601","1180273302"
"Basankusu","Basankusu","1.2222","19.8028","Congo (Kinshasa)","CD","COD","Équateur","","52216","1180515335"
"Mulongo","Mulongo","-7.8349","26.9985","Congo (Kinshasa)","CD","COD","Haut-Lomami","","51603","1180171787"
"Mweka","Mweka","-4.8400","21.5700","Congo (Kinshasa)","CD","COD","Kasaï","","50675","1180140663"
"Kahemba","Kahemba","-7.2829","19.0000","Congo (Kinshasa)","CD","COD","Kwango","","50000","1180689417"
"Bulungu","Bulungu","-4.5496","18.6000","Congo (Kinshasa)","CD","COD","Kwilu","","48344","1180342743"
"Manono","Manono","-7.2947","27.4545","Congo (Kinshasa)","CD","COD","Tanganyika","","46111","1180968800"
"Basoko","Basoko","1.2333","23.6000","Congo (Kinshasa)","CD","COD","Tshopo","","43709","1180509801"
"Lubao","Lubao","-5.3896","25.7500","Congo (Kinshasa)","CD","COD","Lomami","","43068","1180891619"
"Tshela","Tshela","-4.9696","12.9300","Congo (Kinshasa)","CD","COD","Kongo Central","","38845","1180377922"
"Bukama","Bukama","-9.2000","25.8333","Congo (Kinshasa)","CD","COD","Haut-Lomami","","38770","1180047354"
"Mangai","Mangai","-4.0396","19.5300","Congo (Kinshasa)","CD","COD","Kwilu","","37188","1180224936"
"Kampene","Kampene","-3.5968","26.6671","Congo (Kinshasa)","CD","COD","Maniema","","37034","1180064621"
"Kambove","Kambove","-10.8700","26.6000","Congo (Kinshasa)","CD","COD","Haut-Katanga","","36702","1180986023"
"Kaniama","Kaniama","-7.5696","24.1700","Congo (Kinshasa)","CD","COD","Haut-Lomami","","36481","1180770775"
"Yangambi","Yangambi","0.7675","24.4414","Congo (Kinshasa)","CD","COD","Tshopo","","35531","1180077706"
"Businga","Businga","3.3404","20.8700","Congo (Kinshasa)","CD","COD","Nord-Ubangi","","34247","1180719970"
"Mushie","Mushie","-3.0196","16.9200","Congo (Kinshasa)","CD","COD","Mai-Ndombe","","33062","1180240809"
"Kabalo","Kabalo","-6.0525","26.9142","Congo (Kinshasa)","CD","COD","Tanganyika","","29833","1180905835"
"Kasangulu","Kasangulu","-4.5796","15.1800","Congo (Kinshasa)","CD","COD","Kongo Central","","27961","1180582533"
"Bolobo","Bolobo","-2.1600","16.2400","Congo (Kinshasa)","CD","COD","Mai-Ndombe","","27862","1180723089"
"Libenge","Libenge","3.6604","18.6200","Congo (Kinshasa)","CD","COD","Sud-Ubangi","","27053","1180325896"
"Watsa","Watsa","3.0400","29.5300","Congo (Kinshasa)","CD","COD","Haut-Uélé","","24516","1180367451"
"Bondo","Bondo","3.8100","23.6700","Congo (Kinshasa)","CD","COD","Bas-Uélé","","23517","1180786691"
"Demba","Demba","-5.5096","22.2600","Congo (Kinshasa)","CD","COD","Kasaï Central","","22263","1180021198"
"Kasongo-Lunda","Kasongo-Lunda","-6.4796","16.8300","Congo (Kinshasa)","CD","COD","Kwango","","20060","1180706751"
"Zongo","Zongo","4.3500","18.6000","Congo (Kinshasa)","CD","COD","Sud-Ubangi","","17667","1180165321"
"Nyunzu","Nyunzu","-5.9500","28.0167","Congo (Kinshasa)","CD","COD","Tanganyika","","15397","1180921995"
"Bosobolo","Bosobolo","4.1904","19.8800","Congo (Kinshasa)","CD","COD","Nord-Ubangi","","14553","1180318544"
"Kasaji","Kasaji","-10.3662","23.4500","Congo (Kinshasa)","CD","COD","Lualaba","","11969","1180795640"
"Kimpese","Kimpese","-5.5500","14.4300","Congo (Kinshasa)","CD","COD","Kongo Central","","10578","1180273961"
"Moba","Moba","-7.0596","29.7200","Congo (Kinshasa)","CD","COD","Tanganyika","","10006","1180776583"
"Dilolo","Dilolo","-10.6833","22.3333","Congo (Kinshasa)","CD","COD","Lualaba","","7854","1180154207"
"Mangbwalu","Mangbwalu","1.9504","30.0333","Congo (Kinshasa)","CD","COD","Ituri","","2819","1180299514"
"Ikela","Ikela","-1.1833","23.2667","Congo (Kinshasa)","CD","COD","Tshuapa","","291","1180365335"
"Bongandanga","Bongandanga","1.5104","21.0500","Congo (Kinshasa)","CD","COD","Mongala","","4105","1180746434"
"Mwenga","Mwenga","-3.0382","28.4325","Congo (Kinshasa)","CD","COD","Sud-Kivu","","2216","1180606289"
"Lubutu","Lubutu","-0.7329","26.5833","Congo (Kinshasa)","CD","COD","Maniema","","1313","1180330836"
"Buluko","Buluko","-0.7570","28.5280","Congo (Kinshasa)","CD","COD","Nord-Kivu","","1192","1180000569"
"Luanza","Luanza","-8.6996","28.7000","Congo (Kinshasa)","CD","COD","Haut-Katanga","","861","1180293709"
