"Bangui","Bangui","4.3732","18.5628","Central African Republic","CF","CAF","Bangui","primary","889231","1140080881"
"Bimbo","Bimbo","4.3313","18.5163","Central African Republic","CF","CAF","Ombella-Mpoko","admin","124176","1140257478"
"Berbérati","Berberati","4.2667","15.7833","Central African Republic","CF","CAF","Mambéré-Kadéï","admin","76918","1140239733"
"Bambari","Bambari","5.7667","20.6833","Central African Republic","CF","CAF","Ouaka","admin","41356","1140304277"
"Bouar","Bouar","5.9500","15.6000","Central African Republic","CF","CAF","Nana-Mambéré","admin","40353","1140144321"
"Bossangoa","Bossangoa","6.4833","17.4500","Central African Republic","CF","CAF","Ouham","admin","36478","1140523604"
"Bria","Bria","6.5369","21.9919","Central African Republic","CF","CAF","Haute-Kotto","admin","35204","1140582053"
"Bangassou","Bangassou","4.7370","22.8190","Central African Republic","CF","CAF","Mbomou","admin","31453","1140539356"
"Nola","Nola","3.5337","16.0666","Central African Republic","CF","CAF","Sangha-Mbaéré","admin","26809","1140236347"
"Kaga Bandoro","Kaga Bandoro","7.0006","19.1808","Central African Republic","CF","CAF","Nana-Grébizi","admin","24661","1140658026"
"Sibut","Sibut","5.7378","19.0867","Central African Republic","CF","CAF","Kémo","admin","22419","1140802055"
"Mbaïki","Mbaiki","3.8833","18.0000","Central African Republic","CF","CAF","Lobaye","admin","22166","1140040245"
"Bozoum","Bozoum","6.3172","16.3783","Central African Republic","CF","CAF","Ouham-Pendé","admin","20665","1140416562"
"Obo","Obo","5.4000","26.5000","Central African Republic","CF","CAF","Haut-Mbomou","admin","12887","1140533897"
"Ndélé","Ndele","8.4091","20.6530","Central African Republic","CF","CAF","Bamingui-Bangoran","admin","11764","1140271951"
"Birao","Birao","10.2837","22.7833","Central African Republic","CF","CAF","Vakaga","admin","10178","1140392673"
"Mobaye","Mobaye","4.3167","21.1833","Central African Republic","CF","CAF","Basse-Kotto","admin","7176","1140935252"
"Carnot","Carnot","4.9333","15.8667","Central African Republic","CF","CAF","Mambéré-Kadéï","","45421","1140319605"
"Zemio","Zemio","5.0337","25.1333","Central African Republic","CF","CAF","Haut-Mbomou","","20000","1140178462"
"Kabo","Kabo","7.6994","18.6292","Central African Republic","CF","CAF","Ouham","","16279","1140386370"
"Kouango","Kouango","4.9667","19.9833","Central African Republic","CF","CAF","Ouaka","","6984","1140674244"
"Baboua","Baboua","5.7833","14.8192","Central African Republic","CF","CAF","Nana-Mambéré","","6812","1140184570"
"Bossembele","Bossembele","5.2670","17.6500","Central African Republic","CF","CAF","Ombella-Mpoko","","7287","1140955210"
"Ouadda","Ouadda","8.0671","22.4000","Central African Republic","CF","CAF","Haute-Kotto","","5434","1140640564"
"Yakossi","Yakossi","5.6170","23.3167","Central African Republic","CF","CAF","Mbomou","","500","1140246753"
