"Abidjan","Abidjan","5.3364","-4.0267","Côte d'Ivoire","CI","CIV","Abidjan","primary","4980000","1384207980"
"Yamoussoukro","Yamoussoukro","6.8161","-5.2742","Côte d'Ivoire","CI","CIV","Yamoussoukro","primary","355573","1384683557"
"Bouaké","Bouake","7.6833","-5.0331","Côte d'Ivoire","CI","CIV","Vallée du Bandama","admin","659233","1384983838"
"Korhogo","Korhogo","9.4578","-5.6294","Côte d'Ivoire","CI","CIV","Savanes","admin","286071","1384205840"
"Daloa","Daloa","6.8900","-6.4500","Côte d'Ivoire","CI","CIV","Sassandra-Marahoué","admin","255168","1384564974"
"San-Pédro","San-Pedro","4.7704","-6.6400","Côte d'Ivoire","CI","CIV","Bas-Sassandra","admin","210273","1384436547"
"Divo","Divo","5.8372","-5.3572","Côte d'Ivoire","CI","CIV","Gôh-Djiboua","minor","179455","1384831436"
"Man","Man","7.4004","-7.5500","Côte d'Ivoire","CI","CIV","Montagnes","admin","146974","1384112524"
"Gagnoa","Gagnoa","6.1333","-5.9333","Côte d'Ivoire","CI","CIV","Gôh-Djiboua","admin","123184","1384138010"
"Soubré","Soubre","5.7836","-6.5939","Côte d'Ivoire","CI","CIV","Bas-Sassandra","minor","108933","1384745470"
"Abengourou","Abengourou","6.7297","-3.4964","Côte d'Ivoire","CI","CIV","Comoé","admin","104020","1384295898"
"Dabou","Dabou","5.3256","-4.3767","Côte d'Ivoire","CI","CIV","Lagunes","admin","72913","1384274793"
"Dimbokro","Dimbokro","6.6505","-4.7100","Côte d'Ivoire","CI","CIV","Lacs","admin","67349","1384235566"
"Bondoukou","Bondoukou","8.0304","-2.8000","Côte d'Ivoire","CI","CIV","Zanzan","admin","58297","1384649653"
"Séguéla","Seguela","7.9611","-6.6731","Côte d'Ivoire","CI","CIV","Woroba","admin","51157","1384639807"
"Odienné","Odienne","9.5000","-7.5667","Côte d'Ivoire","CI","CIV","Denguélé","admin","49857","1384967993"
"Bangolo","Bangolo","7.0123","-7.4864","Côte d'Ivoire","CI","CIV","Montagnes","admin","","1384048438"
"Agboville","Agboville","5.9333","-4.2167","Côte d'Ivoire","CI","CIV","Lagunes","minor","81770","1384823872"
"Grand-Bassam","Grand-Bassam","5.2000","-3.7333","Côte d'Ivoire","CI","CIV","Comoé","minor","73772","1384167408"
"Bouaflé","Bouafle","6.9903","-5.7442","Côte d'Ivoire","CI","CIV","Sassandra-Marahoué","minor","71792","1384274339"
"Guiglo","Guiglo","6.5436","-7.4933","Côte d'Ivoire","CI","CIV","Montagnes","minor","63643","1384483732"
"Ferkessédougou","Ferkessedougou","9.5928","-5.1944","Côte d'Ivoire","CI","CIV","Savanes","minor","62008","1384974005"
"Toumodi","Toumodi","6.5520","-5.0190","Côte d'Ivoire","CI","CIV","Lacs","minor","39005","1384416676"
"Sassandra","Sassandra","4.9504","-6.0833","Côte d'Ivoire","CI","CIV","Bas-Sassandra","minor","38411","1384107875"
"Aboisso","Aboisso","5.4667","-3.2000","Côte d'Ivoire","CI","CIV","Comoé","minor","37654","1384385857"
"Touba","Touba","8.2833","-7.6833","Côte d'Ivoire","CI","CIV","Woroba","minor","31844","1384485647"
