"Santiago","Santiago","-33.4500","-70.6667","Chile","CL","CHL","Región Metropolitana","primary","7026000","1152554349"
"Puente Alto","Puente Alto","-33.6167","-70.5833","Chile","CL","CHL","Región Metropolitana","minor","573935","1152516346"
"Maipú","Maipu","-33.5167","-70.7667","Chile","CL","CHL","Región Metropolitana","","521627","1152583016"
"La Florida","La Florida","-33.5500","-70.5667","Chile","CL","CHL","Región Metropolitana","","366916","1152939649"
"Antofagasta","Antofagasta","-23.6464","-70.3980","Chile","CL","CHL","Antofagasta","admin","348517","1152734289"
"Viña del Mar","Vina del Mar","-33.0245","-71.5518","Chile","CL","CHL","Valparaíso","","332875","1152898644"
"San Bernardo","San Bernardo","-33.6000","-70.7167","Chile","CL","CHL","Región Metropolitana","minor","301313","1152050361"
"Valparaíso","Valparaiso","-33.0458","-71.6197","Chile","CL","CHL","Valparaíso","admin","296655","1152337970"
"Temuco","Temuco","-38.7399","-72.5901","Chile","CL","CHL","Araucanía","admin","282415","1152318955"
"Las Condes","Las Condes","-33.4167","-70.5833","Chile","CL","CHL","Región Metropolitana","","249893","1152858037"
"Rancagua","Rancagua","-34.1654","-70.7398","Chile","CL","CHL","Libertador General Bernardo O'Higgins","admin","231370","1152672356"
"Concepción","Concepcion","-36.8271","-73.0503","Chile","CL","CHL","Biobío","admin","217537","1152838958"
"Talca","Talca","-35.4269","-71.6656","Chile","CL","CHL","Maule","admin","206069","1152736946"
"Coquimbo","Coquimbo","-29.9532","-71.3380","Chile","CL","CHL","Coquimbo","minor","204068","1152038253"
"Arica","Arica","-18.4784","-70.3211","Chile","CL","CHL","Arica y Parinacota","admin","202131","1152531089"
"La Serena","La Serena","-29.9027","-71.2520","Chile","CL","CHL","Coquimbo","admin","195382","1152155065"
"Iquique","Iquique","-20.2141","-70.1524","Chile","CL","CHL","Tarapacá","admin","188003","1152234625"
"Puerto Montt","Puerto Montt","-41.4718","-72.9396","Chile","CL","CHL","Los Lagos","admin","169736","1152443957"
"Chillán","Chillan","-36.6067","-72.1033","Chile","CL","CHL","Ñuble","admin","164270","1152082093"
"Calama","Calama","-22.4624","-68.9272","Chile","CL","CHL","Antofagasta","minor","157575","1152168074"
"Talcahuano","Talcahuano","-36.7145","-73.1141","Chile","CL","CHL","Biobío","","147831","1152023044"
"Copiapó","Copiapo","-27.3665","-70.3323","Chile","CL","CHL","Atacama","admin","150804","1152406965"
"Valdivia","Valdivia","-39.8142","-73.2459","Chile","CL","CHL","Los Ríos","admin","150048","1152201132"
"Quilpué","Quilpue","-33.0498","-71.4415","Chile","CL","CHL","Valparaíso","minor","147991","1152063222"
"Osorno","Osorno","-40.5667","-73.1500","Chile","CL","CHL","Los Lagos","minor","147460","1152866014"
"Colina","Colina","-33.2000","-70.6833","Chile","CL","CHL","Región Metropolitana","minor","146207","1152944896"
"Los Ángeles","Los Angeles","-37.4707","-72.3517","Chile","CL","CHL","Biobío","minor","143023","1152810305"
"Curicó","Curico","-34.9854","-71.2394","Chile","CL","CHL","Maule","minor","136954","1152564798"
"Villa Alemana","Villa Alemana","-33.0428","-71.3744","Chile","CL","CHL","Valparaíso","","125140","1152839066"
"La Granja","La Granja","-33.5431","-70.6319","Chile","CL","CHL","Región Metropolitana","","116571","1152785745"
"Melipilla","Melipilla","-33.7000","-71.2167","Chile","CL","CHL","Región Metropolitana","minor","123627","1152483678"
"Punta Arenas","Punta Arenas","-53.1627","-70.9081","Chile","CL","CHL","Magallanes y de la Antártica Chilena","admin","123403","1152262933"
"Coronel","Coronel","-37.0167","-73.1333","Chile","CL","CHL","Biobío","","116262","1152234834"
