"Yaoundé","Yaounde","3.8578","11.5181","Cameroon","CM","CMR","Centre","primary","2440462","1120298240"
"Douala","Douala","4.0500","9.7000","Cameroon","CM","CMR","Littoral","admin","2446945","1120494607"
"Maroua","Maroua","10.5823","14.3275","Cameroon","CM","CMR","Extrême-Nord","admin","319941","1120956931"
"Bafoussam","Bafoussam","5.4667","10.4167","Cameroon","CM","CMR","Ouest","admin","290768","1120435460"
"Bamenda","Bamenda","5.9333","10.1667","Cameroon","CM","CMR","North-West","admin","269530","1120909610"
"Garoua","Garoua","9.3000","13.4000","Cameroon","CM","CMR","Nord","admin","235996","1120803808"
"Limbe","Limbe","4.0167","9.2167","Cameroon","CM","CMR","South-West","","212474","1120635273"
"Ngaoundéré","Ngaoundere","7.3214","13.5839","Cameroon","CM","CMR","Adamaoua","admin","189800","1120011020"
"Kumba","Kumba","4.6333","9.4500","Cameroon","CM","CMR","South-West","","144268","1120492761"
"Buea","Buea","4.1667","9.2333","Cameroon","CM","CMR","South-West","admin","131325","1120497849"
"Kumbo","Kumbo","6.2000","10.6600","Cameroon","CM","CMR","North-West","","125486","1120679288"
"Edéa","Edea","3.8000","10.1333","Cameroon","CM","CMR","Littoral","","122300","1120546542"
"Nkongsamba","Nkongsamba","4.9500","9.9167","Cameroon","CM","CMR","Littoral","","117063","1120972098"
"Kousséri","Kousseri","12.0833","15.0333","Cameroon","CM","CMR","Extrême-Nord","","101246","1120996697"
"Bertoua","Bertoua","4.5833","13.6833","Cameroon","CM","CMR","Est","admin","88462","1120406967"
"Ébolowa","Ebolowa","2.9000","11.1500","Cameroon","CM","CMR","Sud","admin","87875","1120924207"
"Bogo","Bogo","10.7361","14.6108","Cameroon","CM","CMR","Extrême-Nord","","95230","1120371347"
"Bafang","Bafang","5.1704","10.1800","Cameroon","CM","CMR","Ouest","","93145","1120889812"
"Foumban","Foumban","5.7167","10.9167","Cameroon","CM","CMR","Ouest","","92673","1120088650"
"Guider","Guider","9.9342","13.9486","Cameroon","CM","CMR","Nord","","84647","1120662630"
"Mbalmayo","Mbalmayo","3.5200","11.5122","Cameroon","CM","CMR","Centre","","80206","1120049681"
"Meïganga","Meiganga","6.5172","14.2947","Cameroon","CM","CMR","Adamaoua","","80100","1120789508"
"Dschang","Dschang","5.4500","10.0500","Cameroon","CM","CMR","Ouest","","76524","1120569504"
"Tibati","Tibati","6.4669","12.6158","Cameroon","CM","CMR","Adamaoua","","72081","1120299131"
"Bafia","Bafia","4.7425","11.2247","Cameroon","CM","CMR","Centre","","69270","1120310806"
"Wum","Wum","6.3833","10.0667","Cameroon","CM","CMR","North-West","","68836","1120557987"
"Kribi","Kribi","2.9500","9.9167","Cameroon","CM","CMR","Sud","","60000","1120360100"
"Batouri","Batouri","4.4333","14.3667","Cameroon","CM","CMR","Est","","33594","1120380999"
"Kalfou","Kalfou","10.2840","14.9298","Cameroon","CM","CMR","Extrême-Nord","","26223","1120297396"
"Bélabo","Belabo","4.9333","13.3000","Cameroon","CM","CMR","Est","","22553","1120106572"
"Eséka","Eseka","3.6504","10.7666","Cameroon","CM","CMR","Centre","","22221","1120064220"
"Abong Mbang","Abong Mbang","3.9833","13.1667","Cameroon","CM","CMR","Est","","14661","1120726386"
"Bandjoun","Bandjoun","5.3500","10.4000","Cameroon","CM","CMR","Ouest","","6872","1120913349"
"Kontcha","Kontcha","7.9670","12.2333","Cameroon","CM","CMR","Adamaoua","","8018","1120016766"
"Aiyomojok","Aiyomojok","5.7504","8.9833","Cameroon","CM","CMR","South-West","","5798","1120658014"
"Mbé","Mbe","7.8504","13.6000","Cameroon","CM","CMR","Nord","","3950","1120400000"
