"Shanghai","Shanghai","31.1667","121.4667","China","CN","CHN","Shanghai","admin","22118000","1156073548"
"Guangzhou","Guangzhou","23.1288","113.2590","China","CN","CHN","Guangdong","admin","21489000","1156237133"
"Beijing","Beijing","39.9040","116.4075","China","CN","CHN","Beijing","primary","19437000","1156228865"
"Shenzhen","Shenzhen","22.5350","114.0540","China","CN","CHN","Guangdong","minor","14678000","1156158707"
"Chengdu","Chengdu","30.6600","104.0633","China","CN","CHN","Sichuan","admin","11920000","1156421555"
"Baoding","Baoding","38.8671","115.4845","China","CN","CHN","Hebei","","11860000","1156256829"
"Tianjin","Tianjin","39.1467","117.2056","China","CN","CHN","Tianjin","admin","10932000","1156174046"
"Linyi","Linyi","35.0606","118.3425","China","CN","CHN","Shandong","","10820000","1156086320"
"Shijiazhuang","Shijiazhuang","38.0422","114.5086","China","CN","CHN","Hebei","admin","10784600","1156217541"
"Zhengzhou","Zhengzhou","34.7492","113.6605","China","CN","CHN","Henan","admin","10136000","1156183137"
"Nanyang","Nanyang","32.9987","112.5292","China","CN","CHN","Henan","","10013600","1156192287"
"Wuhan","Wuhan","30.5872","114.2881","China","CN","CHN","Hubei","admin","9729000","1156117184"
"Handan","Handan","36.6116","114.4894","China","CN","CHN","Hebei","minor","9549700","1156957080"
"Weifang","Weifang","36.7167","119.1000","China","CN","CHN","Shandong","","9373000","1156912965"
"Zhoukou","Zhoukou","33.6250","114.6418","China","CN","CHN","Henan","minor","8953172","1156272098"
"Ganzhou","Ganzhou","25.8292","114.9336","China","CN","CHN","Jiangxi","minor","8677600","1156832475"
"Tongshan","Tongshan","34.2610","117.1859","China","CN","CHN","Jiangsu","minor","8669000","1156241678"
"Heze","Heze","35.2333","115.4333","China","CN","CHN","Shandong","minor","8287693","1156225008"
"Chongqing","Chongqing","29.5500","106.5069","China","CN","CHN","Chongqing","admin","8261000","1156936556"
"Fuyang","Fuyang","32.8986","115.8045","China","CN","CHN","Anhui","","8200264","1156248008"
"Changsha","Changsha","28.1987","112.9709","China","CN","CHN","Hunan","admin","8154700","1156961497"
"Dongguan","Dongguan","23.0475","113.7493","China","CN","CHN","Guangdong","minor","8142000","1156478242"
"Jining","Jining","35.4000","116.5667","China","CN","CHN","Shandong","","8081905","1156504601"
"Jinan","Jinan","36.6667","116.9833","China","CN","CHN","Shandong","admin","7967400","1156972469"
"Foshan","Foshan","23.0292","113.1056","China","CN","CHN","Guangdong","minor","7905700","1156738403"
"Nanjing","Nanjing","32.0500","118.7667","China","CN","CHN","Jiangsu","admin","7729000","1156644065"
"Changchun","Changchun","43.9000","125.2000","China","CN","CHN","Jilin","admin","7674439","1156078103"
"Tangshan","Tangshan","39.6292","118.1742","China","CN","CHN","Hebei","","7577289","1156904299"
"Cangzhou","Cangzhou","38.3037","116.8452","China","CN","CHN","Hebei","","7544300","1156698069"
"Hefei","Hefei","31.8639","117.2808","China","CN","CHN","Anhui","admin","7457027","1156332710"
"Shaoyang","Shaoyang","27.2418","111.4725","China","CN","CHN","Hunan","","7370500","1156310366"
"Zhanjiang","Zhanjiang","21.1967","110.4031","China","CN","CHN","Guangdong","minor","7332000","1156502170"
"Shangqiu","Shangqiu","34.4259","115.6467","China","CN","CHN","Henan","","7325300","1156805441"
"Nantong","Nantong","31.9829","120.8873","China","CN","CHN","Jiangsu","minor","7283622","1156045365"
"Yancheng","Yancheng","33.3936","120.1339","China","CN","CHN","Jiangsu","minor","7260240","1156995410"
"Nanning","Nanning","22.8192","108.3150","China","CN","CHN","Guangxi","admin","7254100","1156605439"
"Hengyang","Hengyang","26.8968","112.5857","China","CN","CHN","Hunan","","7243400","1156696884"
"Zhumadian","Zhumadian","32.9773","114.0253","China","CN","CHN","Henan","","7231234","1156184822"
"Shenyang","Shenyang","41.8039","123.4258","China","CN","CHN","Liaoning","admin","7208000","1156309382"
"Xingtai","Xingtai","37.0659","114.4753","China","CN","CHN","Hebei","","7104103","1156294952"
"Xi'an","Xi'an","34.2667","108.9000","China","CN","CHN","Shaanxi","admin","7090000","1156244079"
"Yantai","Yantai","37.3997","121.2664","China","CN","CHN","Shandong","","6968202","1156932948"
"Luoyang","Luoyang","34.6587","112.4245","China","CN","CHN","Henan","","6888500","1156069315"
"Kunming","Kunming","25.0433","102.7061","China","CN","CHN","Yunnan","admin","6850000","1156477539"
"Shangrao","Shangrao","28.4419","117.9633","China","CN","CHN","Jiangxi","minor","6810700","1156405492"
"Hangzhou","Hangzhou","30.2500","120.1675","China","CN","CHN","Zhejiang","admin","6713000","1156275243"
"Bijie","Bijie","27.3019","105.2863","China","CN","CHN","Guizhou","","6686100","1156018927"
"Quanzhou","Quanzhou","24.9139","118.5858","China","CN","CHN","Fujian","minor","6480000","1156829655"
"Wuxi","Wuxi","31.5667","120.2833","China","CN","CHN","Jiangsu","minor","6372624","1156019650"
"Huanggang","Huanggang","30.4500","114.8750","China","CN","CHN","Hubei","minor","6333000","1156200037"
"Maoming","Maoming","21.6618","110.9178","China","CN","CHN","Guangdong","minor","6313200","1156568722"
"Nanchong","Nanchong","30.7991","106.0784","China","CN","CHN","Sichuan","minor","6278614","1156762337"
"Zunyi","Zunyi","27.7050","106.9336","China","CN","CHN","Guizhou","","6270700","1156539782"
"Qujing","Qujing","25.5102","103.8029","China","CN","CHN","Yunnan","","6155400","1156747998"
"Xinyang","Xinyang","32.1264","114.0672","China","CN","CHN","Henan","","6109106","1156273453"
"Jieyang","Jieyang","23.5533","116.3649","China","CN","CHN","Guangdong","minor","6089400","1156260378"
"Yulin","Yulin","22.6293","110.1507","China","CN","CHN","Guangxi","minor","5849700","1156901312"
"Changde","Changde","29.0397","111.6839","China","CN","CHN","Hunan","minor","5827200","1156449091"
"Liaocheng","Liaocheng","36.4500","115.9833","China","CN","CHN","Shandong","minor","5789863","1156006600"
"Qingdao","Qingdao","36.1167","120.4000","China","CN","CHN","Shandong","minor","5775000","1156112588"
"Nangandao","Nangandao","35.2992","113.8851","China","CN","CHN","Henan","minor","5708191","1156127660"
"Xiangyang","Xiangyang","32.0654","112.1531","China","CN","CHN","Hubei","minor","5680000","1156107325"
"Lu'an","Lu'an","31.7542","116.5078","China","CN","CHN","Anhui","minor","5611701","1156499624"
"Zhaotong","Zhaotong","27.3328","103.7144","China","CN","CHN","Yunnan","","5591000","1156924687"
"Yichun","Yichun","27.8041","114.3830","China","CN","CHN","Jiangxi","minor","5573200","1156229590"
"Dezhou","Dezhou","37.4513","116.3105","China","CN","CHN","Shandong","minor","5568235","1156524080"
"Nanchang","Nanchang","28.6842","115.8872","China","CN","CHN","Jiangxi","admin","5545500","1156198892"
"Tai'an","Tai'an","36.2001","117.0809","China","CN","CHN","Shandong","","5494207","1156095188"
"Dazhou","Dazhou","31.2152","107.4947","China","CN","CHN","Sichuan","minor","5468097","1156834076"
"Yongzhou","Yongzhou","26.4515","111.5953","China","CN","CHN","Hunan","","5452100","1156694479"
"Suihua","Suihua","46.6384","126.9808","China","CN","CHN","Heilongjiang","minor","5418153","1156235493"
"Qiqihar","Qiqihar","47.3398","123.9512","China","CN","CHN","Heilongjiang","minor","5367003","1156775905"
"Suzhou","Suzhou","33.6333","116.9683","China","CN","CHN","Anhui","","5352924","1156871297"
"Shantou","Shantou","23.3735","116.6941","China","CN","CHN","Guangdong","minor","5319028","1156457499"
