"Havana","Havana","23.1367","-82.3589","Cuba","CU","CUB","La Habana","primary","2141652","1192752771"
"Santiago de Cuba","Santiago de Cuba","20.0217","-75.8294","Cuba","CU","CUB","Santiago de Cuba","admin","444851","1192766111"
"Holguín","Holguin","20.8872","-76.2631","Cuba","CU","CUB","Holguín","admin","350191","1192920574"
"Camagüey","Camaguey","21.3786","-77.9186","Cuba","CU","CUB","Camagüey","admin","321992","1192667983"
"Santa Clara","Santa Clara","22.4067","-79.9531","Cuba","CU","CUB","Villa Clara","admin","247436","1192329773"
"Bayamo","Bayamo","20.3817","-76.6428","Cuba","CU","CUB","Granma","admin","235107","1192297857"
"Guantánamo","Guantanamo","20.1383","-75.2061","Cuba","CU","CUB","Guantánamo","admin","228436","1192866062"
"Carlos Manuel de Céspedes","Carlos Manuel de Cespedes","21.5767","-78.2775","Cuba","CU","CUB","Camagüey","minor","224488","1192400731"
"Arroyo Naranjo","Arroyo Naranjo","23.0436","-82.3328","Cuba","CU","CUB","La Habana","","210053","1192534571"
"Las Tunas","Las Tunas","20.9667","-76.9500","Cuba","CU","CUB","Las Tunas","admin","202105","1192626319"
"Pinar del Río","Pinar del Rio","22.4122","-83.6719","Cuba","CU","CUB","Pinar del Río","admin","188614","1192216820"
"Cienfuegos","Cienfuegos","22.1456","-80.4364","Cuba","CU","CUB","Cienfuegos","admin","164924","1192020054"
"Manzanillo","Manzanillo","20.3397","-77.1086","Cuba","CU","CUB","Granma","minor","150999","1192805452"
"Centro Habana","Centro Habana","23.1333","-82.3833","Cuba","CU","CUB","La Habana","","140234","1192000782"
"Matanzas","Matanzas","23.0494","-81.5736","Cuba","CU","CUB","Matanzas","admin","145246","1192888416"
"Ciego de Ávila","Ciego de Avila","21.8481","-78.7631","Cuba","CU","CUB","Ciego de Ávila","admin","143449","1192302618"
"Sancti Spíritus","Sancti Spiritus","21.9339","-79.4439","Cuba","CU","CUB","Sancti Spíritus","admin","138504","1192600260"
"Guanabacoa","Guanabacoa","23.1252","-82.3007","Cuba","CU","CUB","La Habana","","115180","1192000780"
"Contramaestre","Contramaestre","20.3000","-76.2506","Cuba","CU","CUB","Santiago de Cuba","minor","106002","1192844279"
"Mayarí","Mayari","20.6592","-75.6781","Cuba","CU","CUB","Holguín","minor","102354","1192527369"
"San José de las Lajas","San Jose de las Lajas","22.9678","-82.1558","Cuba","CU","CUB","Mayabeque","admin","73136","1192731332"
"Artemisa","Artemisa","22.8136","-82.7633","Cuba","CU","CUB","Artemisa","admin","59130","1192325408"
"Nueva Gerona","Nueva Gerona","21.8847","-82.8011","Cuba","CU","CUB","Isla de la Juventud","admin","45577","1192344354"
"San Luis","San Luis","20.1881","-75.8486","Cuba","CU","CUB","Santiago de Cuba","minor","88496","1192042203"
"Jagüey Grande","Jaguey Grande","22.5292","-81.1325","Cuba","CU","CUB","Matanzas","minor","87771","1192977963"
"Consolación del Sur","Consolacion del Sur","22.5083","-83.5172","Cuba","CU","CUB","Pinar del Río","minor","87500","1192801393"
"Cárdenas","Cardenas","23.0428","-81.2036","Cuba","CU","CUB","Matanzas","minor","86700","1192582521"
"Baracoa","Baracoa","20.3444","-74.4956","Cuba","CU","CUB","Guantánamo","minor","79797","1192326052"
"Palma Soriano","Palma Soriano","20.2139","-75.9919","Cuba","CU","CUB","Santiago de Cuba","minor","76500","1192323011"
"Moa","Moa","20.6556","-74.9417","Cuba","CU","CUB","Holguín","minor","73053","1192288426"
"Colón","Colon","22.7225","-80.9067","Cuba","CU","CUB","Matanzas","minor","72000","1192866771"
"Florida","Florida","21.5294","-78.2228","Cuba","CU","CUB","Camagüey","minor","71676","1192766774"
"Placetas","Placetas","22.3158","-79.6556","Cuba","CU","CUB","Villa Clara","minor","71208","1192546991"
"Gibara","Gibara","21.1072","-76.1367","Cuba","CU","CUB","Holguín","minor","71126","1192391794"
"Güines","Guines","22.8475","-82.0236","Cuba","CU","CUB","Mayabeque","minor","66892","1192190364"
"Yara","Yara","20.2767","-76.9469","Cuba","CU","CUB","Granma","minor","59415","1192644994"
"Morón","Moron","22.1108","-78.6278","Cuba","CU","CUB","Ciego de Ávila","minor","59371","1192161102"
"Jovellanos","Jovellanos","22.8106","-81.1981","Cuba","CU","CUB","Matanzas","minor","58685","1192643668"
"Bartolomé Masó","Bartolome Maso","20.1686","-76.9428","Cuba","CU","CUB","Granma","minor","56460","1192545918"
"Sagua la Grande","Sagua la Grande","22.8086","-80.0711","Cuba","CU","CUB","Villa Clara","minor","53077","1192446410"
"Trinidad","Trinidad","21.8000","-79.9667","Cuba","CU","CUB","Sancti Spíritus","minor","51994","1192442414"
