"Praia","Praia","14.9177","-23.5092","Cabo Verde","CV","CPV","Praia","primary","127832","1132398770"
"Mindelo","Mindelo","16.8914","-24.9880","Cabo Verde","CV","CPV","São Vicente","admin","70468","1132180389"
"São Filipe","Sao Filipe","14.8951","-24.5004","Cabo Verde","CV","CPV","São Filipe","admin","22227","1132693257"
"Ribeira Grande","Ribeira Grande","17.1833","-25.0667","Cabo Verde","CV","CPV","Ribeira Grande","admin","18890","1132061543"
"Tarrafal","Tarrafal","15.2787","-23.7516","Cabo Verde","CV","CPV","Tarrafal","admin","18561","1132834308"
"Porto Novo","Porto Novo","17.0195","-25.0646","Cabo Verde","CV","CPV","Porto Novo","admin","18028","1132233840"
"Assomada","Assomada","15.0949","-23.6654","Cabo Verde","CV","CPV","Santa Catarina","admin","12026","1132845019"
"Pedra Badejo","Pedra Badejo","15.1375","-23.5333","Cabo Verde","CV","CPV","Santa Cruz","admin","9530","1132841923"
"Sal Rei","Sal Rei","16.1760","-22.9171","Cabo Verde","CV","CPV","Boa Vista","admin","6357","1132420232"
"Espargos","Espargos","16.7546","-22.9453","Cabo Verde","CV","CPV","Sal","admin","6173","1132760152"
"Tarrafal","Tarrafal","16.5660","-24.3568","Cabo Verde","CV","CPV","Tarrafal de São Nicolau","admin","5237","1132502171"
"João Teves","Joao Teves","15.0669","-23.5892","Cabo Verde","CV","CPV","São Lourenço dos Órgãos","admin","","1132758433"
"Calheta de São Miguel","Calheta de Sao Miguel","15.1875","-23.5917","Cabo Verde","CV","CPV","São Miguel","admin","4123","1132750609"
"Porto Inglês","Porto Ingles","15.1375","-23.2083","Cabo Verde","CV","CPV","Maio","admin","3056","1132346974"
"São Domingos","Sao Domingos","15.0250","-23.5625","Cabo Verde","CV","CPV","São Domingos","admin","2818","1132246964"
"Cidade Velha","Cidade Velha","14.9167","-23.6042","Cabo Verde","CV","CPV","Ribeira Grande de Santiago","admin","2148","1132073400"
"Picos","Picos","15.0833","-23.6500","Cabo Verde","CV","CPV","São Salvador do Mundo","admin","","1132670996"
"Pombas","Pombas","17.1503","-25.0201","Cabo Verde","CV","CPV","Paul","admin","","1132720315"
"Ponta do Sol","Ponta do Sol","17.2014","-25.0917","Cabo Verde","CV","CPV","Ribeira Grande","admin","","1132137257"
"Nova Sintra","Nova Sintra","14.8714","-24.6956","Cabo Verde","CV","CPV","Brava","admin","","1132634480"
"Igreja","Igreja","15.0339","-24.3250","Cabo Verde","CV","CPV","Mosteiros","admin","","1132174768"
"Ribeira Brava","Ribeira Brava","16.6158","-24.2983","Cabo Verde","CV","CPV","Ribeira Brava","admin","","1132498214"
"Cova Figueira","Cova Figueira","14.8833","-24.3000","Cabo Verde","CV","CPV","Santa Catarina do Fogo","admin","","1132510430"
