"Santo Domingo","Santo Domingo","18.4764","-69.8933","Dominican Republic","DO","DOM","Ozama","primary","2581827","1214636202"
"Santiago","Santiago","19.4500","-70.7000","Dominican Republic","DO","DOM","Cibao Norte","admin","1343423","1214985348"
"Santo Domingo Este","Santo Domingo Este","18.4855","-69.8734","Dominican Republic","DO","DOM","Ozama","admin","948855","1214664832"
"Los Alcarrizos","Los Alcarrizos","18.5167","-70.0167","Dominican Republic","DO","DOM","Ozama","","272776","1214807042"
"Higüey","Higuey","18.6181","-68.7111","Dominican Republic","DO","DOM","Yuma","minor","251243","1214313712"
"San Cristóbal","San Cristobal","18.4167","-70.1333","Dominican Republic","DO","DOM","Valdesia","admin","232769","1214335207"
"La Vega","La Vega","19.2242","-70.5283","Dominican Republic","DO","DOM","Cibao Sur","admin","220279","1214691060"
"San Pedro de Macorís","San Pedro de Macoris","18.4572","-69.3061","Dominican Republic","DO","DOM","Higuamo","admin","195307","1214233006"
"San Francisco de Macorís","San Francisco de Macoris","19.3000","-70.2500","Dominican Republic","DO","DOM","Cibao Nordeste","admin","188118","1214710545"
"Moca","Moca","19.3833","-70.5167","Dominican Republic","DO","DOM","Cibao Norte","minor","172294","1214863528"
"Puerto Plata","Puerto Plata","19.7958","-70.6944","Dominican Republic","DO","DOM","Cibao Norte","minor","158756","1214279422"
"Baní","Bani","18.2900","-70.3300","Dominican Republic","DO","DOM","Valdesia","minor","145595","1214720035"
"Boca Chica","Boca Chica","18.4539","-69.6064","Dominican Republic","DO","DOM","Ozama","","142019","1214362164"
"La Romana","La Romana","18.4300","-68.9700","Dominican Republic","DO","DOM","Yuma","admin","139671","1214760518"
"San Juan","San Juan","18.8100","-71.2300","Dominican Republic","DO","DOM","El Valle","admin","132177","1214608846"
"Bajos de Haina","Bajos de Haina","18.4200","-70.0300","Dominican Republic","DO","DOM","Valdesia","","124193","1214790716"
"Bonao","Bonao","18.9333","-70.4000","Dominican Republic","DO","DOM","Cibao Sur","minor","125338","1214793175"
"Barahona","Barahona","18.2079","-71.0996","Dominican Republic","DO","DOM","Enriquillo","admin","83619","1214900129"
"Mao","Mao","19.5667","-71.0833","Dominican Republic","DO","DOM","Cibao Noroeste","admin","76863","1214217168"
"Azua","Azua","18.4600","-70.7400","Dominican Republic","DO","DOM","Valdesia","minor","91345","1214004418"
"Villa Altagracia","Villa Altagracia","18.6700","-70.1700","Dominican Republic","DO","DOM","Valdesia","","84312","1214414901"
"Nagua","Nagua","19.3800","-69.8500","Dominican Republic","DO","DOM","Cibao Nordeste","minor","76933","1214449469"
"Cotuí","Cotui","19.0600","-70.1500","Dominican Republic","DO","DOM","Cibao Sur","minor","76554","1214299029"
"Pedro Brand","Pedro Brand","18.5667","-70.0911","Dominican Republic","DO","DOM","Ozama","","74016","1214244231"
"El Seibo","El Seibo","18.7700","-69.0400","Dominican Republic","DO","DOM","Yuma","minor","66867","1214331828"
