"Algiers","Algiers","36.7764","3.0586","Algeria","DZ","DZA","Alger","primary","3415811","1012973369"
"Oran","Oran","35.6969","-0.6331","Algeria","DZ","DZA","Oran","admin","852000","1012126319"
"Constantine","Constantine","36.3650","6.6147","Algeria","DZ","DZA","Constantine","admin","448374","1012275076"
"Blida","Blida","36.4722","2.8333","Algeria","DZ","DZA","Blida","admin","331779","1012045589"
"Batna","Batna","35.5500","6.1667","Algeria","DZ","DZA","Batna","admin","290645","1012093229"
"Sétif","Setif","36.1900","5.4100","Algeria","DZ","DZA","Sétif","admin","288461","1012981116"
"Djelfa","Djelfa","34.6667","3.2500","Algeria","DZ","DZA","Djelfa","admin","265833","1012268984"
"Annaba","Annaba","36.9000","7.7667","Algeria","DZ","DZA","Annaba","admin","257359","1012600001"
"Sidi Bel Abbès","Sidi Bel Abbes","35.2000","-0.6333","Algeria","DZ","DZA","Sidi Bel Abbès","admin","212935","1012123414"
"Biskra","Biskra","34.8500","5.7333","Algeria","DZ","DZA","Biskra","admin","204661","1012947247"
"Tébessa","Tebessa","35.4000","8.1167","Algeria","DZ","DZA","Tébessa","admin","194461","1012196375"
"Tiaret","Tiaret","35.3667","1.3167","Algeria","DZ","DZA","Tiaret","admin","178915","1012785868"
"Bejaïa","Bejaia","36.7511","5.0642","Algeria","DZ","DZA","Bejaïa","admin","176139","1012140298"
"Tlemcen","Tlemcen","34.8828","-1.3167","Algeria","DZ","DZA","Tlemcen","admin","173531","1012978325"
"Bordj Bou Arreridj","Bordj Bou Arreridj","36.0667","4.7667","Algeria","DZ","DZA","Bordj Bou Arréridj","admin","168346","1012016677"
"Skikda","Skikda","36.8667","6.9000","Algeria","DZ","DZA","Skikda","admin","163318","1012619903"
"Béchar","Bechar","31.6333","-2.2000","Algeria","DZ","DZA","Béchar","admin","165627","1012371820"
"El Eulma","El Eulma","36.1528","5.6900","Algeria","DZ","DZA","Sétif","","155038","1012292620"
"Chlef","Chlef","36.1647","1.3317","Algeria","DZ","DZA","Chlef","admin","155134","1012772239"
"Souk Ahras","Souk Ahras","36.2864","7.9511","Algeria","DZ","DZA","Souk Ahras","admin","155259","1012419619"
"M'Sila","M'Sila","35.7058","4.5419","Algeria","DZ","DZA","M'sila","admin","150000","1012857730"
"Mostaganem","Mostaganem","35.9333","0.0903","Algeria","DZ","DZA","Mostaganem","admin","145696","1012061703"
"Médéa","Medea","36.2675","2.7500","Algeria","DZ","DZA","Médéa","admin","138355","1012758282"
"Tizi Ouzou","Tizi Ouzou","36.7169","4.0497","Algeria","DZ","DZA","Tizi Ouzou","admin","135088","1012126997"
"El Oued","El Oued","33.3683","6.8675","Algeria","DZ","DZA","El Oued","admin","134699","1012148937"
"Laghouat","Laghouat","33.8000","2.8650","Algeria","DZ","DZA","Laghouat","admin","134372","1012233848"
"Jijel","Jijel","36.8206","5.7667","Algeria","DZ","DZA","Jijel","admin","131513","1012782547"
"Ouargla","Ouargla","31.9500","5.3167","Algeria","DZ","DZA","Ouargla","admin","133024","1012425687"
"Relizane","Relizane","35.7372","0.5558","Algeria","DZ","DZA","Relizane","admin","130094","1012939885"
"Saïda","Saida","34.8303","0.1517","Algeria","DZ","DZA","Saïda","admin","128413","1012285874"
"Guelma","Guelma","36.4619","7.4258","Algeria","DZ","DZA","Guelma","admin","120004","1012266321"
"Ghardaïa","Ghardaia","32.4833","3.6667","Algeria","DZ","DZA","Ghardaïa","admin","120000","1012074690"
"Aïn Beïda","Ain Beida","35.7964","7.3928","Algeria","DZ","DZA","Oum el Bouaghi","","116064","1012021090"
"Khenchela","Khenchela","35.4167","7.1333","Algeria","DZ","DZA","Khenchela","admin","108580","1012495148"
"Bou Saâda","Bou Saada","35.2083","4.1739","Algeria","DZ","DZA","M'sila","","111787","1012931222"
"Mascara","Mascara","35.4000","0.1333","Algeria","DZ","DZA","Mascara","admin","108587","1012738269"
"Messaad","Messaad","34.1542","3.4969","Algeria","DZ","DZA","Djelfa","","102453","1012278908"
"Aïn Oussera","Ain Oussera","35.4489","2.9044","Algeria","DZ","DZA","Djelfa","","101239","1012469007"
"Oum el Bouaghi","Oum el Bouaghi","35.8706","7.1150","Algeria","DZ","DZA","Oum el Bouaghi","admin","100821","1012958880"
"El Bayadh","El Bayadh","33.6831","1.0192","Algeria","DZ","DZA","El Bayadh","admin","85577","1012906892"
"Tamanrasset","Tamanrasset","22.7850","5.5228","Algeria","DZ","DZA","Tamanrasset","admin","76000","1012765474"
"Tissemsilt","Tissemsilt","35.6072","1.8106","Algeria","DZ","DZA","Tissemsilt","admin","75197","1012743339"
"Bouira","Bouira","36.3783","3.8925","Algeria","DZ","DZA","Bouira","admin","68545","1012006499"
"Adrar","Adrar","27.8742","-0.2939","Algeria","DZ","DZA","Adrar","admin","68276","1012462113"
"Tindouf","Tindouf","27.6753","-8.1286","Algeria","DZ","DZA","Tindouf","admin","45610","1012450434"
"Boumerdes","Boumerdes","36.7594","3.4728","Algeria","DZ","DZA","Boumerdes","admin","41685","1012627486"
"El Golea","El Golea","30.6000","2.9000","Algeria","DZ","DZA","Ghardaïa","admin","40195","1012834851"
"Touggourt","Touggourt","33.1000","6.0667","Algeria","DZ","DZA","Ouargla","admin","39409","1012546670"
"Timimoun","Timimoun","29.2500","0.2333","Algeria","DZ","DZA","Adrar","admin","33060","1012351010"
"I-n-Salah","I-n-Salah","27.1936","2.4606","Algeria","DZ","DZA","Tamanrasset","admin","32518","1012201146"
"El Tarf","El Tarf","36.7669","8.3136","Algeria","DZ","DZA","El Tarf","admin","25594","1012205687"
