"Guayaquil","Guayaquil","-2.1900","-79.8875","Ecuador","EC","ECU","Guayas","admin","2723665","1218802178"
"Quito","Quito","-0.2200","-78.5125","Ecuador","EC","ECU","Pichincha","primary","2011388","1218441993"
"Cuenca","Cuenca","-2.8974","-79.0045","Ecuador","EC","ECU","Azuay","admin","329928","1218041020"
"Santo Domingo de los Colorados","Santo Domingo de los Colorados","-0.2542","-79.1719","Ecuador","EC","ECU","Santo Domingo de los Tsáchilas","admin","270875","1218148017"
"Machala","Machala","-3.2667","-79.9667","Ecuador","EC","ECU","El Oro","admin","231260","1218378191"
"Eloy Alfaro","Eloy Alfaro","-2.1733","-79.8311","Ecuador","EC","ECU","Guayas","","230839","1218127217"
"Manta","Manta","-0.9500","-80.7162","Ecuador","EC","ECU","Manabí","","217553","1218160109"
"Portoviejo","Portoviejo","-1.0544","-80.4544","Ecuador","EC","ECU","Manabí","admin","206682","1218169586"
"Loja","Loja","-3.9906","-79.2050","Ecuador","EC","ECU","Loja","admin","170280","1218739896"
"Ambato","Ambato","-1.2417","-78.6197","Ecuador","EC","ECU","Tungurahua","admin","165185","1218046148"
"Esmeraldas","Esmeraldas","0.9500","-79.6667","Ecuador","EC","ECU","Esmeraldas","admin","154035","1218601363"
"Quevedo","Quevedo","-1.0333","-79.4500","Ecuador","EC","ECU","Los Ríos","","150827","1218928435"
"Riobamba","Riobamba","-1.6743","-78.6483","Ecuador","EC","ECU","Chimborazo","admin","146324","1218552075"
"Milagro","Milagro","-2.1347","-79.5872","Ecuador","EC","ECU","Guayas","","133508","1218568564"
"Ibarra","Ibarra","0.3628","-78.1300","Ecuador","EC","ECU","Imbabura","admin","131856","1218479054"
"Babahoyo","Babahoyo","-1.8167","-79.5167","Ecuador","EC","ECU","Los Ríos","admin","90191","1218156392"
"Latacunga","Latacunga","-0.9333","-78.6167","Ecuador","EC","ECU","Cotopaxi","admin","63842","1218947988"
"Tulcán","Tulcan","0.8117","-77.7186","Ecuador","EC","ECU","Carchi","admin","53558","1218976878"
"Nueva Loja","Nueva Loja","0.0844","-76.8911","Ecuador","EC","ECU","Sucumbíos","admin","48562","1218895755"
"Puerto Francisco de Orellana","Puerto Francisco de Orellana","-0.4625","-76.9842","Ecuador","EC","ECU","Orellana","admin","40730","1218387446"
"Santa Elena","Santa Elena","-2.2267","-80.8583","Ecuador","EC","ECU","Santa Elena","admin","39681","1218296446"
"Azogues","Azogues","-2.7333","-78.8333","Ecuador","EC","ECU","Cañar","admin","33848","1218651012"
"Puyo","Puyo","-1.4830","-77.9870","Ecuador","EC","ECU","Pastaza","admin","24881","1218537461"
"Guaranda","Guaranda","-1.6056","-79.0031","Ecuador","EC","ECU","Bolívar","admin","23874","1218581593"
"Tena","Tena","-0.9890","-77.8159","Ecuador","EC","ECU","Napo","admin","23307","1218759537"
"Macas","Macas","-2.3000","-78.1167","Ecuador","EC","ECU","Morona-Santiago","admin","18984","1218176372"
