"Cairo","Cairo","30.0444","31.2358","Egypt","EG","EGY","Al Qāhirah","primary","19787000","1818253931"
"Giza","Giza","29.9870","31.2118","Egypt","EG","EGY","Al Jīzah","admin","5598402","1818925479"
"Alexandria","Alexandria","31.2000","29.9167","Egypt","EG","EGY","Al Iskandarīyah","admin","4870000","1818695837"
"Shubrā al Khaymah","Shubra al Khaymah","30.1286","31.2422","Egypt","EG","EGY","Al Qalyūbīyah","","1025569","1818909612"
"Al Manşūrah","Al Mansurah","31.0500","31.3833","Egypt","EG","EGY","Ad Daqahlīyah","admin","960423","1818255319"
"Ḩalwān","Halwan","29.8419","31.3342","Egypt","EG","EGY","Al Qāhirah","","619293","1818000039"
"Port Said","Port Said","31.2500","32.2833","Egypt","EG","EGY","Būr Sa‘īd","admin","524433","1818628574"
"Suez","Suez","29.9667","32.5333","Egypt","EG","EGY","As Suways","admin","516959","1818495972"
"Ţanţā","Tanta","30.7833","31.0000","Egypt","EG","EGY","Al Gharbīyah","admin","429503","1818501770"
"Asyūţ","Asyut","27.1869","31.1714","Egypt","EG","EGY","Asyūţ","admin","389307","1818456592"
"Al Fayyūm","Al Fayyum","29.3000","30.8333","Egypt","EG","EGY","Al Fayyūm","admin","315940","1818281002"
"Az Zaqāzīq","Az Zaqaziq","30.5833","31.5167","Egypt","EG","EGY","Ash Sharqīyah","admin","285097","1818017750"
"Ismailia","Ismailia","30.5833","32.2667","Egypt","EG","EGY","Al Ismā‘īlīyah","admin","293184","1818532766"
"Kafr ad Dawwār","Kafr ad Dawwar","31.1339","30.1297","Egypt","EG","EGY","Al Buḩayrah","","262748","1818347704"
"Aswān","Aswan","24.0889","32.8997","Egypt","EG","EGY","Aswān","admin","267913","1818262512"
"Damanhūr","Damanhur","31.0500","30.4667","Egypt","EG","EGY","Al Buḩayrah","admin","244043","1818708838"
"Al Minyā","Al Minya","28.0833","30.7500","Egypt","EG","EGY","Al Minyā","admin","236043","1818607968"
"Damietta","Damietta","31.4167","31.8214","Egypt","EG","EGY","Dumyāţ","admin","206664","1818333966"
"Qinā","Qina","26.1667","32.7167","Egypt","EG","EGY","Qinā","admin","201191","1818868450"
