"Asmara","Asmara","15.3333","38.9167","Eritrea","ER","ERI","Ma'ākel","primary","963000","1232791236"
"Keren","Keren","15.7833","38.4500","Eritrea","ER","ERI","Ānseba","admin","146500","1232693598"
"Assab","Assab","13.0078","42.7411","Eritrea","ER","ERI","Debubawī K'eyih Bahrī","admin","74405","1232396238"
"Massawa","Massawa","15.6000","39.4333","Eritrea","ER","ERI","Semēnawī K'eyih Bahrī","admin","39758","1232344222"
"Mendefera","Mendefera","14.8833","38.8167","Eritrea","ER","ERI","Debub","admin","28492","1232751882"
"Barentu","Barentu","15.1058","37.5907","Eritrea","ER","ERI","Gash Barka","admin","","1232695352"
"Bēylul","Beylul","13.2639","42.3347","Eritrea","ER","ERI","Debubawī K'eyih Bahrī","","14055","1232983964"
"Adi Keyh","Adi Keyh","14.8333","39.3667","Eritrea","ER","ERI","Ma'ākel","","13061","1232384326"
"Ghinda'e","Ghinda'e","15.4500","39.0833","Eritrea","ER","ERI","Semēnawī K'eyih Bahrī","","11560","1232629758"
"Edd","Edd","13.9333","41.7000","Eritrea","ER","ERI","Debubawī K'eyih Bahrī","","11259","1232211688"
"Dek'emhāre","Dek'emhare","15.0700","39.0475","Eritrea","ER","ERI","Debub","","10959","1232763839"
"Ak'ordat","Ak'ordat","15.5500","37.8833","Eritrea","ER","ERI","Gash Barka","","8857","1232800240"
"Nefasīt","Nefasit","15.3333","39.0619","Eritrea","ER","ERI","Semēnawī K'eyih Bahrī","","8600","1232567577"
"Senafe","Senafe","14.7000","39.4167","Eritrea","ER","ERI","Debub","","6831","1232846614"
"Teseney","Teseney","15.1100","36.6575","Eritrea","ER","ERI","Gash Barka","","3753","1232609825"
