"Addis Ababa","Addis Ababa","9.0272","38.7369","Ethiopia","ET","ETH","Ādīs Ābeba","primary","3041002","1231824991"
"Nazrēt","Nazret","8.5500","39.2667","Ethiopia","ET","ETH","Oromīya","","324000","1231826873"
"Gonder","Gonder","12.6000","37.4667","Ethiopia","ET","ETH","Āmara","","323900","1231234833"
"Mekele","Mekele","13.4969","39.4769","Ethiopia","ET","ETH","Tigray","admin","323700","1231468531"
"Āwasa","Awasa","7.0500","38.4667","Ethiopia","ET","ETH","YeDebub Bihēroch Bihēreseboch na Hizboch","admin","300100","1231663122"
"Dire Dawa","Dire Dawa","9.5833","41.8667","Ethiopia","ET","ETH","Dirē Dawa","admin","277000","1231089714"
"Bahir Dar","Bahir Dar","11.5850","37.3900","Ethiopia","ET","ETH","Āmara","admin","243300","1231784118"
"Desē","Dese","11.1333","39.6333","Ethiopia","ET","ETH","Āmara","","187900","1231359719"
"Jīma","Jima","7.6667","36.8333","Ethiopia","ET","ETH","Oromīya","","177900","1231214366"
"Harar","Harar","9.3200","42.1500","Ethiopia","ET","ETH","Hārerī Hizb","admin","174994","1231785978"
"Jijiga","Jijiga","9.3500","42.8000","Ethiopia","ET","ETH","Sumalē","admin","159300","1231737909"
"Shashemenē","Shashemene","7.2004","38.5900","Ethiopia","ET","ETH","Oromīya","","114350","1231110370"
"Giyon","Giyon","8.5304","37.9700","Ethiopia","ET","ETH","Oromīya","","114534","1231961383"
"Āsela","Asela","7.9500","39.1167","Ethiopia","ET","ETH","Oromīya","","110088","1231347519"
"Ādīgrat","Adigrat","14.2804","39.4700","Ethiopia","ET","ETH","Tigray","","104021","1231492773"
"Nek’emtē","Nek'emte","9.0905","36.5300","Ethiopia","ET","ETH","Oromīya","","73018","1231437227"
"Debre Mark’os","Debre Mark'os","10.3400","37.7200","Ethiopia","ET","ETH","Āmara","","70758","1231943444"
"Ārba Minch’","Arba Minch'","6.0400","37.5500","Ethiopia","ET","ETH","YeDebub Bihēroch Bihēreseboch na Hizboch","","69622","1231302134"
"Āksum","Aksum","14.1284","38.7173","Ethiopia","ET","ETH","Tigray","","66800","1231573651"
"Debre Birhan","Debre Birhan","9.6804","39.5300","Ethiopia","ET","ETH","Āmara","","65231","1231777741"
"Hāgere Hiywet","Hagere Hiywet","8.9833","37.8500","Ethiopia","ET","ETH","Oromīya","","43920","1231809487"
"Goba","Goba","7.0100","39.9700","Ethiopia","ET","ETH","Oromīya","","34369","1231837780"
"Gīmbī","Gimbi","9.1667","35.8333","Ethiopia","ET","ETH","Oromīya","","31809","1231550284"
"Āsosa","Asosa","10.0670","34.5333","Ethiopia","ET","ETH","Bīnshangul Gumuz","admin","30512","1231491184"
"Negēlē","Negele","5.3166","39.5833","Ethiopia","ET","ETH","Oromīya","","11772","1231215294"
"Gambēla","Gambela","8.2500","34.5833","Ethiopia","ET","ETH","Gambēla Hizboch","admin","","1231698892"
"Semera","Semera","11.7956","41.0086","Ethiopia","ET","ETH","Āfar","admin","","1231617820"
"Debre Zeyit","Debre Zeyit","8.7500","38.9833","Ethiopia","ET","ETH","Oromīya","","99928","1231675489"
"Hosaina","Hosaina","7.5504","37.8500","Ethiopia","ET","ETH","YeDebub Bihēroch Bihēreseboch na Hizboch","","89300","1231400775"
"Godē","Gode","5.9500","43.4500","Ethiopia","ET","ETH","Sumalē","","75000","1231128743"
"Sodo","Sodo","6.9000","37.7500","Ethiopia","ET","ETH","YeDebub Bihēroch Bihēreseboch na Hizboch","","65737","1231130720"
"Dīla","Dila","6.4104","38.3100","Ethiopia","ET","ETH","YeDebub Bihēroch Bihēreseboch na Hizboch","","47021","1231393325"
"Yirga ‘Alem","Yirga `Alem","6.7504","38.4100","Ethiopia","ET","ETH","YeDebub Bihēroch Bihēreseboch na Hizboch","","36292","1231817240"
"Āreka","Areka","7.0667","37.7000","Ethiopia","ET","ETH","YeDebub Bihēroch Bihēreseboch na Hizboch","","31408","1231646056"
"Degeh Bur","Degeh Bur","8.2167","43.5667","Ethiopia","ET","ETH","Sumalē","","30027","1231855349"
"Dembī Dolo","Dembi Dolo","8.5333","34.8000","Ethiopia","ET","ETH","Oromīya","","27780","1231620291"
"Burē","Bure","10.7000","37.0667","Ethiopia","ET","ETH","Āmara","","25084","1231106866"
"Ādēt","Adet","11.2667","37.4833","Ethiopia","ET","ETH","Āmara","","21117","1231929103"
"Welench’ītī","Welench'iti","8.6667","39.4333","Ethiopia","ET","ETH","Oromīya","","20984","1231349696"
"Debark’","Debark'","13.1333","37.9000","Ethiopia","ET","ETH","Āmara","","20839","1231894156"
"Batī","Bati","11.1833","40.0167","Ethiopia","ET","ETH","Āmara","","20536","1231243570"
"Bichena","Bichena","10.4500","38.2000","Ethiopia","ET","ETH","Āmara","","19916","1231640166"
"Lalībela","Lalibela","12.0356","39.0462","Ethiopia","ET","ETH","Āmara","","14668","1231020267"
"Dolo Bay","Dolo Bay","4.1833","42.0833","Ethiopia","ET","ETH","Sumalē","","11810","1231539120"
"Gorē","Gore","8.1490","35.5370","Ethiopia","ET","ETH","Oromīya","","9352","1231481918"
"Gewanē","Gewane","10.1664","40.6453","Ethiopia","ET","ETH","Āfar","","8408","1231439257"
"Gīdolē","Gidole","5.6500","37.3667","Ethiopia","ET","ETH","YeDebub Bihēroch Bihēreseboch na Hizboch","","8167","1231448101"
