"Accra","Accra","5.6037","-0.1870","Ghana","GH","GHA","Greater Accra","primary","2291352","1288299415"
"Kumasi","Kumasi","6.6833","-1.6167","Ghana","GH","GHA","Ashanti","admin","2069350","1288181103"
"Tamale","Tamale","9.4075","-0.8533","Ghana","GH","GHA","Northern","admin","1095808","1288890688"
"Sekondi","Sekondi","4.9433","-1.7040","Ghana","GH","GHA","Western","admin","286248","1288186231"
"Obuase","Obuase","6.2000","-1.6833","Ghana","GH","GHA","Ashanti","","180460","1288615192"
"Tema","Tema","5.6667","-0.0167","Ghana","GH","GHA","Greater Accra","","161612","1288205885"
"Cape Coast","Cape Coast","5.1000","-1.2500","Ghana","GH","GHA","Central","admin","143015","1288506097"
"Koforidua","Koforidua","6.1000","-0.2667","Ghana","GH","GHA","Eastern","admin","127334","1288961962"
"Ho","Ho","6.6114","0.4703","Ghana","GH","GHA","Volta","admin","83715","1288938914"
"Wa","Wa","10.0667","-2.5000","Ghana","GH","GHA","Upper West","admin","78107","1288765586"
"Sunyani","Sunyani","7.3360","-2.3360","Ghana","GH","GHA","Brong-Ahafo","admin","70299","1288679588"
"Bolgatanga","Bolgatanga","10.7856","-0.8514","Ghana","GH","GHA","Upper East","admin","66685","1288943371"
"Techiman","Techiman","7.5905","-1.9395","Ghana","GH","GHA","Brong-Ahafo","admin","","1288222236"
"Sefwi Wiawso","Sefwi Wiawso","6.2058","-2.4894","Ghana","GH","GHA","Western","admin","","1288994228"
"Dambai","Dambai","8.0662","0.1795","Ghana","GH","GHA","Volta","admin","","1288521614"
"Goaso","Goaso","6.8036","-2.5172","Ghana","GH","GHA","Brong-Ahafo","admin","","1288616024"
"Nalerigu","Nalerigu","10.5273","-0.3698","Ghana","GH","GHA","Northern","admin","","1288845503"
"Damongo","Damongo","9.0830","-1.8188","Ghana","GH","GHA","Northern","admin","","1288827226"
"Bawku","Bawku","11.0600","-0.2422","Ghana","GH","GHA","Upper East","","73594","1288067377"
"Aflao","Aflao","6.1188","1.1946","Ghana","GH","GHA","Volta","","66546","1288563374"
"Nkawkaw","Nkawkaw","6.5505","-0.7800","Ghana","GH","GHA","Eastern","","62667","1288350107"
"Hohoe","Hohoe","7.1490","0.4746","Ghana","GH","GHA","Volta","","56202","1288897773"
"Winneba","Winneba","5.3500","-0.6333","Ghana","GH","GHA","Central","","55331","1288886612"
"Berekum","Berekum","7.4504","-2.5900","Ghana","GH","GHA","Brong-Ahafo","","46287","1288257467"
"Yendi","Yendi","9.4337","-0.0167","Ghana","GH","GHA","Northern","","42972","1288631491"
"Keta","Keta","5.9167","0.9833","Ghana","GH","GHA","Volta","","22739","1288925538"
"Gumani","Gumani","9.4500","-0.7667","Ghana","GH","GHA","Northern","","12506","1288021248"
"Diari","Diari","9.8452","-0.8655","Ghana","GH","GHA","Northern","","12666","1288997321"
"Sang","Sang","9.4171","-0.2786","Ghana","GH","GHA","Northern","","7278","1288879940"
"Kanvile","Kanvile","9.4583","-0.8444","Ghana","GH","GHA","Northern","","5506","1288687765"
