"Conakry","Conakry","9.5380","-13.6773","Guinea","GN","GIN","Conakry","primary","1667864","1324568159"
"Guéckédou","Gueckedou","8.5667","-10.1333","Guinea","GN","GIN","N’Zérékoré","minor","221715","1324580681"
"Siguiri","Siguiri","11.4189","-9.1644","Guinea","GN","GIN","Kankan","minor","183875","1324494896"
"N’Zérékoré","N'Zerekore","7.7600","-8.8300","Guinea","GN","GIN","N’Zérékoré","admin","168121","1324336588"
"Kindia","Kindia","10.0600","-12.8700","Guinea","GN","GIN","Kindia","admin","117062","1324348910"
"Boké","Boke","10.9400","-14.3000","Guinea","GN","GIN","Boké","admin","116270","1324037897"
"Kankan","Kankan","10.3900","-9.3100","Guinea","GN","GIN","Kankan","admin","114009","1324495325"
"Labé","Labe","11.3167","-12.2833","Guinea","GN","GIN","Labé","admin","107695","1324900784"
"Mamou","Mamou","10.3833","-12.0833","Guinea","GN","GIN","Mamou","admin","71153","1324990909"
"Faranah","Faranah","10.0404","-10.7500","Guinea","GN","GIN","Faranah","admin","19469","1324603099"
"Forécariah","Forecariah","9.4300","-13.0980","Guinea","GN","GIN","Kindia","minor","12358","1324863095"
"Kamsar","Kamsar","10.6500","-14.6167","Guinea","GN","GIN","Boké","","68999","1324075393"
"Kissidougou","Kissidougou","9.1905","-10.1200","Guinea","GN","GIN","Faranah","minor","66815","1324750427"
"Macenta","Macenta","8.5504","-9.4800","Guinea","GN","GIN","N’Zérékoré","minor","43102","1324817479"
"Dabola","Dabola","10.7500","-11.1167","Guinea","GN","GIN","Faranah","minor","38617","1324368075"
"Télimélé","Telimele","10.9050","-13.0430","Guinea","GN","GIN","Kindia","minor","30311","1324315862"
"Tougué","Tougue","11.4400","-11.6700","Guinea","GN","GIN","Labé","minor","25531","1324920258"
"Fria","Fria","10.3804","-13.5500","Guinea","GN","GIN","Boké","minor","23729","1324583144"
"Pita","Pita","11.0800","-12.4010","Guinea","GN","GIN","Mamou","minor","20052","1324788694"
"Kérouané","Kerouane","9.2704","-9.0200","Guinea","GN","GIN","Kankan","minor","15406","1324580549"
"Koundara","Koundara","12.4800","-13.2960","Guinea","GN","GIN","Boké","minor","13990","1324267190"
"Kouroussa","Kouroussa","10.6530","-9.8920","Guinea","GN","GIN","Kankan","minor","14223","1324187341"
"Beyla","Beyla","8.6870","-8.6570","Guinea","GN","GIN","N’Zérékoré","minor","13204","1324564039"
"Gaoual","Gaoual","11.7540","-13.2130","Guinea","GN","GIN","Boké","minor","7461","1324589428"
"Dalaba","Dalaba","10.6560","-12.2720","Guinea","GN","GIN","Mamou","minor","6349","1324455027"
"Dinguiraye","Dinguiraye","11.2990","-10.7260","Guinea","GN","GIN","Faranah","minor","6062","1324546502"
"Mali","Mali","12.0840","-12.3010","Guinea","GN","GIN","Labé","minor","5479","1324065197"
"Yomou","Yomou","7.5660","-9.2533","Guinea","GN","GIN","N’Zérékoré","minor","3614","1324839778"
"Boffa","Boffa","10.1850","-14.0430","Guinea","GN","GIN","Boké","minor","2332","1324801511"
