"Guatemala City","Guatemala City","14.6099","-90.5252","Guatemala","GT","GTM","Guatemala","primary","2934841","1320197916"
"Villa Nueva","Villa Nueva","14.5314","-90.5964","Guatemala","GT","GTM","Guatemala","minor","618397","1320353009"
"Coatepeque","Coatepeque","14.7000","-91.8667","Guatemala","GT","GTM","Quetzaltenango","minor","300000","1320672314"
"San Pedro Carchá","San Pedro Carcha","15.4768","-90.3120","Guatemala","GT","GTM","Alta Verapaz","minor","255006","1320220558"
"Cobán","Coban","15.4833","-90.3667","Guatemala","GT","GTM","Alta Verapaz","admin","228664","1320020813"
"Quetzaltenango","Quetzaltenango","14.8333","-91.5167","Guatemala","GT","GTM","Quetzaltenango","admin","225000","1320083599"
"San Juan Sacatepéquez","San Juan Sacatepequez","14.7189","-90.6442","Guatemala","GT","GTM","Guatemala","minor","193000","1320451247"
"Jutiapa","Jutiapa","14.2917","-89.8958","Guatemala","GT","GTM","Jutiapa","admin","162312","1320264119"
"Flores","Flores","16.9333","-89.8833","Guatemala","GT","GTM","Petén","admin","144932","1320651129"
"Momostenango","Momostenango","15.0444","-91.4083","Guatemala","GT","GTM","Totonicapán","minor","139552","1320482609"
"San Luis","San Luis","16.2000","-89.4400","Guatemala","GT","GTM","Petén","minor","132470","1320642245"
"Nueva Concepción","Nueva Concepcion","14.1997","-91.2997","Guatemala","GT","GTM","Escuintla","minor","130754","1320214238"
"Santa Lucía Cotzumalguapa","Santa Lucia Cotzumalguapa","14.3333","-91.0167","Guatemala","GT","GTM","Escuintla","minor","125473","1320110674"
"Amatitlán","Amatitlan","14.4741","-90.6247","Guatemala","GT","GTM","Guatemala","minor","125000","1320637423"
"Jalapa","Jalapa","14.6379","-89.9904","Guatemala","GT","GTM","Jalapa","admin","122483","1320108089"
"Totonicapán","Totonicapan","14.9108","-91.3606","Guatemala","GT","GTM","Totonicapán","admin","118960","1320223386"
"Puerto Barrios","Puerto Barrios","15.7300","-88.6000","Guatemala","GT","GTM","Izabal","admin","110846","1320517532"
"Escuintla","Escuintla","14.3004","-90.7800","Guatemala","GT","GTM","Escuintla","admin","107638","1320838903"
"Morales","Morales","15.4725","-88.8414","Guatemala","GT","GTM","Izabal","minor","107400","1320701049"
"Chichicastenango","Chichicastenango","14.9442","-91.1105","Guatemala","GT","GTM","Quiché","minor","107193","1320948769"
"Malacatán","Malacatan","14.9106","-92.0581","Guatemala","GT","GTM","San Marcos","minor","105178","1320759841"
"Mazatenango","Mazatenango","14.5333","-91.5000","Guatemala","GT","GTM","Suchitepéquez","admin","103276","1320123250"
"Petapa","Petapa","14.4962","-90.5525","Guatemala","GT","GTM","Guatemala","minor","94228","1320957558"
"Chiquimula","Chiquimula","14.7833","-89.5333","Guatemala","GT","GTM","Chiquimula","admin","79815","1320041079"
"Salamá","Salama","15.1052","-90.3160","Guatemala","GT","GTM","Baja Verapaz","admin","71478","1320223205"
"Zacapa","Zacapa","14.9667","-89.5333","Guatemala","GT","GTM","Zacapa","admin","66423","1320977472"
"San Marcos","San Marcos","14.9653","-91.7958","Guatemala","GT","GTM","San Marcos","admin","65571","1320960166"
