"Georgetown","Georgetown","6.7833","-58.1667","Guyana","GY","GUY","Demerara-Mahaica","primary","200500","1328160906"
"New Amsterdam","New Amsterdam","6.2500","-57.5167","Guyana","GY","GUY","East Berbice-Corentyne","admin","46874","1328195392"
"Linden","Linden","6.0000","-58.3000","Guyana","GY","GUY","Upper Demerara-Berbice","admin","29298","1328531190"
"Bartica","Bartica","6.4000","-58.6167","Guyana","GY","GUY","Cuyuni-Mazaruni","admin","8532","1328806426"
"Lethem","Lethem","3.3833","-59.8000","Guyana","GY","GUY","Upper Takutu-Upper Essequibo","admin","3000","1328749920"
"Mabaruma","Mabaruma","8.2000","-59.7833","Guyana","GY","GUY","Barima-Waini","admin","2972","1328079873"
"Vreed-en-Hoop","Vreed-en-Hoop","6.8000","-58.1833","Guyana","GY","GUY","Essequibo Islands-West Demerara","admin","","1328178268"
"Fort Wellington","Fort Wellington","6.3909","-57.6038","Guyana","GY","GUY","Mahaica-Berbice","admin","","1328483798"
"Mahdia","Mahdia","5.2667","-59.1500","Guyana","GY","GUY","Potaro-Siparuni","admin","","1328358422"
"Anna Regina","Anna Regina","7.2500","-58.5167","Guyana","GY","GUY","Pomeroon-Supenaam","","12448","1328787362"
"Princetown","Princetown","5.9000","-57.1700","Guyana","GY","GUY","East Berbice-Corentyne","","12000","1328276701"
"Ituni","Ituni","5.5333","-58.2500","Guyana","GY","GUY","Upper Demerara-Berbice","","100","1328501744"
