"Comayagüela","Comayaguela","14.0833","-87.2167","Honduras","HN","HND","Francisco Morazán","","1250000","1340762485"
"Tegucigalpa","Tegucigalpa","14.0942","-87.2067","Honduras","HN","HND","Francisco Morazán","primary","1126534","1340344059"
"San Pedro Sula","San Pedro Sula","15.5000","-88.0333","Honduras","HN","HND","Cortés","admin","1073824","1340568412"
"Choloma","Choloma","15.6333","-88.0000","Honduras","HN","HND","Cortés","","510456","1340125981"
"La Ceiba","La Ceiba","15.7800","-86.7878","Honduras","HN","HND","Atlántida","admin","196856","1340870189"
"Puerto Cortés","Puerto Cortes","15.8833","-87.9500","Honduras","HN","HND","Cortés","","200000","1340000062"
"Villanueva","Villanueva","15.3167","-88.0167","Honduras","HN","HND","Cortés","","157615","1340079427"
"Comayagua","Comayagua","14.4600","-87.6500","Honduras","HN","HND","Comayagua","admin","144785","1340015594"
"El Progreso","El Progreso","15.4000","-87.8000","Honduras","HN","HND","Yoro","","143360","1340231948"
"Ciudad Choluteca","Ciudad Choluteca","13.3167","-87.2167","Honduras","HN","HND","Choluteca","admin","120000","1340256619"
"Yoro","Yoro","15.1333","-87.1333","Honduras","HN","HND","Yoro","admin","64425","1340638121"
"Santa Rosa de Copán","Santa Rosa de Copan","14.7667","-88.7833","Honduras","HN","HND","Copán","admin","56000","1340050563"
"Gracias","Gracias","14.5833","-88.5833","Honduras","HN","HND","Lempira","admin","50256","1340141391"
"La Paz","La Paz","14.3169","-87.6831","Honduras","HN","HND","La Paz","admin","41250","1340290947"
"Juticalpa","Juticalpa","14.6664","-86.2186","Honduras","HN","HND","Olancho","admin","33260","1340411203"
"Trujillo","Trujillo","15.9167","-86.0000","Honduras","HN","HND","Colón","admin","30000","1340756106"
"Santa Bárbara","Santa Barbara","14.9167","-88.2333","Honduras","HN","HND","Santa Bárbara","admin","29283","1340312026"
"La Esperanza","La Esperanza","14.3000","-88.1833","Honduras","HN","HND","Intibucá","admin","21000","1340614286"
"Nacaome","Nacaome","13.5333","-87.4833","Honduras","HN","HND","Valle","admin","13931","1340964186"
"Yuscarán","Yuscaran","13.9433","-86.8667","Honduras","HN","HND","El Paraíso","admin","11396","1340315181"
"Roatán","Roatan","16.3300","-86.5190","Honduras","HN","HND","Islas de la Bahía","admin","7514","1340163370"
"Nueva Ocotepeque","Nueva Ocotepeque","14.4333","-89.1833","Honduras","HN","HND","Ocotepeque","admin","8780","1340380637"
"Puerto Lempira","Puerto Lempira","15.2653","-83.7744","Honduras","HN","HND","Gracias a Dios","admin","4856","1340110055"
"Tela","Tela","15.7833","-87.4667","Honduras","HN","HND","Atlántida","","78537","1340789148"
"La Lima","La Lima","15.4330","-87.9170","Honduras","HN","HND","Cortés","","53492","1340766612"
"Tocoa","Tocoa","15.6833","-86.0000","Honduras","HN","HND","Colón","","46900","1340024758"
"Catacamas","Catacamas","14.8000","-85.9000","Honduras","HN","HND","Olancho","","44198","1340898308"
"San Lorenzo","San Lorenzo","13.3667","-87.2667","Honduras","HN","HND","Valle","","43042","1340596273"
"Copán","Copan","14.8333","-89.1500","Honduras","HN","HND","Copán","","41542","1340766034"
"Siguatepeque","Siguatepeque","14.6000","-87.8333","Honduras","HN","HND","Comayagua","","39070","1340354793"
"Olanchito","Olanchito","15.4833","-86.5833","Honduras","HN","HND","Yoro","","22500","1340362964"
"Cofradía","Cofradia","15.4168","-88.1603","Honduras","HN","HND","Cortés","","18100","1340899741"
"Yorito","Yorito","15.0600","-87.2900","Honduras","HN","HND","Yoro","","15774","1340550354"
"San Marcos","San Marcos","14.4000","-88.9500","Honduras","HN","HND","Ocotepeque","","14213","1340516781"
"La Entrada","La Entrada","15.0500","-88.7333","Honduras","HN","HND","Copán","","13949","1340911070"
"Talanga","Talanga","14.4000","-87.0833","Honduras","HN","HND","Francisco Morazán","","13533","1340622146"
"San Francisco","San Francisco","15.6667","-87.0333","Honduras","HN","HND","Atlántida","","11206","1340403835"
"La Alianza","La Alianza","13.5167","-87.7167","Honduras","HN","HND","Valle","","7524","1340236717"
"Brus Laguna","Brus Laguna","15.7500","-84.4833","Honduras","HN","HND","Gracias a Dios","","4067","1340003428"
