"Zagreb","Zagreb","45.8131","15.9772","Croatia","HR","HRV","Zagreb, Grad","primary","790017","1191233290"
"Split","Split","43.5100","16.4500","Croatia","HR","HRV","Splitsko-Dalmatinska Županija","admin","178102","1191440208"
"Rijeka","Rijeka","45.3272","14.4411","Croatia","HR","HRV","Primorsko-Goranska Županija","admin","128624","1191949063"
"Osijek","Osijek","45.5603","18.6703","Croatia","HR","HRV","Osječko-Baranjska Županija","admin","84104","1191917921"
"Zadar","Zadar","44.1167","15.2167","Croatia","HR","HRV","Zadarska Županija","admin","75082","1191160875"
"Slavonski Brod","Slavonski Brod","45.1553","18.0144","Croatia","HR","HRV","Brodsko-Posavska Županija","admin","56769","1191097030"
"Šibenik","Sibenik","43.7339","15.8956","Croatia","HR","HRV","Šibensko-Kninska Županija","admin","46332","1191444936"
"Dubrovnik","Dubrovnik","42.6403","18.1083","Croatia","HR","HRV","Dubrovačko-Neretvanska Županija","admin","42615","1191004286"
"Bjelovar","Bjelovar","45.8989","16.8422","Croatia","HR","HRV","Bjelovarsko-Bilogorska Županija","admin","40276","1191340640"
"Sisak","Sisak","45.4872","16.3761","Croatia","HR","HRV","Sisačko-Moslavačka Županija","admin","33322","1191526652"
"Čakovec","Cakovec","46.3833","16.4333","Croatia","HR","HRV","Međimurska Županija","admin","30455","1191424625"
"Vukovar","Vukovar","45.3500","19.0033","Croatia","HR","HRV","Vukovarsko-Srijemska Županija","admin","24938","1191345427"
"Virovitica","Virovitica","45.8333","17.3833","Croatia","HR","HRV","Virovitičko-Podravska Županija","admin","21291","1191128636"
"Gospić","Gospic","44.5469","15.3744","Croatia","HR","HRV","Ličko-Senjska Županija","admin","5695","1191887616"
"Varaždin","Varazdin","46.3000","16.3333","Croatia","HR","HRV","Varaždinska Županija","admin","","1191291148"
"Koprivnica","Koprivnica","46.1500","16.8167","Croatia","HR","HRV","Koprivničko-Križevačka Županija","admin","","1191924250"
"Požega","Pozega","45.3314","17.6744","Croatia","HR","HRV","Požeško-Slavonska Županija","admin","","1191353181"
"Krapina","Krapina","46.1589","15.8744","Croatia","HR","HRV","Krapinsko-Zagorska Županija","admin","","1191389404"
"Pazin","Pazin","45.2392","13.9386","Croatia","HR","HRV","Istarska Županija","admin","","1191654566"
"Velika Gorica","Velika Gorica","45.7000","16.0667","Croatia","HR","HRV","Zagrebačka Županija","minor","63517","1191113594"
"Pula","Pula","44.8667","13.8333","Croatia","HR","HRV","Istarska Županija","minor","57053","1191143009"
"Karlovac","Karlovac","45.4931","15.5558","Croatia","HR","HRV","Karlovačka Županija","","53134","1191000040"
"Kaštel Stari","Kastel Stari","43.5483","16.3383","Croatia","HR","HRV","Splitsko-Dalmatinska Županija","","43349","1191355987"
"Solin","Solin","43.5317","16.4947","Croatia","HR","HRV","Splitsko-Dalmatinska Županija","minor","23926","1191452143"
"Samobor","Samobor","45.8011","15.7110","Croatia","HR","HRV","Zagrebačka Županija","minor","15147","1191807327"
"Vrbovec","Vrbovec","45.8833","16.4333","Croatia","HR","HRV","Zagrebačka Županija","minor","14797","1191484288"
"Ivanić-Grad","Ivanic-Grad","45.7081","16.3947","Croatia","HR","HRV","Zagrebačka Županija","minor","14723","1191909415"
"Rovinj","Rovinj","45.0833","13.6333","Croatia","HR","HRV","Istarska Županija","minor","14294","1191599469"
"Trogir","Trogir","43.5167","16.2500","Croatia","HR","HRV","Splitsko-Dalmatinska Županija","minor","13260","1191315860"
"Županja","Zupanja","45.0667","18.7000","Croatia","HR","HRV","Vukovarsko-Srijemska Županija","minor","12090","1191054836"
"Nova Gradiška","Nova Gradiska","45.2500","17.3833","Croatia","HR","HRV","Brodsko-Posavska Županija","minor","11821","1191025176"
"Opatija","Opatija","45.3347","14.3069","Croatia","HR","HRV","Primorsko-Goranska Županija","minor","11659","1191982660"
"Labin","Labin","45.0833","14.1167","Croatia","HR","HRV","Istarska Županija","minor","11642","1191000718"
"Crikvenica","Crikvenica","45.1833","14.7000","Croatia","HR","HRV","Primorsko-Goranska Županija","minor","11122","1191344167"
"Kastav","Kastav","45.3726","14.3490","Croatia","HR","HRV","Primorsko-Goranska Županija","minor","10472","1191243923"
"Križevci","Krizevci","46.0333","16.5333","Croatia","HR","HRV","Koprivničko-Križevačka Županija","minor","11231","1191282973"
"Knin","Knin","44.0333","16.1833","Croatia","HR","HRV","Šibensko-Kninska Županija","minor","10633","1191313799"
"Slatina","Slatina","45.7000","17.7000","Croatia","HR","HRV","Virovitičko-Podravska Županija","minor","10208","1191732993"
"Daruvar","Daruvar","45.6000","17.2167","Croatia","HR","HRV","Bjelovarsko-Bilogorska Županija","minor","9815","1191459511"
"Čepin","Cepin","45.5236","18.5633","Croatia","HR","HRV","Osječko-Baranjska Županija","minor","9500","1191719855"
"Ogulin","Ogulin","45.2669","15.2248","Croatia","HR","HRV","Karlovačka Županija","minor","8712","1191210263"
"Bedekovčina","Bedekovcina","46.0333","16.0000","Croatia","HR","HRV","Krapinsko-Zagorska Županija","minor","8079","1191828633"
"Našice","Nasice","45.4833","18.1000","Croatia","HR","HRV","Osječko-Baranjska Županija","minor","7888","1191359646"
"Poreč","Porec","45.2167","13.5833","Croatia","HR","HRV","Istarska Županija","minor","7585","1191152483"
"Križ","Kriz","45.6500","16.5167","Croatia","HR","HRV","Zagrebačka Županija","minor","7406","1191525669"
"Čavle","Cavle","45.3500","14.4800","Croatia","HR","HRV","Primorsko-Goranska Županija","minor","7220","1191771981"
"Novska","Novska","45.3333","16.9833","Croatia","HR","HRV","Sisačko-Moslavačka Županija","minor","7028","1191890693"
"Belišće","Belisce","45.6825","18.4069","Croatia","HR","HRV","Osječko-Baranjska Županija","minor","6518","1191824256"
"Ploče","Ploce","43.0525","17.4367","Croatia","HR","HRV","Dubrovačko-Neretvanska Županija","minor","6537","1191861085"
"Krk","Krk","45.0261","14.5756","Croatia","HR","HRV","Primorsko-Goranska Županija","minor","6281","1191228076"
"Vodice","Vodice","43.7506","15.7789","Croatia","HR","HRV","Šibensko-Kninska Županija","minor","6116","1191637879"
