"Port-au-Prince","Port-au-Prince","18.5425","-72.3386","Haiti","HT","HTI","Ouest","primary","987310","1332401940"
"Carrefour","Carrefour","18.5333","-72.4000","Haiti","HT","HTI","Ouest","","511345","1332000098"
"Pétion-Ville","Petion-Ville","18.5098","-72.2856","Haiti","HT","HTI","Ouest","","359615","1332051873"
"Gonaïves","Gonaives","19.4456","-72.6883","Haiti","HT","HTI","Artibonite","admin","324043","1332384588"
"Delmas","Delmas","18.5500","-72.3000","Haiti","HT","HTI","Ouest","","284079","1332257532"
"Cap-Haïtien","Cap-Haitien","19.7500","-72.2000","Haiti","HT","HTI","Nord","admin","190289","1332333795"
"Les Cayes","Les Cayes","18.2000","-73.7500","Haiti","HT","HTI","Sud","admin","175457","1332587854"
"Saint-Marc","Saint-Marc","19.1167","-72.7000","Haiti","HT","HTI","Artibonite","","160181","1332084366"
"Port-de-Paix","Port-de-Paix","19.9500","-72.8333","Haiti","HT","HTI","Nord-Ouest","admin","121220","1332536650"
"Jacmel","Jacmel","18.2350","-72.5370","Haiti","HT","HTI","Sud-Est","admin","33563","1332314393"
"Jérémie","Jeremie","18.6339","-74.1184","Haiti","HT","HTI","Grand’Anse","admin","30917","1332612037"
"Hinche","Hinche","19.1430","-72.0040","Haiti","HT","HTI","Centre","admin","18590","1332748356"
"Fort Liberté","Fort Liberte","19.6656","-71.8448","Haiti","HT","HTI","Nord-Est","admin","11465","1332603160"
"Miragoâne","Miragoane","18.4411","-73.0883","Haiti","HT","HTI","Nippes","admin","","1332665283"
"Belladère","Belladere","18.8500","-71.7833","Haiti","HT","HTI","Centre","","60239","1332473025"
