"Jerusalem","Jerusalem","31.7833","35.2167","Israel","IL","ISR","Jerusalem","primary","919438","1376261644"
"Tel Aviv-Yafo","Tel Aviv-Yafo","32.0800","34.7800","Israel","IL","ISR","Tel Aviv","admin","451523","1376401542"
"Haifa","Haifa","32.8000","34.9833","Israel","IL","ISR","Haifa","admin","281087","1376133727"
"Rishon LeẔiyyon","Rishon LeZiyyon","31.9711","34.7894","Israel","IL","ISR","Central","","249860","1376642268"
"Petaẖ Tiqwa","Petah Tiqwa","32.0833","34.8833","Israel","IL","ISR","Central","","236169","1376362310"
"Ashdod","Ashdod","31.7978","34.6503","Israel","IL","ISR","Southern","","220174","1376458766"
"Netanya","Netanya","32.3328","34.8600","Israel","IL","ISR","Central","","217244","1376203187"
"Beersheba","Beersheba","31.2589","34.7978","Israel","IL","ISR","Southern","admin","209000","1376023307"
"Bené Beraq","Bene Beraq","32.0807","34.8338","Israel","IL","ISR","Tel Aviv","","193774","1376944837"
"Holon","Holon","32.0167","34.7667","Israel","IL","ISR","Tel Aviv","","188834","1376222772"
"Ramat Gan","Ramat Gan","32.0700","34.8235","Israel","IL","ISR","Tel Aviv","","152596","1376357911"
"Bat Yam","Bat Yam","32.0231","34.7503","Israel","IL","ISR","Tel Aviv","","128800","1376837517"
"Ashqelon","Ashqelon","31.6658","34.5664","Israel","IL","ISR","Southern","","134454","1376324059"
"Reẖovot","Rehovot","31.8914","34.8078","Israel","IL","ISR","Central","","132671","1376684821"
"Bet Shemesh","Bet Shemesh","31.7514","34.9886","Israel","IL","ISR","Jerusalem","","114371","1376846832"
"Kefar Sava","Kefar Sava","32.1858","34.9077","Israel","IL","ISR","Central","","100800","1376008883"
"Herẕliyya","Herzliyya","32.1556","34.8422","Israel","IL","ISR","Tel Aviv","","93989","1376303805"
"Nazareth","Nazareth","32.7021","35.2978","Israel","IL","ISR","Northern","admin","83400","1376505625"
"Ra‘ananna","Ra`ananna","32.1833","34.8667","Israel","IL","ISR","Central","","74000","1376791991"
"Ramla","Ramla","31.9275","34.8625","Israel","IL","ISR","Central","admin","75500","1376321361"
"Givatayim","Givatayim","32.0697","34.8117","Israel","IL","ISR","Tel Aviv","","59518","1376739486"
"Hod HaSharon","Hod HaSharon","32.1500","34.8833","Israel","IL","ISR","Central","","56659","1376159880"
"Qiryat Ata","Qiryat Ata","32.8000","35.1000","Israel","IL","ISR","Haifa","","55464","1376676929"
"Rosh Ha‘Ayin","Rosh Ha`Ayin","32.0833","34.9500","Israel","IL","ISR","Central","","56300","1376619380"
"Umm el Faḥm","Umm el Fahm","32.5158","35.1525","Israel","IL","ISR","Haifa","","55300","1376814378"
"Nes Ẕiyyona","Nes Ziyyona","31.9333","34.8000","Israel","IL","ISR","Central","","50200","1376745785"
