"Delhi","Delhi","28.6667","77.2167","India","IN","IND","Delhi","admin","31870000","1356872604"
"Mumbai","Mumbai","19.0758","72.8775","India","IN","IND","Mahārāshtra","admin","22186000","1356226629"
"Kolkāta","Kolkata","22.5727","88.3639","India","IN","IND","West Bengal","admin","18698000","1356060520"
"Bangalore","Bangalore","12.9791","77.5913","India","IN","IND","Karnātaka","admin","13999000","1356410365"
"Chennai","Chennai","13.0825","80.2750","India","IN","IND","Tamil Nādu","admin","11564000","1356374944"
"Hyderābād","Hyderabad","17.3617","78.4747","India","IN","IND","Telangana","admin","9840000","1356871768"
"Pune","Pune","18.5196","73.8553","India","IN","IND","Mahārāshtra","","7948000","1356081074"
"Ahmedabad","Ahmedabad","23.0300","72.5800","India","IN","IND","Gujarāt","minor","7717000","1356304381"
"Allahābād","Allahabad","25.4500","81.8500","India","IN","IND","Uttar Pradesh","","5954391","1356718332"
"Sūrat","Surat","21.1700","72.8300","India","IN","IND","Gujarāt","","4875000","1356758738"
"Lucknow","Lucknow","26.8470","80.9470","India","IN","IND","Uttar Pradesh","admin","3382000","1356891790"
"Jaipur","Jaipur","26.9167","75.8667","India","IN","IND","Rājasthān","admin","3073350","1356293537"
"Cawnpore","Cawnpore","26.4725","80.3311","India","IN","IND","Uttar Pradesh","","2701324","1356575238"
"Mirzāpur","Mirzapur","25.1500","82.5800","India","IN","IND","Uttar Pradesh","","2496970","1356427908"
"Nāgpur","Nagpur","21.1539","79.0831","India","IN","IND","Mahārāshtra","","2405665","1356365743"
"Ghāziābād","Ghaziabad","28.6667","77.4167","India","IN","IND","Uttar Pradesh","","2375820","1356691871"
"Vadodara","Vadodara","22.3000","73.2000","India","IN","IND","Gujarāt","","2065771","1356705249"
"Vishākhapatnam","Vishakhapatnam","17.7333","83.3167","India","IN","IND","Andhra Pradesh","","2035922","1356692563"
"Indore","Indore","22.7206","75.8472","India","IN","IND","Madhya Pradesh","","1994397","1356402812"
"Thāne","Thane","19.1800","72.9633","India","IN","IND","Mahārāshtra","","1886941","1356681152"
"Bhopāl","Bhopal","23.2500","77.4167","India","IN","IND","Madhya Pradesh","admin","1798218","1356734039"
"Patna","Patna","25.6100","85.1414","India","IN","IND","Bihār","admin","1684222","1356821429"
"Bilāspur","Bilaspur","22.1500","82.0167","India","IN","IND","Chhattīsgarh","","1625502","1356820491"
"Ludhiāna","Ludhiana","30.9083","75.8486","India","IN","IND","Punjab","","1618879","1356929498"
"Āgra","Agra","27.1724","78.0131","India","IN","IND","Uttar Pradesh","","1592000","1356187395"
"Kalyān","Kalyan","19.2502","73.1602","India","IN","IND","Mahārāshtra","","1576614","1356172246"
"Madurai","Madurai","9.9197","78.1194","India","IN","IND","Tamil Nādu","minor","1561129","1356257289"
"Jamshedpur","Jamshedpur","22.8000","86.1833","India","IN","IND","Jharkhand","","1558000","1356501259"
"Nāsik","Nasik","20.0000","73.7833","India","IN","IND","Mahārāshtra","","1486053","1356562598"
"Farīdābād","Faridabad","28.4353","77.3147","India","IN","IND","Haryāna","","1394000","1356013205"
"Aurangābād","Aurangabad","19.8800","75.3200","India","IN","IND","Mahārāshtra","","1371330","1356840670"
"Rājkot","Rajkot","22.2969","70.7984","India","IN","IND","Gujarāt","","1335397","1356317190"
"Meerut","Meerut","28.9900","77.7000","India","IN","IND","Uttar Pradesh","","1305429","1356390476"
"Jabalpur","Jabalpur","23.1667","79.9333","India","IN","IND","Madhya Pradesh","","1267564","1356115460"
"Dhanbād","Dhanbad","23.7928","86.4350","India","IN","IND","Jharkhand","","1246000","1356103392"
"Vārānasi","Varanasi","25.3189","83.0128","India","IN","IND","Uttar Pradesh","","1198491","1356145782"
"Srīnagar","Srinagar","34.0911","74.8061","India","IN","IND","Jammu and Kashmīr","admin","1180570","1356442950"
"Amritsar","Amritsar","31.6269","74.8770","India","IN","IND","Punjab","","1132383","1356926507"
"Alīgarh","Aligarh","27.8800","78.0800","India","IN","IND","Uttar Pradesh","","1131160","1356076391"
"Guwāhāti","Guwahati","26.1722","91.7458","India","IN","IND","Assam","","1116267","1356593800"
"Bhilai","Bhilai","21.2186","81.4314","India","IN","IND","Chhattīsgarh","","1097000","1356071083"
"Hāora","Haora","22.5736","88.3251","India","IN","IND","West Bengal","","1077075","1356986516"
