"Baghdad","Baghdad","33.3500","44.4167","Iraq","IQ","IRQ","Baghdād","primary","6107000","1368596238"
"Mosul","Mosul","36.3667","43.1167","Iraq","IQ","IRQ","Nīnawá","admin","1694000","1368194914"
"Al Başrah","Al Basrah","30.5150","47.8100","Iraq","IQ","IRQ","Al Başrah","admin","1326564","1368714645"
"Kirkuk","Kirkuk","35.4667","44.4000","Iraq","IQ","IRQ","Kirkūk","admin","975000","1368344172"
"Ar Ramādī","Ar Ramadi","33.4258","43.2992","Iraq","IQ","IRQ","Al Anbār","admin","874543","1368838855"
"Erbil","Erbil","36.1911","44.0094","Iraq","IQ","IRQ","Arbīl","admin","846000","1368578192"
"An Najaf","An Najaf","32.0290","44.3396","Iraq","IQ","IRQ","An Najaf","admin","724700","1368003357"
"Karbalā’","Karbala'","32.6167","44.0333","Iraq","IQ","IRQ","Karbalā’","admin","690100","1368597794"
"As Sulaymānīyah","As Sulaymaniyah","35.5500","45.4333","Iraq","IQ","IRQ","As Sulaymānīyah","admin","676500","1368735317"
"An Nāşirīyah","An Nasiriyah","31.0439","46.2575","Iraq","IQ","IRQ","Dhī Qār","admin","541600","1368273311"
"Al Ḩillah","Al Hillah","32.4833","44.4333","Iraq","IQ","IRQ","Bābil","admin","541034","1368916692"
"Al ‘Amārah","Al `Amarah","31.8333","47.1500","Iraq","IQ","IRQ","Maysān","admin","511500","1368336235"
"Ba‘qūbah","Ba`qubah","33.7447","44.6436","Iraq","IQ","IRQ","Diyālá","admin","467900","1368444902"
"Ad Dīwānīyah","Ad Diwaniyah","31.9892","44.9247","Iraq","IQ","IRQ","Al Qādisīyah","admin","391600","1368864006"
"Az Zubayr","Az Zubayr","30.3892","47.7081","Iraq","IQ","IRQ","Al Başrah","minor","370000","1368147923"
"Dahūk","Dahuk","36.8500","42.9833","Iraq","IQ","IRQ","Dahūk","admin","330600","1368137126"
"Al Fallūjah","Al Fallujah","33.3500","43.7833","Iraq","IQ","IRQ","Al Anbār","minor","326471","1368081888"
"Al Kūt","Al Kut","32.4907","45.8304","Iraq","IQ","IRQ","Wāsiţ","admin","321521","1368569694"
"Zākhū","Zakhu","37.1436","42.6819","Iraq","IQ","IRQ","Dahūk","minor","219006","1368905231"
"As Samāwah","As Samawah","31.3167","45.2833","Iraq","IQ","IRQ","Al Muthanná","admin","215000","1368246912"
"Al Kūfah","Al Kufah","32.0300","44.4000","Iraq","IQ","IRQ","An Najaf","minor","166100","1368929021"
"Ash Shaţrah","Ash Shatrah","31.4175","46.1772","Iraq","IQ","IRQ","Dhī Qār","minor","161949","1368920164"
"Sāmarrā’","Samarra'","34.1940","43.8750","Iraq","IQ","IRQ","Şalāḩ ad Dīn","minor","158508","1368265789"
"Umm Qaşr","Umm Qasr","30.0342","47.9294","Iraq","IQ","IRQ","Al Başrah","","107620","1368478549"
"Tikrīt","Tikrit","34.6000","43.6833","Iraq","IQ","IRQ","Şalāḩ ad Dīn","admin","105700","1368199624"
"Al Fāw","Al Faw","29.9800","48.4700","Iraq","IQ","IRQ","Al Başrah","minor","105080","1368130668"
"Nāḩiyat al Karmah","Nahiyat al Karmah","33.3997","43.9089","Iraq","IQ","IRQ","Al Anbār","","95000","1368548065"
"Sinjār","Sinjar","36.3209","41.8766","Iraq","IQ","IRQ","Nīnawá","minor","88023","1368057870"
"Al Ḩayy","Al Hayy","32.1742","46.0433","Iraq","IQ","IRQ","Wāsiţ","minor","82900","1368988553"
"Tall ‘Afar","Tall `Afar","36.3792","42.4497","Iraq","IQ","IRQ","Nīnawá","minor","80000","1368564375"
"Balad","Balad","34.0147","44.1456","Iraq","IQ","IRQ","Şalāḩ ad Dīn","minor","80000","1368077707"
"Al Musayyib","Al Musayyib","32.7786","44.2900","Iraq","IQ","IRQ","Bābil","minor","76454","1368000434"
"Az Zubaydīyah","Az Zubaydiyah","32.7588","45.1773","Iraq","IQ","IRQ","Wāsiţ","","70000","1368931413"
"Hīt","Hit","33.6417","42.8250","Iraq","IQ","IRQ","Al Anbār","minor","66700","1368649537"
"Ḩalabjah","Halabjah","35.1833","45.9833","Iraq","IQ","IRQ","As Sulaymānīyah","minor","65200","1368595428"
"Bayjī","Bayji","34.9292","43.4931","Iraq","IQ","IRQ","Şalāḩ ad Dīn","minor","60000","1368780727"
"Qalādizay","Qaladizay","36.1811","45.1286","Iraq","IQ","IRQ","As Sulaymānīyah","minor","36792","1368327633"
"Mandalī","Mandali","33.7436","45.5464","Iraq","IQ","IRQ","Diyālá","","29785","1368763045"
"Shaqlāwah","Shaqlawah","36.3964","44.3436","Iraq","IQ","IRQ","Arbīl","minor","25000","1368884610"
"Ar Ruţbah","Ar Rutbah","33.0333","40.2833","Iraq","IQ","IRQ","Al Anbār","minor","22370","1368174661"
"Kūysinjaq","Kuysinjaq","36.0828","44.6286","Iraq","IQ","IRQ","Arbīl","minor","19878","1368937180"
"Rāwah","Rawah","34.4792","41.9083","Iraq","IQ","IRQ","Al Anbār","minor","19629","1368442139"
"Ḩammām al ‘Alīl","Hammam al `Alil","36.1581","43.2594","Iraq","IQ","IRQ","Nīnawá","","15985","1368957629"
"Al ‘Amādīyah","Al `Amadiyah","37.0922","43.4878","Iraq","IQ","IRQ","Dahūk","minor","11000","1368510045"
