"Kingston","Kingston","17.9714","-76.7931","Jamaica","JM","JAM","Kingston","primary","580000","1388709177"
"Portmore","Portmore","17.9667","-76.8667","Jamaica","JM","JAM","Saint Catherine","","170000","1388926551"
"May Pen","May Pen","17.9500","-77.2500","Jamaica","JM","JAM","Clarendon","admin","135142","1388671677"
"Spanish Town","Spanish Town","17.9961","-76.9547","Jamaica","JM","JAM","Saint Catherine","admin","131056","1388689196"
"Montego Bay","Montego Bay","18.4667","-77.9167","Jamaica","JM","JAM","Saint James","admin","110115","1388955058"
"Half Way Tree","Half Way Tree","18.0106","-76.7975","Jamaica","JM","JAM","Saint Andrew","admin","96494","1388715163"
"Mandeville","Mandeville","18.0333","-77.5000","Jamaica","JM","JAM","Manchester","admin","48317","1388493847"
"Savanna-la-Mar","Savanna-la-Mar","18.2167","-78.1333","Jamaica","JM","JAM","Westmoreland","admin","22600","1388690384"
"Port Antonio","Port Antonio","18.1667","-76.4500","Jamaica","JM","JAM","Portland","admin","14400","1388024275"
"Saint Ann’s Bay","Saint Ann's Bay","18.4350","-77.2017","Jamaica","JM","JAM","Saint Ann","admin","13671","1388256334"
"Port Maria","Port Maria","18.3703","-76.8903","Jamaica","JM","JAM","Saint Mary","admin","7906","1388155945"
"Falmouth","Falmouth","18.4936","-77.6558","Jamaica","JM","JAM","Trelawny","admin","7779","1388625979"
"Lucea","Lucea","18.4509","-78.1736","Jamaica","JM","JAM","Hanover","admin","6002","1388423676"
"Black River","Black River","18.0256","-77.8508","Jamaica","JM","JAM","Saint Elizabeth","admin","4261","1388022504"
"Morant Bay","Morant Bay","17.8814","-76.4092","Jamaica","JM","JAM","Saint Thomas","admin","","1388124588"
"Old Harbour","Old Harbour","17.9333","-77.1167","Jamaica","JM","JAM","Saint Catherine","","28665","1388632984"
"Linstead","Linstead","18.1368","-77.0317","Jamaica","JM","JAM","Saint Catherine","","22757","1388611853"
"Port Morant","Port Morant","17.8910","-76.3290","Jamaica","JM","JAM","Saint Thomas","","11536","1388362870"
