"Amman","Amman","31.9500","35.9333","Jordan","JO","JOR","Al ‘Āşimah","primary","4007526","1400522593"
"Irbid","Irbid","32.5556","35.8500","Jordan","JO","JOR","Irbid","admin","569068","1400221568"
"Az Zarqā'","Az Zarqa'","32.0833","36.1000","Jordan","JO","JOR","Az Zarqā'","admin","481300","1400161837"
"Ar Ramthā","Ar Ramtha","32.5592","36.0069","Jordan","JO","JOR","Irbid","minor","155693","1400675695"
"‘Ajlūn","`Ajlun","32.3325","35.7517","Jordan","JO","JOR","‘Ajlūn","admin","148870","1400775371"
"Al ‘Aqabah","Al `Aqabah","29.5167","35.0000","Jordan","JO","JOR","Al ‘Aqabah","admin","140000","1400618058"
"As Salţ","As Salt","32.0392","35.7272","Jordan","JO","JOR","Al Balqā'","admin","88900","1400470384"
"Al Mafraq","Al Mafraq","32.2833","36.2333","Jordan","JO","JOR","Al Mafraq","admin","57118","1400040712"
"Jarash","Jarash","32.2723","35.8914","Jordan","JO","JOR","Jarash","admin","50745","1400505859"
"Ma‘ān","Ma`an","30.1920","35.7360","Jordan","JO","JOR","Ma‘ān","admin","50350","1400670443"
"Aţ Ţafīlah","At Tafilah","30.8375","35.6044","Jordan","JO","JOR","Aţ Ţafīlah","admin","23512","1400134505"
"Al Karak","Al Karak","31.1833","35.7000","Jordan","JO","JOR","Al Karak","admin","21678","1400073941"
"Mādabā","Madaba","31.7167","35.8000","Jordan","JO","JOR","Ma'dabā","admin","","1400962992"
"Aţ Ţurrah","At Turrah","32.6368","35.9900","Jordan","JO","JOR","Irbid","","34948","1400078308"
"Al Ḩişn","Al Hisn","32.4870","35.8800","Jordan","JO","JOR","Irbid","minor","35085","1400378169"
"AshShajarah","AshShajarah","32.6417","35.9417","Jordan","JO","JOR","Irbid","","27902","1400450578"
"Kafr ‘Awān","Kafr `Awan","32.4167","35.6833","Jordan","JO","JOR","Irbid","","13056","1400261137"
"Sākib","Sakib","32.2843","35.8092","Jordan","JO","JOR","Jarash","","11586","1400579775"
"Kafr Rākib","Kafr Rakib","32.4519","35.6944","Jordan","JO","JOR","Irbid","","7192","1400198421"
