"Tokyo","Tokyo","35.6839","139.7744","Japan","JP","JPN","Tōkyō","primary","39105000","1392685764"
"Ōsaka","Osaka","34.7520","135.4582","Japan","JP","JPN","Ōsaka","admin","15490000","1392419823"
"Nagoya","Nagoya","35.1167","136.9333","Japan","JP","JPN","Aichi","admin","9522000","1392407472"
"Yokohama","Yokohama","35.4333","139.6333","Japan","JP","JPN","Kanagawa","admin","3757630","1392118339"
"Fukuoka","Fukuoka","33.6000","130.4167","Japan","JP","JPN","Fukuoka","admin","2280000","1392576294"
"Sapporo","Sapporo","43.0621","141.3544","Japan","JP","JPN","Hokkaidō","admin","1961690","1392000195"
"Kawasaki","Kawasaki","35.5167","139.7000","Japan","JP","JPN","Kanagawa","","1539522","1392003356"
"Kōbe","Kobe","34.6913","135.1830","Japan","JP","JPN","Hyōgo","admin","1513193","1392978082"
"Kyōto","Kyoto","35.0117","135.7683","Japan","JP","JPN","Kyōto","admin","1464890","1392622735"
"Saitama","Saitama","35.8617","139.6453","Japan","JP","JPN","Saitama","admin","1320571","1392017719"
"Hiroshima","Hiroshima","34.4000","132.4500","Japan","JP","JPN","Hiroshima","admin","1198021","1392373695"
"Sendai","Sendai","38.2683","140.8694","Japan","JP","JPN","Miyagi","admin","1058070","1392457903"
"Chiba","Chiba","35.6073","140.1064","Japan","JP","JPN","Chiba","admin","981738","1392107144"
"Setagaya","Setagaya","35.6464","139.6533","Japan","JP","JPN","Tōkyō","","940509","1392792380"
"Kitakyūshū","Kitakyushu","33.8833","130.8833","Japan","JP","JPN","Fukuoka","","935084","1392003140"
"Sakai","Sakai","34.5667","135.4833","Japan","JP","JPN","Ōsaka","","823523","1392003291"
"Niigata","Niigata","37.9161","139.0364","Japan","JP","JPN","Niigata","admin","790646","1392913753"
"Hamamatsu","Hamamatsu","34.7167","137.7333","Japan","JP","JPN","Shizuoka","","788211","1392174500"
"Nerima","Nerima","35.7500","139.6167","Japan","JP","JPN","Tōkyō","","742463","1392093402"
"Ōta-ku","Ota-ku","35.5614","139.7161","Japan","JP","JPN","Tōkyō","","737187","1392003511"
