"Bishkek","Bishkek","42.8667","74.5667","Kyrgyzstan","KG","KGZ","Bishkek","primary","1053900","1417191971"
"Osh","Osh","40.5333","72.7833","Kyrgyzstan","KG","KGZ","Osh","admin","281900","1417797596"
"Jalal-Abad","Jalal-Abad","40.9375","72.9861","Kyrgyzstan","KG","KGZ","Jalal-Abad","admin","89004","1417653652"
"Karakol","Karakol","42.5000","78.3833","Kyrgyzstan","KG","KGZ","Ysyk-Köl","admin","63377","1417269527"
"Talas","Talas","42.5184","72.2429","Kyrgyzstan","KG","KGZ","Talas","admin","35172","1417698287"
"Naryn","Naryn","41.4333","76.0000","Kyrgyzstan","KG","KGZ","Naryn","admin","34822","1417466970"
"Batken","Batken","40.0625","70.8194","Kyrgyzstan","KG","KGZ","Batken","admin","12134","1417022726"
"Kara-Balta","Kara-Balta","42.8306","73.8857","Kyrgyzstan","KG","KGZ","Chüy","minor","74133","1417201811"
"Tokmok","Tokmok","42.8390","75.2910","Kyrgyzstan","KG","KGZ","Chüy","","53231","1417875875"
"Özgön","Ozgon","40.7667","73.3000","Kyrgyzstan","KG","KGZ","Osh","","49410","1417087485"
"Balykchy","Balykchy","42.4603","76.1872","Kyrgyzstan","KG","KGZ","Ysyk-Köl","","42380","1417967917"
"Kyzyl-Kyya","Kyzyl-Kyya","40.2667","72.0500","Kyrgyzstan","KG","KGZ","Batken","","31727","1417902733"
"Toktogul","Toktogul","41.8826","72.9372","Kyrgyzstan","KG","KGZ","Jalal-Abad","minor","26115","1417791878"
"Kant","Kant","42.8833","74.8500","Kyrgyzstan","KG","KGZ","Chüy","minor","21589","1417254104"
"Kara-Suu","Kara-Suu","40.7000","72.8833","Kyrgyzstan","KG","KGZ","Osh","minor","20862","1417321617"
"Belovodskoe","Belovodskoe","42.8333","74.1167","Kyrgyzstan","KG","KGZ","Chüy","minor","21275","1417996342"
"Jangy-Nookat","Jangy-Nookat","40.2500","72.5500","Kyrgyzstan","KG","KGZ","Osh","","21049","1417565816"
"Lebedinovka","Lebedinovka","42.8800","74.6800","Kyrgyzstan","KG","KGZ","Chüy","minor","20709","1417855889"
"Mayluu-Suu","Mayluu-Suu","41.2457","72.4480","Kyrgyzstan","KG","KGZ","Jalal-Abad","","20200","1417039122"
"Tash-Kömür","Tash-Komur","41.3461","72.2171","Kyrgyzstan","KG","KGZ","Jalal-Abad","","19310","1417242124"
"Kara-Köl","Kara-Kol","41.6333","72.6667","Kyrgyzstan","KG","KGZ","Jalal-Abad","","18843","1417090900"
"Novopavlovka","Novopavlovka","42.8700","74.4800","Kyrgyzstan","KG","KGZ","Chüy","","18332","1417769741"
"Isfana","Isfana","39.8389","69.5275","Kyrgyzstan","KG","KGZ","Batken","minor","18244","1417781894"
"At-Bashy","At-Bashy","41.1725","75.7968","Kyrgyzstan","KG","KGZ","Naryn","minor","15601","1417188010"
"Kochkor-Ata","Kochkor-Ata","41.0358","72.4814","Kyrgyzstan","KG","KGZ","Jalal-Abad","","14814","1417211654"
"Kök-Janggak","Kok-Janggak","41.0307","73.2058","Kyrgyzstan","KG","KGZ","Jalal-Abad","","15000","1417546126"
"Kerben","Kerben","41.5000","71.7500","Kyrgyzstan","KG","KGZ","Jalal-Abad","minor","14141","1417321910"
"Sülüktü","Suluktu","39.9365","69.5678","Kyrgyzstan","KG","KGZ","Batken","","13378","1417013156"
"Alamedin","Alamedin","42.8900","74.6300","Kyrgyzstan","KG","KGZ","Chüy","","11773","1417392357"
"Cholpon-Ata","Cholpon-Ata","42.6500","77.0833","Kyrgyzstan","KG","KGZ","Ysyk-Köl","minor","11520","1417433118"
"Aydarken","Aydarken","39.9333","71.3333","Kyrgyzstan","KG","KGZ","Batken","","10331","1417865074"
"Shopokov","Shopokov","42.8167","74.2333","Kyrgyzstan","KG","KGZ","Chüy","","8749","1417801567"
"Bosteri","Bosteri","42.6500","77.1800","Kyrgyzstan","KG","KGZ","Ysyk-Köl","","7415","1417826039"
"Chaek","Chaek","41.9300","74.5100","Kyrgyzstan","KG","KGZ","Naryn","minor","7009","1417657325"
"Klyuchevka","Klyuchevka","42.5686","71.8172","Kyrgyzstan","KG","KGZ","Talas","","5596","1417146143"
"Tash-Döbö","Tash-Dobo","42.7237","74.5721","Kyrgyzstan","KG","KGZ","Chüy","","5397","1417667875"
"Grigor’evka","Grigor'evka","42.7200","77.4700","Kyrgyzstan","KG","KGZ","Ysyk-Köl","","5133","1417848224"
"Darkan","Darkan","42.3097","77.8856","Kyrgyzstan","KG","KGZ","Ysyk-Köl","","6495","1417575965"
