"Phnom Penh","Phnom Penh","11.5696","104.9210","Cambodia","KH","KHM","Phnom Penh","primary","2129371","1116260534"
"Siem Reap","Siem Reap","13.3622","103.8597","Cambodia","KH","KHM","Siem Reap","admin","147866","1116263015"
"Battambang","Battambang","13.1028","103.1983","Cambodia","KH","KHM","Battambang","admin","130000","1116106237"
"Kampong Cham","Kampong Cham","12.0000","105.4500","Cambodia","KH","KHM","Kampong Cham","admin","118242","1116115849"
"Prey Veng","Prey Veng","11.4840","105.3240","Cambodia","KH","KHM","Prey Veng","admin","74000","1116378797"
"Kratie","Kratie","12.4881","106.0188","Cambodia","KH","KHM","Kratie","admin","60000","1116453792"
"Pursat","Pursat","12.5337","103.9167","Cambodia","KH","KHM","Pursat","admin","52476","1116566865"
"Takeo","Takeo","10.9833","104.7833","Cambodia","KH","KHM","Takeo","admin","52000","1116674518"
"Sisophon","Sisophon","13.5859","102.9737","Cambodia","KH","KHM","Banteay Meanchey","admin","50302","1116276411"
"Kampong Chhnang","Kampong Chhnang","12.2500","104.6667","Cambodia","KH","KHM","Kampong Chhnang","admin","41700","1116735270"
"Kampot","Kampot","10.6000","104.1667","Cambodia","KH","KHM","Kampot","admin","39186","1116966757"
"Krong Kep","Krong Kep","10.4833","104.3167","Cambodia","KH","KHM","Kep","admin","35990","1116392544"
"Kampong Thom","Kampong Thom","12.7000","104.9000","Cambodia","KH","KHM","Kampong Thom","admin","31871","1116471297"
"Kampong Speu","Kampong Speu","11.4520","104.5190","Cambodia","KH","KHM","Kampong Speu","admin","33231","1116446492"
"Koh Kong","Koh Kong","11.6167","102.9833","Cambodia","KH","KHM","Koh Kong","admin","33591","1116924669"
"Stung Treng","Stung Treng","13.5259","105.9683","Cambodia","KH","KHM","Stung Treng","admin","29665","1116286673"
"Svay Rieng","Svay Rieng","11.0833","105.8000","Cambodia","KH","KHM","Svay Rieng","admin","23956","1116432743"
"Tbeng Meanchey","Tbeng Meanchey","13.8167","104.9667","Cambodia","KH","KHM","Preah Vihear","admin","24380","1116207762"
"Sen Monorom","Sen Monorom","12.4558","107.1881","Cambodia","KH","KHM","Mondolkiri","admin","7500","1116978997"
"Banlung","Banlung","13.7394","106.9873","Cambodia","KH","KHM","Ratanakiri","admin","","1116605438"
"Ta Khmau","Ta Khmau","11.4833","104.9500","Cambodia","KH","KHM","Kandal","admin","","1116571704"
"Sihanoukville","Sihanoukville","10.6333","103.5000","Cambodia","KH","KHM","Sihanoukville","admin","","1116098692"
"Suong","Suong","11.9118","105.6582","Cambodia","KH","KHM","Tbong Khmum","admin","","1116319433"
"Samraong","Samraong","14.1817","103.5176","Cambodia","KH","KHM","Oddar Meanchey","admin","","1116989175"
"Pailin","Pailin","12.8489","102.6093","Cambodia","KH","KHM","Pailin","admin","","1116050327"
"Kampong Thum","Kampong Thum","12.7120","104.8890","Cambodia","KH","KHM","Kampong Thom","","19951","1116000326"
"Lumphat","Lumphat","13.5070","106.9810","Cambodia","KH","KHM","Ratanakiri","minor","19205","1116149070"
