"Pyongyang","Pyongyang","39.0300","125.7300","North Korea","KP","PRK","P’yŏngyang","primary","2863000","1408738594"
"Nampo","Nampo","38.7689","125.4505","North Korea","KP","PRK","P’yŏngnam","","1127000","1408358410"
"Hamhŭng","Hamhung","39.9167","127.5333","North Korea","KP","PRK","Hamnam","admin","768551","1408482040"
"Ch’ŏngjin","Ch'ongjin","41.8000","129.7831","North Korea","KP","PRK","Hambuk","minor","667929","1408498177"
"Sunch’ŏn","Sunch'on","39.4167","125.9333","North Korea","KP","PRK","P’yŏngnam","","437000","1408510801"
"Wŏnsan","Wonsan","39.1475","127.4461","North Korea","KP","PRK","Kangwŏn","admin","363127","1408692125"
"Sinŭiju","Sinuiju","40.1000","124.4000","North Korea","KP","PRK","P’yŏngbuk","admin","352000","1408740449"
"Tanch’ŏn","Tanch'on","40.4580","128.9110","North Korea","KP","PRK","Hamnam","","345876","1408940912"
"Kaesŏng","Kaesong","37.9640","126.5644","North Korea","KP","PRK","Hwangnam","minor","338155","1408725697"
"Kaech’ŏn","Kaech'on","39.6986","125.9061","North Korea","KP","PRK","P’yŏngnam","","319554","1408781295"
"Sariwŏn","Sariwon","38.5039","125.7589","North Korea","KP","PRK","Hwangbuk","admin","307764","1408018673"
"Kanggye","Kanggye","40.9667","126.6000","North Korea","KP","PRK","Chagang","admin","251971","1408728939"
"Haeju","Haeju","38.0333","125.7167","North Korea","KP","PRK","Hwangnam","admin","241599","1408348983"
"Anju","Anju","39.6167","125.6667","North Korea","KP","PRK","P’yŏngnam","","240117","1408625970"
"P’yŏng-dong","P'yong-dong","39.2500","125.8500","North Korea","KP","PRK","P’yŏngyang","","236583","1408184982"
"Rajin","Rajin","42.3444","130.3844","North Korea","KP","PRK","Nasŏn","admin","196954","1408449973"
"Kusŏng","Kusong","39.9667","125.1667","North Korea","KP","PRK","P’yŏngbuk","","196515","1408227006"
"Hyesan","Hyesan","41.4000","128.1833","North Korea","KP","PRK","Yanggang","minor","192680","1408642146"
"Chŏngju","Chongju","39.6500","125.3333","North Korea","KP","PRK","P’yŏngbuk","","189742","1408650871"
"Chaedŏk","Chaedok","40.6723","129.2027","North Korea","KP","PRK","Hambuk","","187270","1408001232"
"Hŭich’ŏn","Huich'on","40.1711","126.2758","North Korea","KP","PRK","Chagang","","168180","1408445793"
"Hoeryŏng","Hoeryong","42.4333","129.7500","North Korea","KP","PRK","Hambuk","minor","153532","1408656165"
"Sinpo","Sinpo","40.0833","128.2500","North Korea","KP","PRK","Hamnam","","152759","1408269466"
"Songnim","Songnim","38.7333","125.6333","North Korea","KP","PRK","Hwangbuk","","128831","1408214405"
"Munch’ŏn","Munch'on","39.2590","127.3560","North Korea","KP","PRK","Kangwŏn","","122934","1408134393"
"Manpo","Manpo","41.1570","126.2900","North Korea","KP","PRK","Chagang","","116760","1408334845"
"Ŏgujin","Ogujin","38.8028","125.5925","North Korea","KP","PRK","P’yŏngyang","admin","","1408000543"
"Samga-ri","Samga-ri","38.8780","125.5871","North Korea","KP","PRK","P’yŏngyang","admin","","1408680975"
"Namsan","Namsan","38.3442","125.5972","North Korea","KP","PRK","Hwangnam","admin","","1408685966"
"Namsan","Namsan","42.2304","129.2304","North Korea","KP","PRK","Hambuk","minor","80146","1408000884"
"Ongjang","Ongjang","37.9371","125.3571","North Korea","KP","PRK","Hwangnam","","69195","1408848418"
"P’yŏngsan","P'yongsan","38.3367","126.3866","North Korea","KP","PRK","Hwangbuk","","66260","1408433221"
"Changyŏn","Changyon","38.2517","125.1021","North Korea","KP","PRK","Hwangnam","","48984","1408492703"
"Sil-li","Sil-li","39.4880","125.4640","North Korea","KP","PRK","P’yŏngnam","","19463","1408623890"
"Ch’osan-ŭp","Ch'osan-up","40.8255","125.8008","North Korea","KP","PRK","Chagang","","7786","1408838898"
"P’ungsan","P'ungsan","40.8175","128.1553","North Korea","KP","PRK","Yanggang","","3839","1408098792"
"Taedong","Taedong","40.6171","125.4501","North Korea","KP","PRK","P’yŏngbuk","","1884","1408763732"
