"Seoul","Seoul","37.5600","126.9900","South Korea","KR","KOR","Seoul","primary","22394000","1410836482"
"Busan","Busan","35.1000","129.0403","South Korea","KR","KOR","Busan","admin","3453198","1410601465"
"Incheon","Incheon","37.4639","126.6486","South Korea","KR","KOR","Incheon","admin","2913024","1410160313"
"Daegu","Daegu","35.8667","128.6000","South Korea","KR","KOR","Daegu","admin","2461002","1410095252"
"Gwangju","Gwangju","35.1667","126.9167","South Korea","KR","KOR","Gwangju","admin","1490092","1410000087"
"Daejeon","Daejeon","36.3510","127.3850","South Korea","KR","KOR","Daejeon","admin","1475221","1410993875"
"Suwon","Suwon","37.2858","127.0100","South Korea","KR","KOR","Gyeonggi","admin","1234300","1410679777"
"Ulsan","Ulsan","35.5500","129.3167","South Korea","KR","KOR","Ulsan","admin","1166033","1410134602"
"Goyang","Goyang","37.6564","126.8350","South Korea","KR","KOR","Gyeonggi","minor","1061929","1410511255"
"Changwon","Changwon","35.2281","128.6811","South Korea","KR","KOR","Gyeongnam","admin","1046054","1410592618"
"Sŏngnam","Songnam","37.4386","127.1378","South Korea","KR","KOR","Gyeonggi","","948757","1410622472"
"Bucheon","Bucheon","37.4989","126.7831","South Korea","KR","KOR","Gyeonggi","minor","867678","1410428222"
"Cheongju","Cheongju","36.6372","127.4897","South Korea","KR","KOR","Chungbuk","admin","833276","1410964361"
"Yanggok","Yanggok","37.6367","127.2142","South Korea","KR","KOR","Gyeonggi","","713321","1410188674"
"Ansan","Ansan","37.3236","126.8219","South Korea","KR","KOR","Gyeonggi","","652800","1410585171"
"Hwasu-dong","Hwasu-dong","37.2000","126.7667","South Korea","KR","KOR","Gyeonggi","","655350","1410037247"
"Ch'ŏnan","Ch'onan","36.8064","127.1522","South Korea","KR","KOR","Chungnam","","651661","1410020455"
"Jeonju","Jeonju","35.8219","127.1489","South Korea","KR","KOR","Jeonbuk","admin","631532","1410494847"
"Anyang","Anyang","37.3925","126.9269","South Korea","KR","KOR","Gyeonggi","","573296","1410581095"
"Pohang","Pohang","36.0322","129.3650","South Korea","KR","KOR","Gyeongbuk","minor","520305","1410983252"
"Pyeongtaek","Pyeongtaek","36.9947","127.0889","South Korea","KR","KOR","Gyeonggi","","457873","1410641095"
"Jeju","Jeju","33.5097","126.5219","South Korea","KR","KOR","Jeju","admin","435413","1410364424"
"Masan","Masan","35.1833","128.5500","South Korea","KR","KOR","Gyeongnam","","429612","1410394650"
"Sihŭng","Sihung","37.3803","126.8030","South Korea","KR","KOR","Gyeonggi","","425184","1410313432"
"Uijeongbu","Uijeongbu","37.7486","127.0389","South Korea","KR","KOR","Gyeonggi","","421579","1410888678"
"Paju","Paju","37.8328","126.8169","South Korea","KR","KOR","Gyeonggi","minor","415345","1410365324"
"Gimpo","Gimpo","37.6236","126.7142","South Korea","KR","KOR","Gyeonggi","minor","352683","1410797548"
"Yeosu","Yeosu","34.7368","127.7458","South Korea","KR","KOR","Jeonnam","minor","341994","1410002025"
"Chinju","Chinju","35.1928","128.0847","South Korea","KR","KOR","Gyeongnam","","337230","1410560599"
"Wŏnju","Wonju","37.3417","127.9208","South Korea","KR","KOR","Gangwon","","330854","1410782685"
"Gwangmyeongni","Gwangmyeongni","37.4772","126.8664","South Korea","KR","KOR","Gyeonggi","","318021","1410103113"
"Asan","Asan","36.3500","126.9167","South Korea","KR","KOR","Chungnam","","319929","1410904940"
"Iksan","Iksan","35.9439","126.9544","South Korea","KR","KOR","Jeonbuk","","302310","1410134391"
"Yangsan","Yangsan","35.3386","129.0386","South Korea","KR","KOR","Gyeongnam","minor","297532","1410795549"
"Kunp'o","Kunp'o","37.3675","126.9469","South Korea","KR","KOR","Gyeonggi","","285721","1410672540"
"Chuncheon","Chuncheon","37.8747","127.7342","South Korea","KR","KOR","Gangwon","admin","281596","1410231130"
"Gyeongsan","Gyeongsan","35.8167","128.7333","South Korea","KR","KOR","Gyeongbuk","","278500","1410545168"
"Kunsan","Kunsan","35.9786","126.7114","South Korea","KR","KOR","Jeonbuk","","275155","1410913202"
"Yeosu","Yeosu","34.7607","127.6622","South Korea","KR","KOR","Jeonnam","minor","273761","1410698161"
"Suncheon","Suncheon","34.9506","127.4875","South Korea","KR","KOR","Jeonnam","minor","265390","1410109654"
"Kyŏngju","Kyongju","35.8500","129.2167","South Korea","KR","KOR","Gyeongbuk","","264091","1410173146"
"Mokpo","Mokpo","34.7936","126.3886","South Korea","KR","KOR","Jeonnam","minor","239524","1410279439"
"Osan","Osan","37.1450","127.0694","South Korea","KR","KOR","Gyeonggi","","213840","1410606985"
"Gangneung","Gangneung","37.7556","128.8961","South Korea","KR","KOR","Gangwon","minor","215677","1410450550"
"Chungju","Chungju","36.9706","127.9322","South Korea","KR","KOR","Chungbuk","","211005","1410333057"
"Ich'ŏn","Ich'on","37.2792","127.4425","South Korea","KR","KOR","Gyeonggi","","209003","1410736435"
"Anseong","Anseong","37.0078","127.2797","South Korea","KR","KOR","Gyeonggi","","194765","1410960903"
"Guri","Guri","37.5947","127.1428","South Korea","KR","KOR","Gyeonggi","","180063","1410478813"
"Sŏsan","Sosan","36.7817","126.4522","South Korea","KR","KOR","Chungnam","","169221","1410171679"
"Pocheon","Pocheon","37.8944","127.1992","South Korea","KR","KOR","Gyeonggi","minor","163388","1410780187"
"Andong","Andong","36.5656","128.7250","South Korea","KR","KOR","Gyeongbuk","admin","162180","1410095935"
"Ŭiwang","Uiwang","37.3447","126.9683","South Korea","KR","KOR","Gyeonggi","","154879","1410211816"
"Hanam","Hanam","37.5392","127.2147","South Korea","KR","KOR","Gyeonggi","","154838","1410241338"
"Seogwipo","Seogwipo","33.2497","126.5600","South Korea","KR","KOR","Jeju","","153861","1410542763"
"Gwangyang","Gwangyang","34.9403","127.7017","South Korea","KR","KOR","Jeonnam","minor","151834","1410398748"
"Ch'ungmu","Ch'ungmu","34.8458","128.4236","South Korea","KR","KOR","Gyeongnam","","137208","1410257662"
"Chech'ŏn","Chech'on","37.1361","128.2119","South Korea","KR","KOR","Chungbuk","","136350","1410470747"
"Noksan","Noksan","36.2039","127.0847","South Korea","KR","KOR","Chungnam","","124246","1410179693"
"Sa-ch'on","Sa-ch'on","35.2347","128.3575","South Korea","KR","KOR","Gyeongnam","","113335","1410369367"
"Jeonghae","Jeonghae","35.5653","126.8561","South Korea","KR","KOR","Jeonbuk","","110194","1410005963"
"Yŏju","Yoju","37.2939","127.6383","South Korea","KR","KOR","Gyeonggi","","109937","1410007012"
"Yŏngju","Yongju","36.8747","128.5864","South Korea","KR","KOR","Gyeongbuk","","109266","1410990908"
"Miryang","Miryang","35.4933","128.7489","South Korea","KR","KOR","Gyeongnam","","103069","1410001039"
"Sangju","Sangju","36.4153","128.1606","South Korea","KR","KOR","Gyeongbuk","","102892","1410127055"
"Boryeong","Boryeong","36.3333","126.6167","South Korea","KR","KOR","Chungnam","minor","101852","1410204364"
"Sejong","Sejong","36.6092","127.2919","South Korea","KR","KOR","Sejong","admin","","1410002592"
"Hongseong","Hongseong","36.6009","126.6650","South Korea","KR","KOR","Chungnam","admin","","1410822139"
"Muan","Muan","34.9897","126.4714","South Korea","KR","KOR","Jeonnam","admin","","1410001061"
"Dongducheon","Dongducheon","37.9133","127.0633","South Korea","KR","KOR","Gyeonggi","","97424","1410519938"
"Naju","Naju","35.0283","126.7175","South Korea","KR","KOR","Jeonnam","minor","92582","1410651571"
"Sokcho","Sokcho","38.2083","128.5911","South Korea","KR","KOR","Gangwon","minor","79846","1410921315"
"Mun'gyŏng","Mun'gyong","36.5939","128.2014","South Korea","KR","KOR","Gyeongbuk","","71863","1410822576"
"Samch'ŏk","Samch'ok","37.4406","129.1708","South Korea","KR","KOR","Gangwon","","69509","1410438648"
"Gwacheon","Gwacheon","37.4289","126.9892","South Korea","KR","KOR","Gyeonggi","","64817","1410788896"
"Taebaek","Taebaek","37.1731","128.9861","South Korea","KR","KOR","Gangwon","","46715","1410565787"
"Ulchin","Ulchin","37.0013","129.3449","South Korea","KR","KOR","Gyeongbuk","","14426","1410704555"
"Eumseong","Eumseong","36.9353","127.6897","South Korea","KR","KOR","Chungbuk","","10077","1410812829"
