"Almaty","Almaty","43.2500","76.9000","Kazakhstan","KZ","KAZ","Almaty","admin","1916822","1398351701"
"Nur-Sultan","Nur-Sultan","51.1333","71.4333","Kazakhstan","KZ","KAZ","Astana","primary","1078362","1398516045"
"Shymkent","Shymkent","42.3000","69.6000","Kazakhstan","KZ","KAZ","Ongtüstik Qazaqstan","admin","1028673","1398791401"
"Qaraghandy","Qaraghandy","49.8000","73.1167","Kazakhstan","KZ","KAZ","Qaraghandy","admin","497777","1398274508"
"Aqtöbe","Aqtobe","50.2836","57.2297","Kazakhstan","KZ","KAZ","Aqtöbe","admin","387807","1398602716"
"Taraz","Taraz","42.8833","71.3667","Kazakhstan","KZ","KAZ","Zhambyl","admin","357795","1398626276"
"Pavlodar","Pavlodar","52.3156","76.9564","Kazakhstan","KZ","KAZ","Pavlodar","admin","353930","1398790087"
"Semey","Semey","50.4111","80.2275","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","350201","1398405657"
"Öskemen","Oskemen","49.9900","82.6149","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","admin","319067","1398371414"
"Atyraū","Atyrau","47.1167","51.8833","Kazakhstan","KZ","KAZ","Atyraū","admin","290700","1398169063"
"Oral","Oral","51.2225","51.3725","Kazakhstan","KZ","KAZ","Batys Qazaqstan","admin","271900","1398593972"
"Qostanay","Qostanay","53.2144","63.6246","Kazakhstan","KZ","KAZ","Qostanay","admin","217135","1398455461"
"Petropavl","Petropavl","54.8622","69.1408","Kazakhstan","KZ","KAZ","Soltüstik Qazaqstan","admin","216406","1398252858"
"Qyzylorda","Qyzylorda","44.8479","65.4999","Kazakhstan","KZ","KAZ","Qyzylorda","admin","200900","1398248334"
"Temirtaū","Temirtau","50.0549","72.9646","Kazakhstan","KZ","KAZ","Qaraghandy","","185082","1398081646"
"Aqtaū","Aqtau","43.6525","51.1575","Kazakhstan","KZ","KAZ","Mangghystaū","admin","183350","1398046759"
"Türkistan","Turkistan","43.3019","68.2692","Kazakhstan","KZ","KAZ","Ongtüstik Qazaqstan","admin","164746","1398398278"
"Ekibastuz","Ekibastuz","51.7298","75.3266","Kazakhstan","KZ","KAZ","Pavlodar","","159760","1398583266"
"Mangghystaū","Mangghystau","43.6905","51.1417","Kazakhstan","KZ","KAZ","Mangghystaū","","147443","1398790140"
"Kökshetaū","Kokshetau","53.2824","69.3969","Kazakhstan","KZ","KAZ","Aqmola","admin","139063","1398375387"
"Taldyqorghan","Taldyqorghan","45.0167","78.3667","Kazakhstan","KZ","KAZ","Almaty","admin","129960","1398112507"
"Rudnyy","Rudnyy","52.9527","63.1300","Kazakhstan","KZ","KAZ","Qostanay","","124000","1398701954"
"Koktobe","Koktobe","43.1803","76.9000","Kazakhstan","KZ","KAZ","Almaty","","7989","1398370030"
"Zhezqazghan","Zhezqazghan","47.7833","67.7000","Kazakhstan","KZ","KAZ","Qaraghandy","","86227","1398121545"
"Kentaū","Kentau","43.5169","68.5044","Kazakhstan","KZ","KAZ","Ongtüstik Qazaqstan","","81484","1398997742"
"Balqash","Balqash","46.8500","75.0000","Kazakhstan","KZ","KAZ","Qaraghandy","","78002","1398134106"
"Sarqan","Sarqan","45.4203","79.9149","Kazakhstan","KZ","KAZ","Almaty","","76919","1398159801"
"Aqsū","Aqsu","52.0333","76.9167","Kazakhstan","KZ","KAZ","Pavlodar","","69354","1398272761"
"Sätbayev","Satbayev","47.9000","67.5333","Kazakhstan","KZ","KAZ","Qaraghandy","","61883","1398506074"
"Kapchagay","Kapchagay","43.8833","77.0833","Kazakhstan","KZ","KAZ","Almaty","","60100","1398649394"
"Qaskeleng","Qaskeleng","43.1983","76.6311","Kazakhstan","KZ","KAZ","Almaty","","58418","1398296961"
"Ridder","Ridder","50.3442","83.5128","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","49695","1398556139"
"Zyryanovsk","Zyryanovsk","49.7453","84.2548","Kazakhstan","KZ","KAZ","Shyghys Qazaqstan","","49658","1398361284"
"Talghar","Talghar","43.3036","77.2408","Kazakhstan","KZ","KAZ","Almaty","","47301","1398444969"
"Shchūchīnsk","Shchuchinsk","52.9333","70.2000","Kazakhstan","KZ","KAZ","Aqmola","","45004","1398291807"
"Zharkent","Zharkent","44.1667","80.0067","Kazakhstan","KZ","KAZ","Almaty","","43430","1398507500"
"Shū","Shu","43.5953","73.7448","Kazakhstan","KZ","KAZ","Zhambyl","","42439","1398834769"
