"Vientiane","Vientiane","17.9667","102.6000","Laos","LA","LAO","Viangchan","primary","948487","1418732714"
"Pakxé","Pakxe","15.1167","105.7833","Laos","LA","LAO","Champasak","admin","119848","1418863956"
"Savannakhet","Savannakhet","16.5500","104.7500","Laos","LA","LAO","Savannakhét","admin","124000","1418179232"
"Thakhèk","Thakhek","17.4000","104.8000","Laos","LA","LAO","Khammouan","admin","70000","1418367677"
"Louangphabang","Louangphabang","19.8931","102.1381","Laos","LA","LAO","Louangphabang","admin","53792","1418530759"
"Xam Nua","Xam Nua","20.4133","104.0480","Laos","LA","LAO","Houaphan","admin","38992","1418975079"
"Phônsavan","Phonsavan","19.4500","103.2000","Laos","LA","LAO","Xiangkhouang","admin","37507","1418378289"
"Attapu","Attapu","14.8000","106.8333","Laos","LA","LAO","Attapu","admin","19200","1418894454"
"Ban Houayxay","Ban Houayxay","20.2833","100.4167","Laos","LA","LAO","Bokèo","admin","17687","1418944950"
"Xaignabouli","Xaignabouli","19.2575","101.7103","Laos","LA","LAO","Xaignabouli","admin","16200","1418760593"
"Phôngsali","Phongsali","21.6833","102.1000","Laos","LA","LAO","Phôngsali","admin","15083","1418524729"
"Salavan","Salavan","15.7167","106.4167","Laos","LA","LAO","Salavan","admin","5521","1418448631"
"Louang Namtha","Louang Namtha","20.9500","101.4167","Laos","LA","LAO","Louangnamtha","admin","3225","1418920136"
"Xai","Xai","20.7000","101.8167","Laos","LA","LAO","Oudômxai","admin","","1418805827"
"Xékong","Xekong","15.3503","106.7286","Laos","LA","LAO","Xékong","admin","","1418000082"
"Pakxan","Pakxan","18.3831","103.6669","Laos","LA","LAO","Bolikhamxai","admin","","1418088090"
"Anouvông","Anouvong","18.8989","103.0919","Laos","LA","LAO","Xaisômboun","admin","","1418294155"
"Phôn-Hông","Phon-Hong","18.4953","102.4153","Laos","LA","LAO","Viangchan","admin","","1418592644"
"Champasak","Champasak","14.8833","105.8667","Laos","LA","LAO","Champasak","","13400","1418902447"
