"Beirut","Beirut","33.8869","35.5131","Lebanon","LB","LBN","Beyrouth","primary","361366","1422847713"
"Tripoli","Tripoli","34.4333","35.8333","Lebanon","LB","LBN","Liban-Nord","admin","530000","1422886065"
"Sidon","Sidon","33.5606","35.3758","Lebanon","LB","LBN","Liban-Sud","admin","200000","1422897920"
"Tyre","Tyre","33.2667","35.2000","Lebanon","LB","LBN","Liban-Sud","minor","160000","1422316734"
"Zahlé","Zahle","33.8439","35.9072","Lebanon","LB","LBN","Béqaa","admin","100000","1422031285"
"Joünié","Jounie","33.9697","35.6156","Lebanon","LB","LBN","Mont-Liban","minor","102221","1422032780"
"Nabatîyé","Nabatiye","33.3833","35.4500","Lebanon","LB","LBN","Nabatîyé","admin","80000","1422269278"
"Baalbek","Baalbek","34.0061","36.2086","Lebanon","LB","LBN","Baalbek-Hermel","admin","24000","1422694451"
"Baabda","Baabda","33.8333","35.5333","Lebanon","LB","LBN","Mont-Liban","admin","9000","1422639397"
"Halba","Halba","34.5428","36.0797","Lebanon","LB","LBN","Aakkâr","admin","","1422962727"
"El Qâa","El Qaa","34.3436","36.4756","Lebanon","LB","LBN","Baalbek-Hermel","","12000","1422667021"
"Amioûn","Amioun","34.2994","35.8097","Lebanon","LB","LBN","Liban-Nord","minor","10000","1422143071"
