"Monrovia","Monrovia","6.3106","-10.8047","Liberia","LR","LBR","Montserrado","primary","1021762","1430477826"
"Gbarnga","Gbarnga","7.0104","-9.4900","Liberia","LR","LBR","Bong","admin","45835","1430269323"
"Kakata","Kakata","6.5300","-10.3517","Liberia","LR","LBR","Margibi","admin","33945","1430656307"
"Harper","Harper","4.3754","-7.7170","Liberia","LR","LBR","Maryland","admin","32661","1430540258"
"Voinjama","Voinjama","8.4167","-9.7500","Liberia","LR","LBR","Lofa","admin","26594","1430858471"
"Zwedru","Zwedru","6.0704","-8.1300","Liberia","LR","LBR","Grand Gedeh","admin","25678","1430130578"
"Robertsport","Robertsport","6.7533","-11.3686","Liberia","LR","LBR","Grand Cape Mount","admin","11969","1430885010"
"Sanniquellie","Sanniquellie","7.3710","-8.6850","Liberia","LR","LBR","Nimba","admin","11415","1430949102"
"Greenville","Greenville","5.0111","-9.0388","Liberia","LR","LBR","Sinoe","admin","10374","1430362799"
"Bensonville","Bensonville","6.4456","-10.6097","Liberia","LR","LBR","Montserrado","admin","4089","1430964557"
"Barclayville","Barclayville","4.8000","-8.1667","Liberia","LR","LBR","Grand Kru","admin","2733","1430129873"
"Cestos City","Cestos City","5.4697","-9.5817","Liberia","LR","LBR","River Cess","admin","2578","1430708587"
"Buchanan","Buchanan","5.8811","-10.0447","Liberia","LR","LBR","Grand Bassa","admin","","1430478203"
"Tubmanburg","Tubmanburg","6.8706","-10.8211","Liberia","LR","LBR","Bomi","admin","","1430503114"
"Fish Town","Fish Town","5.1974","-7.8758","Liberia","LR","LBR","River Gee","admin","","1430204172"
"Bopolu","Bopolu","7.0667","-10.4875","Liberia","LR","LBR","Gbarpolu","admin","","1430414456"
"Upper Buchanan","Upper Buchanan","5.9161","-10.0525","Liberia","LR","LBR","Grand Bassa","","48315","1430177860"
