"Maseru","Maseru","-29.3100","27.4800","Lesotho","LS","LSO","Maseru","primary","330790","1426977668"
"Teyateyaneng","Teyateyaneng","-29.1500","27.7333","Lesotho","LS","LSO","Berea","admin","75115","1426159118"
"Mafeteng","Mafeteng","-29.8167","27.2500","Lesotho","LS","LSO","Mafeteng","admin","57059","1426506047"
"Leribe","Leribe","-28.8734","28.0416","Lesotho","LS","LSO","Leribe","admin","47675","1426721246"
"Mohale's Hoek","Mohale's Hoek","-30.1590","27.4800","Lesotho","LS","LSO","Mohale's Hoek","admin","24992","1426343192"
"Quthing","Quthing","-30.4001","27.7002","Lesotho","LS","LSO","Quthing","admin","15000","1426618526"
"Butha-Buthe","Butha-Buthe","-28.7833","28.2333","Lesotho","LS","LSO","Butha-Buthe","admin","10000","1426574356"
"Mokhotlong","Mokhotlong","-29.2885","29.0656","Lesotho","LS","LSO","Mokhotlong","admin","8809","1426785819"
"Thaba-Tseka","Thaba-Tseka","-29.5220","28.6084","Lesotho","LS","LSO","Thaba-Tseka","admin","5423","1426611266"
"Qacha's Nek","Qacha's Nek","-30.1153","28.6894","Lesotho","LS","LSO","Qacha's Nek","admin","","1426361264"
"Maputsoe","Maputsoe","-28.8833","27.9000","Lesotho","LS","LSO","Leribe","","32117","1426999579"
