"Casablanca","Casablanca","33.5992","-7.6200","Morocco","MA","MAR","Casablanca-Settat","admin","4370000","1504175315"
"El Kelaa des Srarhna","El Kelaa des Srarhna","32.0500","-7.4000","Morocco","MA","MAR","Marrakech-Safi","","1450021","1504846488"
"Fès","Fes","34.0433","-5.0033","Morocco","MA","MAR","Fès-Meknès","admin","1112072","1504861997"
"Rabat","Rabat","34.0253","-6.8361","Morocco","MA","MAR","Rabat-Salé-Kénitra","primary","572717","1504023252"
"Tifariti","Tifariti","26.0928","-10.6089","Morocco","MA","MAR","Laâyoune-Sakia El Hamra","primary","","1504999990"
"Tangier","Tangier","35.7767","-5.8039","Morocco","MA","MAR","Tanger-Tétouan-Al Hoceïma","admin","947952","1504861504"
"Marrakech","Marrakech","31.6295","-7.9811","Morocco","MA","MAR","Marrakech-Safi","admin","928850","1504172585"
"Sale","Sale","34.0500","-6.8167","Morocco","MA","MAR","Rabat-Salé-Kénitra","","850403","1504989034"
"Meknès","Meknes","33.8833","-5.5500","Morocco","MA","MAR","Fès-Meknès","","520428","1504333193"
"Oujda-Angad","Oujda-Angad","34.6867","-1.9114","Morocco","MA","MAR","Oriental","admin","494252","1504891036"
"Kenitra","Kenitra","34.2500","-6.5833","Morocco","MA","MAR","Rabat-Salé-Kénitra","","431282","1504534876"
"Agadir","Agadir","30.4167","-9.5833","Morocco","MA","MAR","Souss-Massa","admin","421844","1504116858"
"Tétouan","Tetouan","35.5667","-5.3667","Morocco","MA","MAR","Tanger-Tétouan-Al Hoceïma","","380787","1504709141"
"Taourirt","Taourirt","34.4100","-2.8900","Morocco","MA","MAR","Oriental","","321876","1504648957"
"Temara","Temara","33.9234","-6.9076","Morocco","MA","MAR","Rabat-Salé-Kénitra","","313510","1504016606"
"Safi","Safi","32.2833","-9.2333","Morocco","MA","MAR","Marrakech-Safi","","308508","1504000717"
"Mohammedia","Mohammedia","33.6833","-7.3833","Morocco","MA","MAR","Casablanca-Settat","","208612","1504542634"
"El Jadid","El Jadid","33.2342","-8.5228","Morocco","MA","MAR","Casablanca-Settat","","194934","1504964063"
"Kouribga","Kouribga","32.8800","-6.9000","Morocco","MA","MAR","Béni Mellal-Khénifra","","196196","1504325928"
"Béni Mellal","Beni Mellal","32.3394","-6.3608","Morocco","MA","MAR","Béni Mellal-Khénifra","admin","192676","1504131639"
"Laâyoune","Laayoune","27.1500","-13.2000","Morocco","MA","MAR","Laâyoune-Sakia El Hamra","","188084","1504000319"
"Ait Melloul","Ait Melloul","30.3342","-9.4972","Morocco","MA","MAR","Souss-Massa","","171847","1504134516"
"Nador","Nador","35.1667","-2.9333","Morocco","MA","MAR","Oriental","","161726","1504811178"
"Taza","Taza","34.2144","-4.0088","Morocco","MA","MAR","Fès-Meknès","","148456","1504405154"
"Barrechid","Barrechid","33.2700","-7.5872","Morocco","MA","MAR","Casablanca-Settat","","136634","1504194885"
"Settat","Settat","33.0023","-7.6198","Morocco","MA","MAR","Casablanca-Settat","","142250","1504720478"
