"Rangoon","Rangoon","16.7950","96.1600","Myanmar","MM","MMR","Yangon","primary","5430000","1104616656"
"Mandalay","Mandalay","21.9831","96.0844","Myanmar","MM","MMR","Mandalay","admin","1225546","1104468217"
"Nay Pyi Taw","Nay Pyi Taw","19.7475","96.1150","Myanmar","MM","MMR","Nay Pyi Taw","primary","1160242","1104838105"
"Hpa-An","Hpa-An","16.8906","97.6333","Myanmar","MM","MMR","Kayin State","admin","421525","1104494124"
"Bago","Bago","17.3433","96.4981","Myanmar","MM","MMR","Bago","admin","284179","1104027443"
"Myeik","Myeik","12.4394","98.6003","Myanmar","MM","MMR","Taninthayi","","266720","1104715655"
"Myitkyina","Myitkyina","25.3867","97.3936","Myanmar","MM","MMR","Kachin State","admin","243031","1104327329"
"Pathein","Pathein","16.7667","94.7333","Myanmar","MM","MMR","Ayeyawady","admin","237089","1104832430"
"Monywa","Monywa","22.1086","95.1358","Myanmar","MM","MMR","Sagaing","","207489","1104777345"
"Sittwe","Sittwe","20.1444","92.8969","Myanmar","MM","MMR","Rakhine State","admin","181000","1104269305"
"Hinthada","Hinthada","17.6483","95.4679","Myanmar","MM","MMR","Ayeyawady","","180728","1104524588"
"Letpandan","Letpandan","17.7866","95.7507","Myanmar","MM","MMR","Bago","","176571","1104882792"
"Myingyan","Myingyan","21.4618","95.3914","Myanmar","MM","MMR","Mandalay","","163812","1104162015"
"Taunggyi","Taunggyi","20.7833","96.9667","Myanmar","MM","MMR","Shan State","admin","160115","1104364374"
"Mudon","Mudon","16.2618","97.7215","Myanmar","MM","MMR","Mon State","","152300","1104174785"
"Dawei","Dawei","14.0367","98.1867","Myanmar","MM","MMR","Taninthayi","admin","139900","1104373474"
"Pyay","Pyay","18.8165","95.2114","Myanmar","MM","MMR","Bago","","135308","1104978348"
"Pakokku","Pakokku","21.3320","95.0866","Myanmar","MM","MMR","Magway","","126938","1104161315"
"Magway","Magway","20.1500","94.9500","Myanmar","MM","MMR","Magway","admin","125973","1104246517"
"Yenangyaung","Yenangyaung","20.4583","94.8732","Myanmar","MM","MMR","Magway","","110553","1104118838"
"Taungoo","Taungoo","18.9483","96.4179","Myanmar","MM","MMR","Bago","","106945","1104269989"
"Sagaing","Sagaing","21.8822","95.9786","Myanmar","MM","MMR","Sagaing","admin","69917","1104151403"
"Hakha","Hakha","22.6500","93.6167","Myanmar","MM","MMR","Chin State","admin","20000","1104739581"
"Loikaw","Loikaw","19.6742","97.2092","Myanmar","MM","MMR","Kayah State","admin","11000","1104542517"
"Mawlamyine","Mawlamyine","16.4847","97.6258","Myanmar","MM","MMR","Mon State","admin","2","1104530702"
"Chauk","Chauk","20.9085","94.8230","Myanmar","MM","MMR","Magway","","90870","1104898616"
"Shwebo","Shwebo","22.5783","95.6929","Myanmar","MM","MMR","Sagaing","","88914","1104118052"
"Pyapon","Pyapon","16.2853","95.6786","Myanmar","MM","MMR","Ayeyawady","","76741","1104170402"
"Kengtung","Kengtung","21.2914","99.6039","Myanmar","MM","MMR","Shan State","","75865","1104395820"
"Allanmyo","Allanmyo","19.3783","95.2279","Myanmar","MM","MMR","Magway","","57897","1104582279"
"Thongwa","Thongwa","16.7547","96.5193","Myanmar","MM","MMR","Yangon","","52496","1104339441"
"Ye","Ye","15.2533","97.8679","Myanmar","MM","MMR","Mon State","","50798","1104513802"
"Wakema","Wakema","16.6133","95.1829","Myanmar","MM","MMR","Ayeyawady","","48405","1104266529"
"Namtu","Namtu","23.0837","97.4000","Myanmar","MM","MMR","Shan State","","48591","1104043404"
"Pyu","Pyu","18.4779","96.4379","Myanmar","MM","MMR","Bago","","40386","1104518645"
"Nyaungdon","Nyaungdon","17.0433","95.6429","Myanmar","MM","MMR","Ayeyawady","","36172","1104318813"
"Amarapura","Amarapura","21.8530","96.0954","Myanmar","MM","MMR","Mandalay","","23200","1104567036"
"Haka","Haka","22.9833","94.0167","Myanmar","MM","MMR","Sagaing","","20000","1104921389"
"Kale","Kale","16.0961","97.8989","Myanmar","MM","MMR","Kayin State","","5355","1104139363"
"Kyaukpyu","Kyaukpyu","19.4333","93.5500","Myanmar","MM","MMR","Rakhine State","","4261","1104321745"
"Labutta","Labutta","16.1619","94.7014","Myanmar","MM","MMR","Ayeyawady","","1667","1104103403"
