"Windhoek","Windhoek","-22.5700","17.0836","Namibia","NA","NAM","Khomas","primary","322500","1516802003"
"Rundu","Rundu","-17.9167","19.7667","Namibia","NA","NAM","Kavango East","admin","63431","1516885937"
"Oshakati","Oshakati","-17.8000","15.6833","Namibia","NA","NAM","Oshana","admin","39679","1516866759"
"Swakopmund","Swakopmund","-22.6667","14.5333","Namibia","NA","NAM","Erongo","admin","34300","1516214290"
"Otjiwarongo","Otjiwarongo","-20.4642","16.6528","Namibia","NA","NAM","Otjozondjupa","admin","28249","1516719545"
"Katima Mulilo","Katima Mulilo","-17.5000","24.2667","Namibia","NA","NAM","Zambezi","admin","28699","1516068788"
"Rehoboth","Rehoboth","-23.3167","17.0833","Namibia","NA","NAM","Hardap","","25219","1516928100"
"Gobabis","Gobabis","-22.4500","18.9667","Namibia","NA","NAM","Omaheke","admin","16321","1516128715"
"Keetmanshoop","Keetmanshoop","-26.5833","18.1333","Namibia","NA","NAM","//Karas","admin","16800","1516607376"
"Mariental","Mariental","-24.6333","17.9667","Namibia","NA","NAM","Hardap","admin","12478","1516582394"
"Opuwo","Opuwo","-18.0500","13.8333","Namibia","NA","NAM","Kunene","admin","4857","1516958242"
"Outapi","Outapi","-17.5000","14.9833","Namibia","NA","NAM","Omusati","admin","4606","1516820698"
"Eenhana","Eenhana","-17.4797","16.3333","Namibia","NA","NAM","Ohangwena","admin","","1516685856"
"Omuthiya","Omuthiya","-18.3592","16.5795","Namibia","NA","NAM","Oshikoto","admin","","1516000004"
"Nkurenkuru","Nkurenkuru","-17.6167","18.6000","Namibia","NA","NAM","Kavango West","admin","","1516271813"
"Walvisbaai","Walvisbaai","-22.9494","14.5069","Namibia","NA","NAM","Erongo","","85000","1516267898"
"Grootfontein","Grootfontein","-19.5658","18.1036","Namibia","NA","NAM","Otjozondjupa","","24099","1516286878"
"Okahandja","Okahandja","-21.9796","16.9100","Namibia","NA","NAM","Otjozondjupa","","20879","1516123978"
"Tsumeb","Tsumeb","-19.2500","17.7167","Namibia","NA","NAM","Oshikoto","","14959","1516619412"
"Lüderitz","Luderitz","-26.6478","15.1578","Namibia","NA","NAM","//Karas","","12537","1516141896"
"Oshikango","Oshikango","-17.3995","15.8800","Namibia","NA","NAM","Ohangwena","","12423","1516819374"
"Ongwediva","Ongwediva","-17.7833","15.7667","Namibia","NA","NAM","Oshana","","10964","1516962966"
"Omaruru","Omaruru","-21.4183","15.9539","Namibia","NA","NAM","Erongo","","11547","1516735467"
"Bethanie","Bethanie","-26.4995","17.1500","Namibia","NA","NAM","//Karas","","10363","1516358571"
"Usakos","Usakos","-22.0000","15.6000","Namibia","NA","NAM","Erongo","","9147","1516430978"
"Outjo","Outjo","-20.1069","16.1503","Namibia","NA","NAM","Kunene","","6557","1516062528"
"Karasburg","Karasburg","-28.0172","18.7478","Namibia","NA","NAM","//Karas","","6054","1516005938"
"Kamanjab","Kamanjab","-19.6286","14.8454","Namibia","NA","NAM","Kunene","","6012","1516467402"
"Maltahöhe","Maltahohe","-24.8500","16.9833","Namibia","NA","NAM","Hardap","","6000","1516195038"
"Oranjemund","Oranjemund","-28.5500","16.4333","Namibia","NA","NAM","//Karas","","3900","1516991599"
"Otavi","Otavi","-19.6381","17.3403","Namibia","NA","NAM","Otjozondjupa","","4562","1516874756"
"Karibib","Karibib","-21.9390","15.8530","Namibia","NA","NAM","Erongo","","6898","1516472073"
