"Niamey","Niamey","13.5086","2.1111","Niger","NE","NER","Niamey","primary","1026848","1562932886"
"Maradi","Maradi","13.5000","7.1000","Niger","NE","NER","Maradi","admin","267249","1562200314"
"Zinder","Zinder","13.8000","8.9833","Niger","NE","NER","Zinder","admin","235605","1562758258"
"Agadez","Agadez","16.9959","7.9828","Niger","NE","NER","Agadez","admin","117770","1562789067"
"Tahoua","Tahoua","14.9000","5.2599","Niger","NE","NER","Tahoua","admin","115956","1562214493"
"Dosso","Dosso","13.0500","3.2000","Niger","NE","NER","Dosso","admin","58671","1562574611"
"Diffa","Diffa","13.3171","12.6089","Niger","NE","NER","Diffa","admin","30988","1562050464"
"Tillabéri","Tillaberi","14.2120","1.4531","Niger","NE","NER","Tillabéri","admin","19262","1562317955"
"Arlit","Arlit","18.7333","7.3833","Niger","NE","NER","Agadez","minor","78651","1562695011"
"Birnin Konni","Birnin Konni","13.7904","5.2599","Niger","NE","NER","Tahoua","minor","65252","1562868655"
"Gaya","Gaya","11.8878","3.4467","Niger","NE","NER","Dosso","minor","45465","1562298335"
"Ayorou","Ayorou","14.7318","0.9195","Niger","NE","NER","Tillabéri","","26290","1562787330"
"Madaoua","Madaoua","14.0762","5.9586","Niger","NE","NER","Tahoua","minor","24804","1562237869"
"Nguigmi","Nguigmi","14.2532","13.1108","Niger","NE","NER","Diffa","minor","17897","1562214324"
"Guidan Roumdji","Guidan Roumdji","13.6575","6.6958","Niger","NE","NER","Maradi","minor","17525","1562532711"
"Baléyara","Baleyara","13.7841","2.9515","Niger","NE","NER","Tillabéri","","16063","1562876747"
"Gouré","Goure","13.9874","10.2700","Niger","NE","NER","Zinder","minor","14639","1562482102"
"Galmi","Galmi","13.9667","5.6744","Niger","NE","NER","Tahoua","","13888","1562080549"
"Kawara","Kawara","14.0706","5.6715","Niger","NE","NER","Tahoua","","9064","1562281421"
"Takiéta","Takieta","13.6806","8.5292","Niger","NE","NER","Zinder","","8554","1562878014"
"Dabnou","Dabnou","14.1571","5.3626","Niger","NE","NER","Tahoua","","7861","1562606757"
"Bani Bangou","Bani Bangou","15.0408","2.7050","Niger","NE","NER","Tillabéri","","6788","1562021955"
"Tyourout","Tyourout","14.1542","5.4391","Niger","NE","NER","Tahoua","","6470","1562601159"
"Kouli Kouara","Kouli Kouara","13.8718","1.4867","Niger","NE","NER","Tillabéri","","5413","1562522869"
"Tounfafi","Tounfafi","14.0464","5.9812","Niger","NE","NER","Tahoua","","9530","1562992849"
"Bandio","Bandio","13.8888","1.0896","Niger","NE","NER","Tillabéri","","9237","1562066091"
"Toulou","Toulou","14.1688","5.1990","Niger","NE","NER","Tahoua","","8785","1562294550"
"Gidan Idèr","Gidan Ider","14.0131","5.3185","Niger","NE","NER","Tahoua","","8582","1562080119"
"Baguéy","Baguey","14.8503","5.5636","Niger","NE","NER","Tahoua","","7640","1562175500"
"Birnin Kazoé","Birnin Kazoe","14.2171","9.9702","Niger","NE","NER","Zinder","","7500","1562502839"
"Yaama","Yaama","14.3601","5.4975","Niger","NE","NER","Tahoua","","7351","1562178904"
"Dafawa","Dafawa","14.1371","5.0637","Niger","NE","NER","Tahoua","","7002","1562244212"
"Taza","Taza","15.3608","5.2072","Niger","NE","NER","Tahoua","","7040","1562760447"
"Angoul Dénya","Angoul Denya","14.3433","5.7002","Niger","NE","NER","Tahoua","","6937","1562513127"
"Dosey","Dosey","13.8825","5.1928","Niger","NE","NER","Tahoua","","6968","1562081769"
"Toubout","Toubout","14.3387","5.5951","Niger","NE","NER","Tahoua","","6785","1562066032"
"Laba","Laba","14.6187","5.9375","Niger","NE","NER","Tahoua","","6712","1562465424"
"Moussadèye","Moussadeye","13.3918","3.1952","Niger","NE","NER","Dosso","","6742","1562920042"
"Bakin Birji I","Bakin Birji I","14.2565","8.7943","Niger","NE","NER","Zinder","","6702","1562093806"
"Sokolé","Sokole","14.8347","5.7036","Niger","NE","NER","Tahoua","","6506","1562266563"
"Nasarawa","Nasarawa","14.0821","5.8153","Niger","NE","NER","Tahoua","","6426","1562120461"
"Madéta II","Madeta II","14.2713","6.0140","Niger","NE","NER","Tahoua","","6253","1562758931"
"Aouloumal","Aouloumal","14.2283","6.0301","Niger","NE","NER","Tahoua","","6178","1562299163"
"Bélbéji","Belbeji","14.6811","7.9949","Niger","NE","NER","Zinder","","6310","1562000042"
"Hamdallay","Hamdallay","13.5572","2.4064","Niger","NE","NER","Tillabéri","","6153","1562545290"
"Asoudié","Asoudie","14.3841","5.7345","Niger","NE","NER","Tahoua","","6007","1562931416"
"Sabon Birni","Sabon Birni","11.8847","3.5931","Niger","NE","NER","Dosso","","5970","1562857129"
"Dindi","Dindi","14.4179","5.6135","Niger","NE","NER","Tahoua","","5926","1562818914"
"Dan Kori","Dan Kori","13.9109","7.9719","Niger","NE","NER","Maradi","","5902","1562642870"
"Masalata","Masalata","13.7795","5.2077","Niger","NE","NER","Tahoua","","5801","1562688656"
"Garadoumé","Garadoume","14.3671","5.8841","Niger","NE","NER","Tahoua","","5749","1562600192"
"Kélénté","Kelente","14.3234","5.8087","Niger","NE","NER","Tahoua","","5748","1562050488"
"Toudouni","Toudouni","14.7398","5.4578","Niger","NE","NER","Tahoua","","5848","1562955966"
"Djibalé","Djibale","14.5007","5.9857","Niger","NE","NER","Tahoua","","5717","1562315628"
