"Managua","Managua","12.1500","-86.2667","Nicaragua","NI","NIC","Managua","primary","1028808","1558296252"
"Boaco","Boaco","12.4667","-85.6667","Nicaragua","NI","NIC","Boaco","admin","317000","1558023610"
"León","Leon","12.4333","-86.8833","Nicaragua","NI","NIC","León","admin","174051","1558654236"
"Masaya","Masaya","11.9667","-86.1000","Nicaragua","NI","NIC","Masaya","admin","139582","1558765329"
"Jinotega","Jinotega","13.0833","-86.0000","Nicaragua","NI","NIC","Jinotega","admin","136342","1558697688"
"Matagalpa","Matagalpa","12.9167","-85.9167","Nicaragua","NI","NIC","Matagalpa","admin","133416","1558728443"
"Estelí","Esteli","13.0833","-86.3500","Nicaragua","NI","NIC","Estelí","admin","129924","1558801854"
"Chinandega","Chinandega","12.6242","-87.1297","Nicaragua","NI","NIC","Chinandega","admin","121793","1558172276"
"Tipitapa","Tipitapa","12.2000","-86.1000","Nicaragua","NI","NIC","Managua","minor","108457","1558753915"
"Granada","Granada","11.9300","-85.9561","Nicaragua","NI","NIC","Granada","admin","105171","1558101678"
"Juigalpa","Juigalpa","12.0833","-85.4000","Nicaragua","NI","NIC","Chontales","admin","60583","1558986603"
"Jinotepe","Jinotepe","11.8500","-86.2000","Nicaragua","NI","NIC","Carazo","admin","52175","1558246417"
"Bluefields","Bluefields","12.0140","-83.7645","Nicaragua","NI","NIC","Caribe Sur","admin","45547","1558301368"
"Ocotal","Ocotal","13.6333","-86.4833","Nicaragua","NI","NIC","Nueva Segovia","admin","34580","1558006000"
"Bilwi","Bilwi","14.0500","-83.3833","Nicaragua","NI","NIC","Caribe Norte","admin","33600","1558656214"
"Rivas","Rivas","11.4333","-85.8333","Nicaragua","NI","NIC","Rivas","admin","26046","1558146594"
"Somoto","Somoto","13.4833","-86.5833","Nicaragua","NI","NIC","Madriz","admin","20300","1558605178"
"San Carlos","San Carlos","11.1894","-84.7759","Nicaragua","NI","NIC","Río San Juan","admin","13451","1558170572"
"Wiwilí","Wiwili","13.6167","-85.8167","Nicaragua","NI","NIC","Nueva Segovia","minor","74887","1558766877"
"Siuna","Siuna","13.7333","-84.7667","Nicaragua","NI","NIC","Caribe Norte","minor","73730","1558482501"
"San José de Bocay","San Jose de Bocay","13.5420","-85.5394","Nicaragua","NI","NIC","Jinotega","minor","63922","1558566609"
"El Cuá","El Cua","13.3679","-85.6728","Nicaragua","NI","NIC","Jinotega","minor","59307","1558463653"
"Diriamba","Diriamba","11.8500","-86.2333","Nicaragua","NI","NIC","Carazo","minor","57512","1558411169"
"El Rama","El Rama","12.2333","-84.3043","Nicaragua","NI","NIC","Caribe Sur","minor","54337","1558512996"
"Chichigalpa","Chichigalpa","12.5667","-87.0333","Nicaragua","NI","NIC","Chinandega","minor","46185","1558921284"
"Waslala","Waslala","13.2333","-85.3833","Nicaragua","NI","NIC","Caribe Norte","","43676","1558730387"
"Ciudad Darío","Ciudad Dario","12.7333","-86.1167","Nicaragua","NI","NIC","Matagalpa","minor","41014","1558651455"
"El Viejo","El Viejo","12.6667","-87.1667","Nicaragua","NI","NIC","Chinandega","minor","39178","1558770292"
"Nandaime","Nandaime","11.7500","-86.0500","Nicaragua","NI","NIC","Granada","minor","37413","1558998589"
"San Sebastián de Yalí","San Sebastian de Yali","13.3000","-86.1833","Nicaragua","NI","NIC","Jinotega","minor","35549","1558797659"
"La Trinidad","La Trinidad","12.5578","-86.1835","Nicaragua","NI","NIC","Managua","","33840","1558209065"
"Condega","Condega","13.3650","-86.3985","Nicaragua","NI","NIC","Estelí","minor","30000","1558543389"
"San Marcos","San Marcos","11.9167","-86.2000","Nicaragua","NI","NIC","Carazo","minor","24000","1558544498"
