"Muscat","Muscat","23.6139","58.5922","Oman","OM","OMN","Masqaţ","primary","1421409","1512035506"
"As Sīb","As Sib","23.6802","58.1825","Oman","OM","OMN","Masqaţ","","237816","1512461161"
"Maţraḩ","Matrah","23.6167","58.5667","Oman","OM","OMN","Masqaţ","","214901","1512325823"
"Şalālah","Salalah","17.0197","54.0897","Oman","OM","OMN","Z̧ufār","admin","178469","1512995148"
"Aş Şuwayḩirah as Sāḩil","As Suwayhirah as Sahil","24.3620","56.7344","Oman","OM","OMN","Shamāl al Bāţinah","","151349","1512145575"
"‘Ibrī","`Ibri","23.2254","56.5170","Oman","OM","OMN","Az̧ Z̧āhirah","admin","101640","1512077267"
"Nizwá","Nizwa","22.9264","57.5314","Oman","OM","OMN","Ad Dākhilīyah","admin","72076","1512180300"
"Khaşab","Khasab","26.1833","56.2500","Oman","OM","OMN","Musandam","admin","17777","1512236141"
"Al Buraymī","Al Buraymi","24.2558","55.8025","Oman","OM","OMN","Al Buraymī","admin","","1512959921"
"Şuḩār","Suhar","24.3420","56.7299","Oman","OM","OMN","Shamāl al Bāţinah","admin","","1512602960"
"Ar Rustāq","Ar Rustaq","23.3908","57.4244","Oman","OM","OMN","Janūb al Bāţinah","admin","","1512376854"
"Şūr","Sur","22.5667","59.5289","Oman","OM","OMN","Janūb ash Sharqīyah","admin","","1512350600"
"Ibrā’","Ibra'","22.6906","58.5334","Oman","OM","OMN","Shamāl ash Sharqīyah","admin","","1512341564"
"Haymā’","Hayma'","19.9333","56.3167","Oman","OM","OMN","Al Wusţá","admin","","1512927824"
"Al Madrah Samā’il","Al Madrah Sama'il","23.3032","57.9782","Oman","OM","OMN","Ad Dākhilīyah","","47718","1512000205"
"Mirbāţ","Mirbat","16.9924","54.6918","Oman","OM","OMN","Z̧ufār","","1120","1512455360"
