"Panama City","Panama City","9.0000","-79.5000","Panama","PA","PAN","Panamá","primary","880691","1591672475"
"San Miguelito","San Miguelito","9.0330","-79.5000","Panama","PA","PAN","Panamá","minor","315019","1591394184"
"Colón","Colon","9.3650","-79.8750","Panama","PA","PAN","Colón","admin","204000","1591599922"
"David","David","8.4333","-82.4333","Panama","PA","PAN","Chiriquí","admin","144858","1591487342"
"La Chorrera","La Chorrera","8.8792","-79.7822","Panama","PA","PAN","Panamá Oeste","admin","68896","1591982720"
"Chitré","Chitre","7.9667","-80.4333","Panama","PA","PAN","Herrera","admin","46191","1591257375"
"Santiago","Santiago","8.1004","-80.9833","Panama","PA","PAN","Veraguas","admin","45955","1591231138"
"Penonomé","Penonome","8.5100","-80.3600","Panama","PA","PAN","Coclé","admin","28766","1591602960"
"Bocas del Toro","Bocas del Toro","9.3403","-82.2420","Panama","PA","PAN","Bocas del Toro","admin","12996","1591037947"
"Las Tablas","Las Tablas","7.7604","-80.2800","Panama","PA","PAN","Los Santos","admin","11358","1591472114"
"La Palma","La Palma","8.3982","-78.1402","Panama","PA","PAN","Darién","admin","1845","1591177082"
"Buabidi","Buabidi","8.4746","-81.6983","Panama","PA","PAN","Ngöbe-Buglé","admin","","1591495919"
"Gaigirgordub","Gaigirgordub","9.5583","-78.9483","Panama","PA","PAN","Kuna Yala","admin","10","1591425685"
"Sieyik","Sieyik","9.3832","-82.6521","Panama","PA","PAN","Bocas del Toro","admin","","1591986999"
"Unión Chocó","Union Choco","8.0778","-77.5583","Panama","PA","PAN","Emberá-Wounaan","admin","","1591671914"
"Balboa Heights","Balboa Heights","8.9500","-79.5667","Panama","PA","PAN","Panamá","","62882","1591234164"
"Pacora","Pacora","9.0800","-79.2800","Panama","PA","PAN","Panamá","minor","52494","1591023850"
"Puerto Armuelles","Puerto Armuelles","8.2777","-82.8621","Panama","PA","PAN","Chiriquí","minor","19763","1591562054"
"Guararé","Guarare","7.7667","-80.2833","Panama","PA","PAN","Los Santos","minor","9255","1591892939"
"Guabito","Guabito","9.4949","-82.6117","Panama","PA","PAN","Bocas del Toro","minor","8387","1591317249"
"Almirante","Almirante","9.3000","-82.4000","Panama","PA","PAN","Bocas del Toro","minor","8114","1591293829"
"Jaqué","Jaque","7.5190","-78.1660","Panama","PA","PAN","Darién","minor","1357","1591579329"
