"Port Moresby","Port Moresby","-9.4789","147.1494","Papua New Guinea","PG","PNG","National Capital","primary","317374","1598685395"
"Lae","Lae","-6.7303","147.0008","Papua New Guinea","PG","PNG","Morobe","admin","100677","1598466091"
"Madang","Madang","-5.2248","145.7853","Papua New Guinea","PG","PNG","Madang","admin","62023","1598116558"
"Mount Hagen","Mount Hagen","-5.8667","144.2167","Papua New Guinea","PG","PNG","Western Highlands","admin","29765","1598400611"
"Popondetta","Popondetta","-8.7656","148.2347","Papua New Guinea","PG","PNG","Northern","admin","28198","1598887925"
"Mendi","Mendi","-6.1478","143.6572","Papua New Guinea","PG","PNG","Southern Highlands","admin","26252","1598467297"
"Wewak","Wewak","-3.5500","143.6333","Papua New Guinea","PG","PNG","East Sepik","admin","25143","1598405100"
"Goroka","Goroka","-6.0833","145.3833","Papua New Guinea","PG","PNG","Eastern Highlands","admin","21507","1598928169"
"Kavieng","Kavieng","-2.5667","150.8000","Papua New Guinea","PG","PNG","New Ireland","admin","19849","1598946326"
"Kimbe","Kimbe","-5.5500","150.1430","Papua New Guinea","PG","PNG","West New Britain","admin","18847","1598372456"
"Daru","Daru","-9.0833","143.2000","Papua New Guinea","PG","PNG","Western","admin","12879","1598923764"
"Alotau","Alotau","-10.3167","150.4333","Papua New Guinea","PG","PNG","Milne Bay","admin","11624","1598284215"
"Vanimo","Vanimo","-2.6817","141.3014","Papua New Guinea","PG","PNG","West Sepik","admin","11204","1598892363"
"Kundiawa","Kundiawa","-6.0230","144.9600","Papua New Guinea","PG","PNG","Chimbu","admin","9383","1598730976"
"Lorengau","Lorengau","-2.0208","147.2667","Papua New Guinea","PG","PNG","Manus","admin","5806","1598571197"
"Kerema","Kerema","-7.9270","145.8380","Papua New Guinea","PG","PNG","Gulf","admin","5646","1598925932"
"Wabag","Wabag","-5.4833","143.7000","Papua New Guinea","PG","PNG","Enga","admin","3958","1598428400"
"Kokopo","Kokopo","-4.3500","152.2736","Papua New Guinea","PG","PNG","East New Britain","admin","","1598823962"
"Kurumul","Kurumul","-5.8550","144.6311","Papua New Guinea","PG","PNG","Jiwaka","admin","","1598000045"
"Tari","Tari","-5.8489","142.9506","Papua New Guinea","PG","PNG","Hela","admin","","1598669271"
"Buka","Buka","-5.4219","154.6728","Papua New Guinea","PG","PNG","Bougainville","admin","","1598000066"
"Arawa","Arawa","-6.2280","155.5660","Papua New Guinea","PG","PNG","Bougainville","","40266","1598413091"
"Kiunga","Kiunga","-6.1167","141.3000","Papua New Guinea","PG","PNG","Western","","8265","1598534040"
"Rabaul","Rabaul","-4.1981","152.1681","Papua New Guinea","PG","PNG","East New Britain","","7024","1598973225"
"Kieta","Kieta","-6.2058","155.6227","Papua New Guinea","PG","PNG","Bougainville","","6958","1598490894"
"Sohano","Sohano","-5.4297","154.6711","Papua New Guinea","PG","PNG","Bougainville","","2338","1598474458"
"Hoskins","Hoskins","-5.4746","150.4100","Papua New Guinea","PG","PNG","West New Britain","","871","1598684520"
"Amau","Amau","-10.0426","148.5650","Papua New Guinea","PG","PNG","Central","","230","1598610032"
