"Manila","Manila","14.6000","120.9833","Philippines","PH","PHL","Manila","primary","23971000","1608618140"
"Quezon City","Quezon City","14.6333","121.0333","Philippines","PH","PHL","Quezon","admin","2960048","1608974097"
"Davao","Davao","7.0667","125.6000","Philippines","PH","PHL","Davao","admin","1776949","1608906877"
"Caloocan City","Caloocan City","14.6500","120.9667","Philippines","PH","PHL","Caloocan","admin","1661584","1608897690"
"Zamboanga City","Zamboanga City","6.9167","122.0833","Philippines","PH","PHL","Zamboanga","admin","977234","1608189351"
"Cebu City","Cebu City","10.2930","123.9020","Philippines","PH","PHL","Cebu","admin","964169","1608136151"
"Taguig City","Taguig City","14.5167","121.0500","Philippines","PH","PHL","Taguig","admin","886722","1608766695"
"Antipolo","Antipolo","14.5842","121.1763","Philippines","PH","PHL","Rizal","admin","887399","1608824345"
"Pasig City","Pasig City","14.5750","121.0833","Philippines","PH","PHL","Pasig","admin","803159","1608278212"
"Valenzuela","Valenzuela","14.7000","120.9833","Philippines","PH","PHL","Valenzuela","admin","714978","1608492120"
"Cagayan de Oro","Cagayan de Oro","8.4833","124.6500","Philippines","PH","PHL","Cagayan de Oro","admin","728402","1608831546"
"City of Parañaque","City of Paranaque","14.4667","121.0167","Philippines","PH","PHL","Parañaque","admin","689992","1608379532"
"Dasmariñas","Dasmarinas","14.3294","120.9367","Philippines","PH","PHL","Cavite","","703141","1608418544"
"General Santos","General Santos","6.1167","125.1667","Philippines","PH","PHL","General Santos","admin","697315","1608171585"
"Bacoor","Bacoor","14.4624","120.9645","Philippines","PH","PHL","Cavite","","664625","1608869358"
"San Jose del Monte","San Jose del Monte","14.8139","121.0453","Philippines","PH","PHL","Bulacan","","651813","1608850554"
"Makati City","Makati City","14.5500","121.0333","Philippines","PH","PHL","Makati","admin","629616","1608725647"
"Las Piñas City","Las Pinas City","14.4500","120.9833","Philippines","PH","PHL","Las Piñas","","606293","1608544537"
"Bacolod","Bacolod","10.6765","122.9509","Philippines","PH","PHL","Bacolod","admin","600783","1608244137"
"Muntinlupa City","Muntinlupa City","14.3833","121.0500","Philippines","PH","PHL","Muntinlupa","admin","543445","1608473406"
"City of Calamba","City of Calamba","14.2167","121.1667","Philippines","PH","PHL","Laguna","","539671","1608985581"
"Lapu-Lapu City","Lapu-Lapu City","10.3127","123.9488","Philippines","PH","PHL","Lapu-Lapu","admin","497604","1608430676"
"Imus","Imus","14.4297","120.9367","Philippines","PH","PHL","Cavite","","496794","1608802508"
"Mandaluyong City","Mandaluyong City","14.5833","121.0333","Philippines","PH","PHL","Mandaluyong","admin","425758","1608166320"
"Angeles City","Angeles City","15.1472","120.5847","Philippines","PH","PHL","Angeles","admin","462928","1608036027"
"Pasay City","Pasay City","14.5500","121.0000","Philippines","PH","PHL","Pasay","admin","440656","1608448280"
"Marikina City","Marikina City","14.6500","121.1000","Philippines","PH","PHL","Marikina","admin","456059","1608000077"
"Iloilo","Iloilo","10.7167","122.5667","Philippines","PH","PHL","Iloilo","admin","457626","1608875987"
"General Trias","General Trias","14.3833","120.8833","Philippines","PH","PHL","Cavite","","450583","1608826995"
"Rodriguez","Rodriguez","14.7167","121.1167","Philippines","PH","PHL","Rizal","","443954","1608543530"
"Santa Rosa","Santa Rosa","14.3167","121.1167","Philippines","PH","PHL","Laguna","","414812","1608571683"
"Biñan","Binan","14.3333","121.0833","Philippines","PH","PHL","Laguna","","407437","1608039268"
"Taytay","Taytay","14.5692","121.1325","Philippines","PH","PHL","Rizal","","386451","1608530771"
"Malabon","Malabon","14.6625","120.9567","Philippines","PH","PHL","Malabon","admin","380522","1608045841"
