"Karachi","Karachi","24.8600","67.0100","Pakistan","PK","PAK","Sindh","admin","15292000","1586129469"
"Lahore","Lahore","31.5497","74.3436","Pakistan","PK","PAK","Punjab","admin","11148000","1586801463"
"Faisalabad","Faisalabad","31.4180","73.0790","Pakistan","PK","PAK","Punjab","minor","3203846","1586323916"
"Rawalpindi","Rawalpindi","33.6007","73.0679","Pakistan","PK","PAK","Punjab","minor","2098231","1586344001"
"Gujranwala","Gujranwala","32.1500","74.1833","Pakistan","PK","PAK","Punjab","minor","2027001","1586400472"
"Peshawar","Peshawar","34.0000","71.5000","Pakistan","PK","PAK","Khyber Pakhtunkhwa","admin","1970042","1586851102"
"Multan","Multan","30.1978","71.4711","Pakistan","PK","PAK","Punjab","minor","1871843","1586256291"
"Saidu Sharif","Saidu Sharif","34.7500","72.3572","Pakistan","PK","PAK","Khyber Pakhtunkhwa","minor","1860310","1586619596"
"Hyderabad City","Hyderabad City","25.3792","68.3683","Pakistan","PK","PAK","Sindh","minor","1732693","1586185019"
"Islamabad","Islamabad","33.6989","73.0369","Pakistan","PK","PAK","Islāmābād","primary","1014825","1586306717"
"Quetta","Quetta","30.1920","67.0070","Pakistan","PK","PAK","Balochistān","admin","1001205","1586556108"
"Bahawalpur","Bahawalpur","29.3956","71.6722","Pakistan","PK","PAK","Punjab","minor","762111","1586038700"
"Sargodha","Sargodha","32.0836","72.6711","Pakistan","PK","PAK","Punjab","minor","659862","1586696588"
"Sialkot City","Sialkot City","32.5000","74.5333","Pakistan","PK","PAK","Punjab","minor","655852","1586141444"
"Sukkur","Sukkur","27.6995","68.8673","Pakistan","PK","PAK","Sindh","minor","499900","1586383591"
"Larkana","Larkana","27.5600","68.2264","Pakistan","PK","PAK","Sindh","minor","490508","1586678302"
"Chiniot","Chiniot","31.7167","72.9833","Pakistan","PK","PAK","Punjab","minor","477781","1586413435"
"Shekhupura","Shekhupura","31.7083","74.0000","Pakistan","PK","PAK","Punjab","minor","473129","1586291726"
"Jhang City","Jhang City","31.2681","72.3181","Pakistan","PK","PAK","Punjab","minor","414131","1586288677"
"Dera Ghazi Khan","Dera Ghazi Khan","30.0500","70.6333","Pakistan","PK","PAK","Punjab","minor","399064","1586002238"
"Gujrat","Gujrat","32.5736","74.0789","Pakistan","PK","PAK","Punjab","minor","390533","1586006990"
"Rahimyar Khan","Rahimyar Khan","28.4202","70.2952","Pakistan","PK","PAK","Punjab","","353203","1586136399"
"Kasur","Kasur","31.1167","74.4500","Pakistan","PK","PAK","Punjab","minor","314617","1586858135"
"Mardan","Mardan","34.1958","72.0447","Pakistan","PK","PAK","Khyber Pakhtunkhwa","minor","300424","1586001546"
"Nawabshah","Nawabshah","26.2442","68.4100","Pakistan","PK","PAK","Sindh","minor","263102","1586294005"
"Sahiwal","Sahiwal","30.6706","73.1064","Pakistan","PK","PAK","Punjab","minor","247706","1586672083"
"Mirpur Khas","Mirpur Khas","25.5269","69.0111","Pakistan","PK","PAK","Sindh","minor","236961","1586156251"
"Okara","Okara","30.8100","73.4597","Pakistan","PK","PAK","Punjab","minor","232386","1586880900"
"Mandi Burewala","Mandi Burewala","30.1500","72.6833","Pakistan","PK","PAK","Punjab","","203454","1586997587"
"Jacobabad","Jacobabad","28.2769","68.4514","Pakistan","PK","PAK","Sindh","minor","200815","1586964444"
"Saddiqabad","Saddiqabad","28.3006","70.1302","Pakistan","PK","PAK","Punjab","","189876","1586378758"
"Kohat","Kohat","33.5869","71.4414","Pakistan","PK","PAK","Khyber Pakhtunkhwa","minor","170800","1586349992"
"Muridke","Muridke","31.8020","74.2550","Pakistan","PK","PAK","Punjab","","163268","1586205456"
"Muzaffargarh","Muzaffargarh","30.0703","71.1933","Pakistan","PK","PAK","Punjab","minor","163268","1586492401"
"Khanpur","Khanpur","28.6453","70.6567","Pakistan","PK","PAK","Punjab","","160308","1586169401"
"Gojra","Gojra","31.1487","72.6866","Pakistan","PK","PAK","Punjab","","157863","1586904918"
"Mandi Bahauddin","Mandi Bahauddin","32.5861","73.4917","Pakistan","PK","PAK","Punjab","minor","157352","1586202018"
"Abbottabad","Abbottabad","34.1500","73.2167","Pakistan","PK","PAK","Khyber Pakhtunkhwa","minor","148587","1586788758"
"Turbat","Turbat","26.0031","63.0544","Pakistan","PK","PAK","Balochistān","minor","147791","1586802806"
"Dadu","Dadu","26.7319","67.7750","Pakistan","PK","PAK","Sindh","minor","146179","1586791198"
"Khairpur Mir’s","Khairpur Mir's","27.5333","68.7667","Pakistan","PK","PAK","Sindh","minor","144949","1586259149"
"Bahawalnagar","Bahawalnagar","29.9944","73.2536","Pakistan","PK","PAK","Punjab","minor","141935","1586152082"
"Khuzdar","Khuzdar","27.8000","66.6167","Pakistan","PK","PAK","Balochistān","","141395","1586530458"
"Pakpattan","Pakpattan","30.3500","73.4000","Pakistan","PK","PAK","Punjab","minor","139525","1586409848"
"Zafarwal","Zafarwal","32.3463","74.8999","Pakistan","PK","PAK","Punjab","","134275","1586796643"
"Tando Allahyar","Tando Allahyar","25.4667","68.7167","Pakistan","PK","PAK","Sindh","minor","133487","1586001015"
"Jaranwala","Jaranwala","31.3342","73.4194","Pakistan","PK","PAK","Punjab","","127973","1586829520"
"Ahmadpur East","Ahmadpur East","29.1453","71.2617","Pakistan","PK","PAK","Punjab","","128112","1586824484"
"Vihari","Vihari","30.0419","72.3528","Pakistan","PK","PAK","Punjab","minor","128034","1586888846"
"New Mirpur","New Mirpur","33.1333","73.7500","Pakistan","PK","PAK","Azad Kashmir","minor","124352","1586007078"
"Kamalia","Kamalia","30.7258","72.6447","Pakistan","PK","PAK","Punjab","","121401","1586927428"
"Kot Addu","Kot Addu","30.4700","70.9644","Pakistan","PK","PAK","Punjab","","120479","1586130042"
"Nowshera","Nowshera","34.0153","71.9747","Pakistan","PK","PAK","Khyber Pakhtunkhwa","minor","118594","1586290729"
"Swabi","Swabi","34.1167","72.4667","Pakistan","PK","PAK","Khyber Pakhtunkhwa","minor","115018","1586628764"
"Khushab","Khushab","32.2917","72.3500","Pakistan","PK","PAK","Punjab","minor","110868","1586738716"
"Dera Ismail Khan","Dera Ismail Khan","31.8167","70.9167","Pakistan","PK","PAK","Khyber Pakhtunkhwa","minor","109686","1586008360"
"Chaman","Chaman","30.9210","66.4597","Pakistan","PK","PAK","Balochistān","","107660","1586640695"
"Charsadda","Charsadda","34.1453","71.7308","Pakistan","PK","PAK","Khyber Pakhtunkhwa","minor","105414","1586928614"
"Kandhkot","Kandhkot","28.4000","69.3000","Pakistan","PK","PAK","Sindh","","105011","1586311788"
"Chishtian","Chishtian","29.7958","72.8578","Pakistan","PK","PAK","Punjab","","101659","1586451544"
"Hasilpur","Hasilpur","29.6967","72.5542","Pakistan","PK","PAK","Punjab","","99171","1586677874"
"Attock Khurd","Attock Khurd","33.7667","72.3667","Pakistan","PK","PAK","Punjab","","97374","1586388059"
"Kambar","Kambar","27.5868","68.0010","Pakistan","PK","PAK","Sindh","","97691","1586424773"
"Arifwala","Arifwala","30.2917","73.0667","Pakistan","PK","PAK","Punjab","","95655","1586262431"
"Muzaffarabad","Muzaffarabad","34.3700","73.4711","Pakistan","PK","PAK","Azad Kashmir","","96000","1586389158"
"Mianwali","Mianwali","32.5853","71.5436","Pakistan","PK","PAK","Punjab","minor","95007","1586006907"
"Jalalpur Jattan","Jalalpur Jattan","32.7667","74.2167","Pakistan","PK","PAK","Punjab","","90130","1586822268"
"Bhakkar","Bhakkar","31.6333","71.0667","Pakistan","PK","PAK","Punjab","minor","88472","1586655125"
"Zhob","Zhob","31.3417","69.4486","Pakistan","PK","PAK","Balochistān","minor","88356","1586969046"
"Dipalpur","Dipalpur","30.6708","73.6533","Pakistan","PK","PAK","Punjab","","87176","1586506057"
"Kharian","Kharian","32.8110","73.8650","Pakistan","PK","PAK","Punjab","","85765","1586004203"
"Mian Channun","Mian Channun","30.4397","72.3544","Pakistan","PK","PAK","Punjab","","82586","1586864091"
