"Asunción","Asuncion","-25.3000","-57.6333","Paraguay","PY","PRY","Asunción","primary","524190","1600057911"
"Ciudad del Este","Ciudad del Este","-25.5167","-54.6167","Paraguay","PY","PRY","Alto Paraná","admin","320782","1600265252"
"San Lorenzo","San Lorenzo","-25.3431","-57.5094","Paraguay","PY","PRY","Central","","287977","1600667303"
"Pedro Juan Caballero","Pedro Juan Caballero","-22.5667","-55.7167","Paraguay","PY","PRY","Amambay","admin","115583","1600089732"
"Coronel Oviedo","Coronel Oviedo","-25.4500","-56.4400","Paraguay","PY","PRY","Caaguazú","admin","88101","1600075989"
"San Antonio","San Antonio","-25.3797","-57.6097","Paraguay","PY","PRY","Central","","69976","1600088413"
"Encarnación","Encarnacion","-27.3333","-55.8667","Paraguay","PY","PRY","Itapúa","admin","69868","1600377819"
"Areguá","Aregua","-25.3000","-57.4169","Paraguay","PY","PRY","Central","admin","67487","1600141362"
"Concepción","Concepcion","-23.4025","-57.4414","Paraguay","PY","PRY","Concepción","admin","45068","1600557615"
"Villarrica","Villarrica","-25.7500","-56.4333","Paraguay","PY","PRY","Guairá","admin","41157","1600446518"
"Salto del Guairá","Salto del Guaira","-24.0200","-54.3400","Paraguay","PY","PRY","Canindeyú","admin","37600","1600283545"
"San Pedro de Ycuamandiyú","San Pedro de Ycuamandiyu","-24.1000","-57.0833","Paraguay","PY","PRY","San Pedro","admin","35021","1600189153"
"Pilar","Pilar","-26.8569","-58.3039","Paraguay","PY","PRY","Ñeembucú","admin","32810","1600377954"
"Caacupé","Caacupe","-25.3870","-57.1400","Paraguay","PY","PRY","Cordillera","admin","21696","1600095784"
"Paraguarí","Paraguari","-25.6200","-57.1600","Paraguay","PY","PRY","Paraguarí","admin","18881","1600581132"
"Filadelfia","Filadelfia","-22.3333","-60.0167","Paraguay","PY","PRY","Boquerón","admin","18210","1600948743"
"Villa Hayes","Villa Hayes","-25.0900","-57.5300","Paraguay","PY","PRY","Presidente Hayes","admin","15643","1600405064"
"San Juan Bautista","San Juan Bautista","-26.6800","-57.1500","Paraguay","PY","PRY","Misiones","admin","7882","1600185723"
"Caazapá","Caazapa","-26.2000","-56.3800","Paraguay","PY","PRY","Caazapá","admin","5504","1600103814"
"Fuerte Olimpo","Fuerte Olimpo","-21.0696","-57.9000","Paraguay","PY","PRY","Alto Paraguay","admin","2475","1600444658"
"Itá","Ita","-25.4833","-57.3500","Paraguay","PY","PRY","Central","","81084","1600969782"
"San Ignacio","San Ignacio","-26.8867","-57.0283","Paraguay","PY","PRY","Misiones","","50468","1600346775"
"Ypané","Ypane","-25.4500","-57.5300","Paraguay","PY","PRY","Central","","34943","1600647389"
"Yaguarón","Yaguaron","-25.5621","-57.2840","Paraguay","PY","PRY","Paraguarí","","32000","1600386044"
"Ypacaraí","Ypacarai","-25.4100","-57.2800","Paraguay","PY","PRY","Central","","30150","1600844536"
"Tobatí","Tobati","-25.2600","-57.0814","Paraguay","PY","PRY","Cordillera","","23295","1600471923"
"Estancia Pozo Colorado","Estancia Pozo Colorado","-23.4136","-58.9144","Paraguay","PY","PRY","Presidente Hayes","","17727","1600995173"
"Bella Vista","Bella Vista","-22.1296","-56.5200","Paraguay","PY","PRY","Amambay","","16852","1600430147"
"Horqueta","Horqueta","-23.3396","-57.0500","Paraguay","PY","PRY","Concepción","","16171","1600363376"
"Coronel Bogado","Coronel Bogado","-27.1700","-56.2500","Paraguay","PY","PRY","Itapúa","","14297","1600512741"
"Belén","Belen","-23.4695","-57.2400","Paraguay","PY","PRY","Concepción","","11359","1600551990"
"Hohenau","Hohenau","-27.0796","-55.7500","Paraguay","PY","PRY","Itapúa","","5306","1600972500"
"Villa del Rosario","Villa del Rosario","-24.4196","-57.1000","Paraguay","PY","PRY","San Pedro","","5123","1600049206"
"Puerto Casado","Puerto Casado","-22.2896","-57.9400","Paraguay","PY","PRY","Alto Paraguay","","5000","1600731282"
"Arroyos y Esteros","Arroyos y Esteros","-25.0500","-57.0900","Paraguay","PY","PRY","Cordillera","","3055","1600827428"
"Abaí","Abai","-26.0296","-55.9400","Paraguay","PY","PRY","Caazapá","","3024","1600189926"
"Villa Ygatimí","Villa Ygatimi","-24.0796","-55.5000","Paraguay","PY","PRY","Canindeyú","","2809","1600339943"
"Mariscal José Félix Estigarribia","Mariscal Jose Felix Estigarribia","-22.0300","-60.6100","Paraguay","PY","PRY","Boquerón","","2500","1600781023"
"Pozo Colorado","Pozo Colorado","-23.4300","-58.8600","Paraguay","PY","PRY","Presidente Hayes","","2135","1600340660"
"Ñacunday","Nacunday","-26.0200","-54.7699","Paraguay","PY","PRY","Alto Paraná","","1250","1600303466"
"Capitán Pablo Lagerenza","Capitan Pablo Lagerenza","-19.9161","-60.7833","Paraguay","PY","PRY","Alto Paraguay","","1200","1600527430"
"General Eugenio A. Garay","General Eugenio A. Garay","-20.5200","-62.2100","Paraguay","PY","PRY","Boquerón","","972","1600467772"
"Ypejhú","Ypejhu","-23.9100","-55.4600","Paraguay","PY","PRY","Canindeyú","","600","1600827924"
"Puerto Pinasco","Puerto Pinasco","-22.6400","-57.7900","Paraguay","PY","PRY","Presidente Hayes","","500","1600670025"
