"Bucharest","Bucharest","44.4000","26.0833","Romania","RO","ROU","Bucureşti","primary","1883425","1642414442"
"Cluj-Napoca","Cluj-Napoca","46.7800","23.5594","Romania","RO","ROU","Cluj","admin","324576","1642503974"
"Timişoara","Timisoara","45.7597","21.2300","Romania","RO","ROU","Timiş","admin","319279","1642603121"
"Iaşi","Iasi","47.1622","27.5889","Romania","RO","ROU","Iaşi","admin","290422","1642367695"
"Braşov","Brasov","45.6500","25.6000","Romania","RO","ROU","Braşov","admin","290743","1642328429"
"Constanţa","Constanta","44.1733","28.6383","Romania","RO","ROU","Constanţa","admin","283872","1642851858"
"Craiova","Craiova","44.3333","23.8167","Romania","RO","ROU","Dolj","admin","269506","1642859458"
"Galaţi","Galati","45.4233","28.0425","Romania","RO","ROU","Galaţi","admin","249432","1642571620"
"Ploieşti","Ploiesti","44.9386","26.0225","Romania","RO","ROU","Prahova","admin","209945","1642169731"
"Oradea","Oradea","47.0722","21.9211","Romania","RO","ROU","Bihor","admin","196367","1642066626"
"Brăila","Braila","45.2692","27.9575","Romania","RO","ROU","Brăila","admin","180302","1642286806"
"Arad","Arad","46.1667","21.3167","Romania","RO","ROU","Arad","admin","159074","1642996909"
"Piteşti","Pitesti","44.8667","24.8833","Romania","RO","ROU","Argeş","admin","155383","1642781938"
"Sibiu","Sibiu","45.8000","24.1500","Romania","RO","ROU","Sibiu","admin","147245","1642393086"
"Bacău","Bacau","46.5833","26.9167","Romania","RO","ROU","Bacău","admin","144307","1642838304"
"Târgu-Mureş","Targu-Mures","46.5497","24.5597","Romania","RO","ROU","Mureş","admin","134290","1642875714"
"Baia Mare","Baia Mare","47.6597","23.5819","Romania","RO","ROU","Maramureş","admin","123738","1642459769"
"Buzău","Buzau","45.1517","26.8167","Romania","RO","ROU","Buzău","admin","115494","1642794918"
"Botoşani","Botosani","47.7486","26.6694","Romania","RO","ROU","Botoşani","admin","106847","1642183791"
"Satu Mare","Satu Mare","47.7900","22.8900","Romania","RO","ROU","Satu Mare","admin","102411","1642046798"
"Râmnicu Vâlcea","Ramnicu Valcea","45.1047","24.3756","Romania","RO","ROU","Vâlcea","admin","98776","1642348361"
"Drobeta-Turnu Severin","Drobeta-Turnu Severin","44.6361","22.6556","Romania","RO","ROU","Mehedinţi","admin","92617","1642729144"
"Suceava","Suceava","47.6514","26.2556","Romania","RO","ROU","Suceava","admin","92121","1642721443"
"Piatra Neamţ","Piatra Neamt","46.9275","26.3708","Romania","RO","ROU","Neamţ","admin","85055","1642444635"
"Reşiţa","Resita","45.2970","21.8865","Romania","RO","ROU","Caraş-Severin","admin","83324","1642047399"
"Târgu Jiu","Targu Jiu","45.0342","23.2747","Romania","RO","ROU","Gorj","admin","82504","1642174891"
"Târgovişte","Targoviste","44.9244","25.4572","Romania","RO","ROU","Dâmboviţa","admin","79610","1642534646"
"Focşani","Focsani","45.6997","27.1797","Romania","RO","ROU","Vrancea","admin","79315","1642736232"
"Bistriţa","Bistrita","47.1333","24.4833","Romania","RO","ROU","Bistriţa-Năsăud","admin","75076","1642633889"
"Tulcea","Tulcea","45.1900","28.8000","Romania","RO","ROU","Tulcea","admin","73707","1642854000"
"Slatina","Slatina","44.4297","24.3642","Romania","RO","ROU","Olt","admin","70293","1642577360"
"Călăraşi","Calarasi","44.2000","27.3333","Romania","RO","ROU","Călăraşi","admin","65181","1642445982"
"Alba Iulia","Alba Iulia","46.0764","23.5728","Romania","RO","ROU","Alba","admin","63536","1642449522"
"Giurgiu","Giurgiu","43.9000","25.9667","Romania","RO","ROU","Giurgiu","admin","61353","1642984994"
"Hunedoara","Hunedoara","45.7697","22.9203","Romania","RO","ROU","Hunedoara","admin","60525","1642078107"
"Bârlad","Barlad","46.2167","27.6667","Romania","RO","ROU","Vaslui","","55837","1642043593"
