"Kigali","Kigali","-1.9536","30.0606","Rwanda","RW","RWA","Kigali","primary","1156663","1646923541"
"Nyanza","Nyanza","-2.3496","29.7400","Rwanda","RW","RWA","Southern Province","admin","225209","1646257566"
"Gisenyi","Gisenyi","-1.6928","29.2500","Rwanda","RW","RWA","Western Province","","136830","1646226936"
"Ruhengeri","Ruhengeri","-1.4944","29.6417","Rwanda","RW","RWA","Northern Province","","59333","1646793543"
"Byumba","Byumba","-1.5794","30.0694","Rwanda","RW","RWA","Northern Province","admin","34544","1646868980"
"Rwamagana","Rwamagana","-1.9525","30.4378","Rwanda","RW","RWA","Eastern Province","admin","18009","1646996571"
"Kibuye","Kibuye","-2.0594","29.3481","Rwanda","RW","RWA","Western Province","admin","12325","1646264461"
"Gitarama","Gitarama","-2.0696","29.7600","Rwanda","RW","RWA","Southern Province","","87613","1646038255"
"Butare","Butare","-2.6000","29.7500","Rwanda","RW","RWA","Southern Province","","50220","1646348441"
"Muhanga","Muhanga","-2.0783","29.7581","Rwanda","RW","RWA","Southern Province","","49038","1646187395"
"Kabuga","Kabuga","-1.9765","30.2247","Rwanda","RW","RWA","Kigali","","40202","1646271073"
"Cyangugu","Cyangugu","-2.4833","28.8967","Rwanda","RW","RWA","Western Province","","27416","1646073091"
"Gikongoro","Gikongoro","-2.4697","29.5814","Rwanda","RW","RWA","Southern Province","","16695","1646632562"
"Ruhango","Ruhango","-2.2325","29.7803","Rwanda","RW","RWA","Southern Province","","17051","1646180341"
"Kibungo","Kibungo","-2.1608","30.5442","Rwanda","RW","RWA","Eastern Province","","11537","1646746155"
