"Riyadh","Riyadh","24.6500","46.7100","Saudi Arabia","SA","SAU","Ar Riyāḑ","primary","6889000","1682999334"
"Jeddah","Jeddah","21.5428","39.1728","Saudi Arabia","SA","SAU","Makkah al Mukarramah","","3976000","1682926944"
"Mecca","Mecca","21.4225","39.8261","Saudi Arabia","SA","SAU","Makkah al Mukarramah","admin","1675368","1682169241"
"Medina","Medina","24.4667","39.6000","Saudi Arabia","SA","SAU","Al Madīnah al Munawwarah","admin","1180770","1682345785"
"Ad Dammām","Ad Dammam","26.4333","50.1000","Saudi Arabia","SA","SAU","Ash Sharqīyah","admin","903312","1682452296"
"Al Hufūf","Al Hufuf","25.3608","49.5997","Saudi Arabia","SA","SAU","Ash Sharqīyah","","660788","1682958157"
"Al Ḩillah","Al Hillah","23.4895","46.7564","Saudi Arabia","SA","SAU","Ar Riyāḑ","","594605","1682494753"
"Aţ Ţā'if","At Ta'if","21.2667","40.4167","Saudi Arabia","SA","SAU","Makkah al Mukarramah","","579970","1682956102"
"Tabūk","Tabuk","28.3838","36.5550","Saudi Arabia","SA","SAU","Tabūk","admin","547957","1682590992"
"Buraydah","Buraydah","26.3333","43.9667","Saudi Arabia","SA","SAU","Al Qaşīm","admin","467410","1682470726"
"Ḩā'il","Ha'il","27.5236","41.7001","Saudi Arabia","SA","SAU","Ḩā'il","admin","385257","1682249750"
"Al Qaţīf","Al Qatif","26.5196","50.0115","Saudi Arabia","SA","SAU","Ash Sharqīyah","","368892","1682001245"
"Al Mubarraz","Al Mubarraz","25.4416","49.6642","Saudi Arabia","SA","SAU","Ash Sharqīyah","","298562","1682484039"
"Al Kharj","Al Kharj","24.1556","47.3120","Saudi Arabia","SA","SAU","Ar Riyāḑ","","298428","1682947408"
"Yanbu‘","Yanbu`","24.0943","38.0493","Saudi Arabia","SA","SAU","Al Madīnah al Munawwarah","","267590","1682000044"
"Ḩafr al Bāţin","Hafr al Batin","28.4337","45.9601","Saudi Arabia","SA","SAU","Ash Sharqīyah","","249194","1682394909"
"Al Jubayl","Al Jubayl","27.0046","49.6460","Saudi Arabia","SA","SAU","Ash Sharqīyah","","237274","1682564079"
"Abhā","Abha","18.2167","42.5000","Saudi Arabia","SA","SAU","‘Asīr","admin","236157","1682759151"
"Al Khubar","Al Khubar","26.3000","50.2167","Saudi Arabia","SA","SAU","Ash Sharqīyah","","219679","1682059414"
"Sakākā","Sakaka","30.0000","40.1333","Saudi Arabia","SA","SAU","Al Jawf","admin","128332","1682232132"
"Jāzān","Jazan","16.8892","42.5611","Saudi Arabia","SA","SAU","Jāzān","admin","127743","1682515652"
"Najrān","Najran","17.4917","44.1322","Saudi Arabia","SA","SAU","Najrān","admin","72038","1682069716"
"Arar","Arar","30.9833","41.0167","Saudi Arabia","SA","SAU","Al Ḩudūd ash Shamālīyah","admin","27449","1682664517"
"Al Bāḩah","Al Bahah","20.0129","41.4677","Saudi Arabia","SA","SAU","Al Bāḩah","admin","21983","1682121855"
"Khamīs Mushayţ","Khamis Mushayt","18.3000","42.7333","Saudi Arabia","SA","SAU","‘Asīr","","99213","1682497044"
"Qal‘at Bīshah","Qal`at Bishah","20.0087","42.5987","Saudi Arabia","SA","SAU","‘Asīr","","88291","1682202412"
"Rafḩā","Rafha","29.6202","43.4948","Saudi Arabia","SA","SAU","Al Ḩudūd ash Shamālīyah","","64755","1682612877"
"Al Wajh","Al Wajh","26.2324","36.4636","Saudi Arabia","SA","SAU","Tabūk","","43237","1682508460"
"Dhahran","Dhahran","26.2667","50.1500","Saudi Arabia","SA","SAU","Ash Sharqīyah","","32067","1682374155"
"As Sulayyil","As Sulayyil","20.4623","45.5722","Saudi Arabia","SA","SAU","Ar Riyāḑ","","24097","1682960661"
"Dawmat al Jandal","Dawmat al Jandal","29.8153","39.8664","Saudi Arabia","SA","SAU","Al Jawf","","22583","1682116359"
"Ad Dir‘īyah","Ad Dir`iyah","24.7333","46.5756","Saudi Arabia","SA","SAU","Ar Riyāḑ","","19143","1682421969"
"Al Ḩawīyah","Al Hawiyah","21.4411","40.4975","Saudi Arabia","SA","SAU","Makkah al Mukarramah","","18468","1682803387"
"Al Majma‘ah","Al Majma`ah","25.9039","45.3456","Saudi Arabia","SA","SAU","Ar Riyāḑ","","12065","1682506946"
"Ḑurumā","Duruma","24.6173","46.2256","Saudi Arabia","SA","SAU","Ar Riyāḑ","","11461","1682041945"
"Laylá","Layla","22.2833","46.7333","Saudi Arabia","SA","SAU","Ar Riyāḑ","","7920","1682438079"
"Turabah","Turabah","21.2142","41.6331","Saudi Arabia","SA","SAU","Makkah al Mukarramah","","5324","1682016249"
"Al Qurayyāt","Al Qurayyat","31.3333","37.3333","Saudi Arabia","SA","SAU","Al Jawf","","10000","1682805250"
"Al Quway‘īyah","Al Quway`iyah","24.0737","45.2806","Saudi Arabia","SA","SAU","Ar Riyāḑ","","8712","1682154232"
"Al Qunfudhah","Al Qunfudhah","19.1264","41.0789","Saudi Arabia","SA","SAU","Makkah al Mukarramah","","157","1682434353"
