"Ljubljana","Ljubljana","46.0500","14.5167","Slovenia","SI","SVN","Ljubljana","primary","286745","1705917455"
"Maribor","Maribor","46.5500","15.6333","Slovenia","SI","SVN","Maribor","admin","96211","1705454394"
"Celje","Celje","46.2291","15.2641","Slovenia","SI","SVN","Celje","admin","37872","1705563326"
"Kranj","Kranj","46.2389","14.3556","Slovenia","SI","SVN","Kranj","admin","37941","1705842003"
"Koper","Koper","45.5475","13.7307","Slovenia","SI","SVN","Koper","admin","25753","1705478862"
"Velenje","Velenje","46.3667","15.1167","Slovenia","SI","SVN","Velenje","admin","25594","1705929589"
"Novo Mesto","Novo Mesto","45.7981","15.1628","Slovenia","SI","SVN","Novo Mesto","admin","24183","1705849587"
"Ptuj","Ptuj","46.4186","15.8714","Slovenia","SI","SVN","Ptuj","admin","17959","1705072535"
"Kamnik","Kamnik","46.2250","14.6097","Slovenia","SI","SVN","Kamnik","admin","13880","1705864078"
"Jesenice","Jesenice","46.4366","14.0602","Slovenia","SI","SVN","Jesenice","admin","13338","1705471403"
"Domžale","Domzale","46.1333","14.6000","Slovenia","SI","SVN","Domžale","admin","13204","1705822721"
"Nova Gorica","Nova Gorica","45.9667","13.6500","Slovenia","SI","SVN","Nova Gorica","admin","13031","1705939355"
"Izola","Izola","45.5395","13.6604","Slovenia","SI","SVN","Izola","admin","11682","1705476087"
"Murska Sobota","Murska Sobota","46.6586","16.1619","Slovenia","SI","SVN","Murska Sobota","admin","11107","1705129726"
"Škofja Loka","Skofja Loka","46.1655","14.3064","Slovenia","SI","SVN","Škofja Loka","admin","11671","1705743622"
"Postojna","Postojna","45.7743","14.2153","Slovenia","SI","SVN","Postojna","admin","9605","1705090259"
"Vrhnika","Vrhnika","45.9622","14.2936","Slovenia","SI","SVN","Vrhnika","admin","8888","1705071756"
"Grosuplje","Grosuplje","45.9551","14.6562","Slovenia","SI","SVN","Grosuplje","admin","7703","1705847148"
"Kočevje","Kocevje","45.6430","14.8594","Slovenia","SI","SVN","Kočevje","admin","8151","1705859832"
"Krško","Krsko","45.9590","15.4922","Slovenia","SI","SVN","Krško","admin","7217","1705286396"
"Slovenska Bistrica","Slovenska Bistrica","46.3941","15.5707","Slovenia","SI","SVN","Slovenska Bistrica","admin","8219","1705359875"
"Litija","Litija","46.0565","14.8303","Slovenia","SI","SVN","Litija","admin","6673","1705902870"
"Ajdovščina","Ajdovscina","45.8884","13.9052","Slovenia","SI","SVN","Ajdovščina","admin","6843","1705580792"
"Ravne na Koroškem","Ravne na Koroskem","46.5437","14.9642","Slovenia","SI","SVN","Ravne na Koroškem","admin","7363","1705757622"
"Slovenj Gradec","Slovenj Gradec","46.5093","15.0790","Slovenia","SI","SVN","Slovenj Gradec","admin","7249","1705845238"
"Brežice","Brezice","45.9044","15.5925","Slovenia","SI","SVN","Brežice","admin","6843","1705251132"
"Sežana","Sezana","45.7000","13.8500","Slovenia","SI","SVN","Sežana","admin","6037","1705079549"
"Zagorje","Zagorje","46.1342","14.9942","Slovenia","SI","SVN","Zagorje ob Savi","admin","6023","1705942287"
"Črnomelj","Crnomelj","45.5711","15.1889","Slovenia","SI","SVN","Črnomelj","admin","5496","1705132468"
"Idrija","Idrija","46.0025","14.0275","Slovenia","SI","SVN","Idrija","admin","5886","1705472042"
