"Bratislava","Bratislava","48.1447","17.1128","Slovakia","SK","SVK","Bratislavský","primary","475503","1703195001"
"Košice","Kosice","48.7167","21.2500","Slovakia","SK","SVK","Košický","admin","238593","1703452690"
"Petržalka","Petrzalka","48.1333","17.1167","Slovakia","SK","SVK","Bratislavský","","114000","1703430611"
"Prešov","Presov","49.0000","21.2333","Slovakia","SK","SVK","Prešovský","admin","88680","1703231427"
"Žilina","Zilina","49.2167","18.7333","Slovakia","SK","SVK","Žilinský","admin","82704","1703289183"
"Banská Bystrica","Banska Bystrica","48.7353","19.1453","Slovakia","SK","SVK","Banskobystrický","admin","78327","1703015198"
"Nitra","Nitra","48.3147","18.0875","Slovakia","SK","SVK","Nitriansky","admin","77374","1703890031"
"Trnava","Trnava","48.3777","17.5862","Slovakia","SK","SVK","Trnavský","admin","65382","1703497997"
"Trenčín","Trencin","48.8942","18.0406","Slovakia","SK","SVK","Trenčiansky","admin","55593","1703029695"
"Martin","Martin","49.0636","18.9214","Slovakia","SK","SVK","Žilinský","minor","54978","1703554366"
"Poprad","Poprad","49.0500","20.3000","Slovakia","SK","SVK","Prešovský","minor","52037","1703451549"
"Prievidza","Prievidza","48.7714","18.6242","Slovakia","SK","SVK","Nitriansky","minor","46059","1703497240"
"Zvolen","Zvolen","48.5831","19.1331","Slovakia","SK","SVK","Banskobystrický","minor","42476","1703102070"
"Považská Bystrica","Povazska Bystrica","49.1167","18.4500","Slovakia","SK","SVK","Nitriansky","minor","39837","1703729563"
"Michalovce","Michalovce","48.7575","21.9183","Slovakia","SK","SVK","Košický","minor","39151","1703150232"
"Nové Zámky","Nove Zamky","47.9831","18.1728","Slovakia","SK","SVK","Nitriansky","minor","38172","1703734556"
"Spišská Nová Ves","Spisska Nova Ves","48.9500","20.5667","Slovakia","SK","SVK","Košický","minor","37326","1703217196"
"Humenné","Humenne","48.9306","21.9122","Slovakia","SK","SVK","Prešovský","minor","33441","1703492155"
"Komárno","Komarno","47.7633","18.1283","Slovakia","SK","SVK","Nitriansky","","33927","1703927453"
"Liptovský Mikuláš","Liptovsky Mikulas","49.0811","19.6181","Slovakia","SK","SVK","Žilinský","minor","32593","1703155005"
"Bardejov","Bardejov","49.2950","21.2758","Slovakia","SK","SVK","Prešovský","minor","32587","1703663141"
"Levice","Levice","48.2136","18.6069","Slovakia","SK","SVK","Nitriansky","minor","31974","1703699284"
"Lučenec","Lucenec","48.3314","19.6708","Slovakia","SK","SVK","Banskobystrický","minor","27991","1703222138"
"Piešťany","Piest'any","48.5833","17.8333","Slovakia","SK","SVK","Trnavský","minor","27681","1703636029"
"Ružomberok","Ruzomberok","49.0786","19.3083","Slovakia","SK","SVK","Žilinský","minor","26854","1703510980"
"Topoľčany","Topol'cany","48.5500","18.1833","Slovakia","SK","SVK","Nitriansky","minor","25492","1703972339"
"Pezinok","Pezinok","48.2667","17.2667","Slovakia","SK","SVK","Bratislavský","minor","24900","1703456673"
"Trebišov","Trebisov","48.6333","21.7167","Slovakia","SK","SVK","Košický","minor","24587","1703917090"
"Čadca","Cadca","49.4386","18.7883","Slovakia","SK","SVK","Žilinský","minor","24315","1703091898"
"Dubnica nad Váhom","Dubnica nad Vahom","48.9575","18.1658","Slovakia","SK","SVK","Nitriansky","","24068","1703468923"
"Rimavská Sobota","Rimavska Sobota","48.3814","20.0200","Slovakia","SK","SVK","Banskobystrický","minor","24010","1703980891"
"Partizánske","Partizanske","48.6333","18.3667","Slovakia","SK","SVK","Nitriansky","minor","22653","1703749885"
"Dunajská Streda","Dunajska Streda","47.9961","17.6147","Slovakia","SK","SVK","Trnavský","minor","22643","1703872671"
"Vranov nad Topľou","Vranov nad Topl'ou","48.8806","21.6731","Slovakia","SK","SVK","Prešovský","minor","22589","1703513512"
"Šaľa","Sal'a","48.1500","17.8833","Slovakia","SK","SVK","Nitriansky","minor","22219","1703397102"
"Hlohovec","Hlohovec","48.4311","17.8031","Slovakia","SK","SVK","Trnavský","minor","21715","1703788561"
"Brezno","Brezno","48.8036","19.6381","Slovakia","SK","SVK","Banskobystrický","minor","21082","1703148175"
"Senica","Senica","48.6806","17.3667","Slovakia","SK","SVK","Trnavský","minor","20342","1703713928"
"Nové Mesto nad Váhom","Nove Mesto nad Vahom","48.7833","17.8333","Slovakia","SK","SVK","Nitriansky","minor","20066","1703781613"
"Senec","Senec","48.2189","17.3997","Slovakia","SK","SVK","Bratislavský","minor","20116","1703144516"
"Snina","Snina","48.9881","22.1567","Slovakia","SK","SVK","Prešovský","minor","19855","1703799818"
"Žiar nad Hronom","Ziar nad Hronom","48.5919","18.8533","Slovakia","SK","SVK","Banskobystrický","minor","19188","1703196559"
"Malacky","Malacky","48.4381","17.0236","Slovakia","SK","SVK","Bratislavský","minor","18935","1703320479"
"Rožňava","Roznava","48.6586","20.5314","Slovakia","SK","SVK","Košický","minor","19190","1703307007"
"Dolný Kubín","Dolny Kubin","49.2117","19.2992","Slovakia","SK","SVK","Žilinský","minor","18905","1703836159"
"Bánovce nad Bebravou","Banovce nad Bebravou","48.7186","18.2581","Slovakia","SK","SVK","Nitriansky","minor","18350","1703803804"
"Púchov","Puchov","49.1200","18.3306","Slovakia","SK","SVK","Nitriansky","minor","17810","1703321833"
"Handlová","Handlova","48.7272","18.7619","Slovakia","SK","SVK","Nitriansky","","17119","1703292608"
"Kežmarok","Kezmarok","49.1383","20.4292","Slovakia","SK","SVK","Prešovský","minor","16481","1703214180"
"Stará Ľubovňa","Stara L'ubovna","49.3167","20.6833","Slovakia","SK","SVK","Prešovský","minor","16348","1703928081"
