"Pikine","Pikine","14.7500","-17.4000","Senegal","SN","SEN","Dakar","","1170791","1686165071"
"Dakar","Dakar","14.7319","-17.4572","Senegal","SN","SEN","Dakar","primary","1146053","1686604760"
"Touba","Touba","14.8667","-15.8833","Senegal","SN","SEN","Diourbel","","529176","1686956738"
"Thiès","Thies","14.7833","-16.9167","Senegal","SN","SEN","Thiès","admin","293001","1686527948"
"Rufisque","Rufisque","14.7167","-17.2667","Senegal","SN","SEN","Dakar","","221066","1686348669"
"Ziguinchor","Ziguinchor","12.5833","-16.2667","Senegal","SN","SEN","Ziguinchor","admin","205294","1686273643"
"Saint-Louis","Saint-Louis","16.0333","-16.5000","Senegal","SN","SEN","Saint-Louis","admin","176000","1686542859"
"Kaolack","Kaolack","14.1389","-16.0764","Senegal","SN","SEN","Kaolack","admin","172305","1686256343"
"Diourbel","Diourbel","14.6550","-16.2314","Senegal","SN","SEN","Diourbel","admin","100445","1686087214"
"Louga","Louga","15.6167","-16.2167","Senegal","SN","SEN","Louga","admin","85075","1686269931"
"Tambacounda","Tambacounda","13.7689","-13.6672","Senegal","SN","SEN","Tambacounda","admin","78800","1686195160"
"Kolda","Kolda","12.8958","-14.9408","Senegal","SN","SEN","Kolda","admin","62258","1686219536"
"Fatick","Fatick","14.3167","-16.4167","Senegal","SN","SEN","Fatick","admin","24243","1686096548"
"Kédougou","Kedougou","12.5556","-12.1807","Senegal","SN","SEN","Kédougou","admin","18226","1686320341"
"Kaffrine","Kaffrine","14.1016","-15.5467","Senegal","SN","SEN","Kaffrine","admin","","1686807341"
"Sédhiou","Sedhiou","12.7081","-15.5569","Senegal","SN","SEN","Sédhiou","admin","","1686107428"
"Matam","Matam","15.6167","-13.3333","Senegal","SN","SEN","Matam","admin","","1686919750"
"Bignona","Bignona","12.8167","-16.2333","Senegal","SN","SEN","Ziguinchor","","27826","1686478890"
"Kobilo","Kobilo","16.1500","-13.5000","Senegal","SN","SEN","Matam","","21656","1686275678"
"Linguère","Linguere","15.3833","-15.2167","Senegal","SN","SEN","Louga","","15482","1686531921"
"Kanel","Kanel","15.4833","-13.1667","Senegal","SN","SEN","Matam","","12975","1686649291"
"Dodji","Dodji","15.5167","-14.9333","Senegal","SN","SEN","Louga","","8281","1686188819"
