"Paramaribo","Paramaribo","5.8667","-55.1667","Suriname","SR","SUR","Paramaribo","primary","223757","1740518660"
"Nieuw Nickerie","Nieuw Nickerie","5.9261","-56.9731","Suriname","SR","SUR","Nickerie","admin","12818","1740480869"
"Brokopondo","Brokopondo","5.0404","-55.0200","Suriname","SR","SUR","Brokopondo","admin","8340","1740558611"
"Albina","Albina","5.5000","-54.0500","Suriname","SR","SUR","Marowijne","admin","5247","1740921776"
"Nieuw Amsterdam","Nieuw Amsterdam","5.9100","-55.0700","Suriname","SR","SUR","Commewijne","admin","4935","1740547119"
"Groningen","Groningen","5.7970","-55.4810","Suriname","SR","SUR","Saramacca","admin","3216","1740072928"
"Onverwacht","Onverwacht","5.6000","-55.2000","Suriname","SR","SUR","Para","admin","2105","1740007571"
"Totness","Totness","5.8904","-56.3200","Suriname","SR","SUR","Coronie","admin","1685","1740738832"
"Lelydorp","Lelydorp","5.7000","-55.2333","Suriname","SR","SUR","Wanica","admin","","1740222585"
"Cottica","Cottica","3.8547","-54.2289","Suriname","SR","SUR","Sipaliwini","","29210","1740371814"
"Moengo","Moengo","5.6167","-54.4000","Suriname","SR","SUR","Marowijne","","8252","1740230194"
"Tamanredjo","Tamanredjo","5.7667","-55.0000","Suriname","SR","SUR","Commewijne","","6601","1740708668"
"Domburg","Domburg","5.7000","-55.0833","Suriname","SR","SUR","Wanica","","5500","1740780058"
"Brownsweg","Brownsweg","5.0200","-55.1700","Suriname","SR","SUR","Brokopondo","","4582","1740310469"
